Updated,ConfirmedChange,DeathsChange
01/21/2020,0,0
01/22/2020,2,0
01/23/2020,0,0
01/24/2020,1,0
01/25/2020,1,0
01/26/2020,2,0
01/27/2020,0,0
01/28/2020,6,0
01/29/2020,0,0
01/30/2020,0,0
01/31/2020,5,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,0,0
02/04/2020,0,0
02/05/2020,6,0
02/06/2020,0,0
02/07/2020,0,0
02/08/2020,7,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,1,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,1,0
02/16/2020,0,0
02/17/2020,1,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,2,0
02/26/2020,3,0
02/27/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,2,0
03/02/2020,1,1
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,4,0
03/06/2020,1,0
03/07/2020,2,0
03/08/2020,0,0
03/09/2020,0,0
03/10/2020,3,0
03/11/2020,6,0
03/12/2020,11,0
03/13/2020,5,0
03/14/2020,7,0
03/15/2020,32,0
03/16/2020,33,0
03/17/2020,30,0
03/18/2020,35,0
03/19/2020,60,0
03/20/2020,50,0
03/21/2020,89,0
03/22/2020,188,0
03/23/2020,122,0
03/24/2020,106,3
03/25/2020,107,0
03/26/2020,111,0
03/27/2020,91,1
03/28/2020,109,1
03/29/2020,143,1
03/30/2020,136,2
03/31/2020,127,1
04/01/2020,120,2
04/02/2020,104,3
04/03/2020,103,4
04/04/2020,89,1
04/05/2020,102,3
04/06/2020,51,3
04/07/2020,38,1
04/08/2020,111,3
04/09/2020,54,2
04/10/2020,50,1
04/11/2020,45,2
04/12/2020,33,3
04/13/2020,28,2
04/14/2020,34,1
04/15/2020,30,2
04/16/2020,29,3
04/17/2020,28,1
04/18/2020,33,0
04/19/2020,32,0
04/20/2020,27,0
04/21/2020,19,0
04/22/2020,15,2
04/23/2020,13,1
04/24/2020,15,0
04/25/2020,53,1
04/26/2020,15,0
04/27/2020,9,1
04/28/2020,7,2
04/29/2020,9,0
04/30/2020,7,0
05/01/2020,6,0
05/02/2020,6,0
05/03/2020,3,0
05/04/2020,18,0
05/05/2020,1,0
05/06/2020,1,1
05/07/2020,3,0
05/08/2020,8,0
05/09/2020,4,1
05/10/2020,5,0
05/11/2020,6,0
05/12/2020,2,0
05/13/2020,0,0
05/14/2020,1,0
05/15/2020,7,0
05/16/2020,1,0
05/17/2020,2,0
05/18/2020,3,0
05/19/2020,2,0
05/20/2020,1,0
05/21/2020,3,0
05/22/2020,1,0
05/23/2020,2,0
05/24/2020,1,0
05/25/2020,1,1
05/26/2020,3,0
05/27/2020,9,0
05/28/2020,11,0
05/29/2020,11,0
05/30/2020,1,0
05/31/2020,4,0
06/01/2020,1,0
06/02/2020,1,1
06/03/2020,1,0
06/04/2020,17,0
06/05/2020,1,0
06/06/2020,2,0
06/07/2020,8,0
06/08/2020,7,0
06/09/2020,2,0
06/10/2020,4,0
06/11/2020,2,0
06/12/2020,2,0
06/13/2020,5,0
06/14/2020,1,0
06/15/2020,1,0
06/16/2020,1,0
06/17/2020,2,0
06/18/2020,2,0
06/19/2020,5,0
06/20/2020,1,0
06/21/2020,1,0
06/22/2020,3,0
06/23/2020,5,0
06/24/2020,1,0
06/25/2020,1,0
06/26/2020,4,0
06/27/2020,2,0
06/28/2020,2,0
06/29/2020,3,0
06/30/2020,2,0
07/01/2020,2,0
07/02/2020,6,0
07/03/2020,1,0
07/04/2020,5,0
07/05/2020,5,0
07/06/2020,5,0
