Updated,ConfirmedChange,DeathsChange
01/31/2020,0,0
02/01/2020,0.0,0.0
02/02/2020,0.0,0.0
02/03/2020,0.0,0.0
02/04/2020,0.0,0.0
02/05/2020,0.0,0.0
02/06/2020,1.0,0.0
02/07/2020,0.0,0.0
02/08/2020,0.0,0.0
02/09/2020,1.0,0.0
02/10/2020,4.0,0.0
02/11/2020,0.0,0.0
02/12/2020,0.0,0.0
02/13/2020,1.0,0.0
02/14/2020,0.0,0.0
02/15/2020,0.0,0.0
02/16/2020,0.0,0.0
02/17/2020,0.0,0.0
02/18/2020,0.0,0.0
02/19/2020,0.0,0.0
02/20/2020,0.0,0.0
02/21/2020,0.0,0.0
02/22/2020,0.0,0.0
02/23/2020,0.0,0.0
02/24/2020,4.0,0.0
02/25/2020,0.0,0.0
02/26/2020,0.0,0.0
02/27/2020,0.0,0.0
02/28/2020,6.0,0.0
02/29/2020,4.0,0.0
03/01/2020,12.0,0.0
03/02/2020,5.0,0.0
03/03/2020,11.0,0.0
03/04/2020,34.0,0.0
03/05/2020,29.0,1.0
03/06/2020,46.0,1.0
03/07/2020,46.0,0.0
03/08/2020,65.0,1.0
03/09/2020,50.0,2.0
03/10/2020,52.0,1.0
03/11/2020,83.0,2.0
03/12/2020,134.0,0.0
03/13/2020,207.0,2.0
03/14/2020,264.0,11.0
03/15/2020,330.0,14.0
03/16/2020,152.0,20.0
03/17/2020,407.0,16.0
03/18/2020,676.0,32.0
03/19/2020,643.0,41.0
03/20/2020,714.0,33.0
03/21/2020,1035.0,56.0
03/22/2020,665.0,48.0
03/23/2020,967.0,54.0
03/24/2020,1427.0,87.0
03/25/2020,1452.0,156.0
03/26/2020,2129.0,181.0
03/27/2020,2890.0,260.0
03/28/2020,2556.0,209.0
03/29/2020,2502.0,180.0
03/30/2020,2665.0,381.0
03/31/2020,3250.0,563.0
04/01/2020,4567.0,569.0
04/02/2020,4522.0,684.0
04/03/2020,4672.0,708.0
04/04/2020,4000.0,619.0
04/05/2020,6199.0,441.0
04/06/2020,4143.0,786.0
04/07/2020,3888.0,938.0
04/08/2020,5865.0,881.0
04/09/2020,4675.0,980.0
04/10/2020,5706.0,917.0
04/11/2020,5233.0,737.0
04/12/2020,5288.0,717.0
04/13/2020,4342.0,778.0
04/14/2020,5252.0,761.0
04/15/2020,4603.0,861.0
04/16/2020,4617.0,847.0
04/17/2020,5599.0,888.0
04/18/2020,5525.0,596.0
04/19/2020,5850.0,449.0
04/20/2020,4676.0,828.0
04/21/2020,4301.0,763.0
04/22/2020,4451.0,638.0
04/23/2020,4583.0,768.0
04/24/2020,5386.0,4129.0
