Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,0,0,0,0.0,Catamarca
04/17/2020,0,0.0,0,0.0,Catamarca
04/19/2020,0,0.0,0,0.0,Catamarca
04/21/2020,0,0.0,0,0.0,Catamarca
04/23/2020,0,0.0,0,0.0,Catamarca
04/25/2020,0,0.0,0,0.0,Catamarca
04/27/2020,0,0.0,0,0.0,Catamarca
04/29/2020,0,0.0,0,0.0,Catamarca
04/30/2020,0,0.0,0,0.0,Catamarca
05/01/2020,0,0.0,0,0.0,Catamarca
05/02/2020,0,0.0,0,0.0,Catamarca
05/03/2020,0,0.0,0,0.0,Catamarca
05/04/2020,0,0.0,0,0.0,Catamarca
05/05/2020,0,0.0,0,0.0,Catamarca
05/06/2020,0,0.0,0,0.0,Catamarca
05/07/2020,0,0.0,0,0.0,Catamarca
05/08/2020,0,0.0,0,0.0,Catamarca
05/09/2020,0,0.0,0,0.0,Catamarca
05/10/2020,0,0.0,0,0.0,Catamarca
05/11/2020,0,0.0,0,0.0,Catamarca
05/12/2020,0,0.0,0,0.0,Catamarca
05/13/2020,0,0.0,0,0.0,Catamarca
05/14/2020,0,0.0,0,0.0,Catamarca
05/15/2020,0,0.0,0,0.0,Catamarca
05/16/2020,0,0.0,0,0.0,Catamarca
05/17/2020,0,0.0,0,0.0,Catamarca
05/18/2020,0,0.0,0,0.0,Catamarca
05/19/2020,0,0.0,0,0.0,Catamarca
05/20/2020,0,0.0,0,0.0,Catamarca
05/21/2020,0,0.0,0,0.0,Catamarca
05/22/2020,0,0.0,0,0.0,Catamarca
05/23/2020,0,0.0,0,0.0,Catamarca
05/24/2020,0,0.0,0,0.0,Catamarca
05/25/2020,0,0.0,0,0.0,Catamarca
05/26/2020,0,0.0,0,0.0,Catamarca
05/27/2020,0,0.0,0,0.0,Catamarca
05/28/2020,0,0.0,0,0.0,Catamarca
05/29/2020,0,0.0,0,0.0,Catamarca
05/30/2020,0,0.0,0,0.0,Catamarca
05/31/2020,0,0.0,0,0.0,Catamarca
06/01/2020,0,0.0,0,0.0,Catamarca
06/02/2020,0,0.0,0,0.0,Catamarca
06/03/2020,0,0.0,0,0.0,Catamarca
06/04/2020,0,0.0,0,0.0,Catamarca
06/05/2020,0,0.0,0,0.0,Catamarca
06/06/2020,0,0.0,0,0.0,Catamarca
06/07/2020,0,0.0,0,0.0,Catamarca
06/08/2020,0,0.0,0,0.0,Catamarca
06/09/2020,0,0.0,0,0.0,Catamarca
06/10/2020,0,0.0,0,0.0,Catamarca
06/11/2020,0,0.0,0,0.0,Catamarca
06/12/2020,0,0.0,0,0.0,Catamarca
06/13/2020,0,0.0,0,0.0,Catamarca
06/14/2020,0,0.0,0,0.0,Catamarca
06/15/2020,0,0.0,0,0.0,Catamarca
06/16/2020,0,0.0,0,0.0,Catamarca
06/17/2020,0,0.0,0,0.0,Catamarca
06/18/2020,0,0.0,0,0.0,Catamarca
06/19/2020,0,0.0,0,0.0,Catamarca
06/20/2020,0,0.0,0,0.0,Catamarca
06/21/2020,0,0.0,0,0.0,Catamarca
06/22/2020,0,0.0,0,0.0,Catamarca
06/23/2020,0,0.0,0,0.0,Catamarca
06/24/2020,0,0.0,0,0.0,Catamarca
06/25/2020,0,0.0,0,0.0,Catamarca
03/26/2020,53,0.0,0,0.0,Cordoba
03/26/2020,55,0.0,4.0,0.0,Chaco
03/26/2020,158,0.0,4.0,0.0,City of Buenos Aires
04/15/2020,596,438.0,40.0,0.0,City of Buenos Aires
04/16/2020,648,52.0,43.0,0.0,City of Buenos Aires
04/17/2020,759,111.0,49.0,0.0,City of Buenos Aires
