Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
03/26/2020,53,0,0,0,Australian Capital Territory
03/28/2020,77,24,0,0,Australian Capital Territory
03/30/2020,77,0,0,0,Australian Capital Territory
03/31/2020,78,1,1,0,Australian Capital Territory
04/01/2020,80,2,1,0,Australian Capital Territory
04/04/2020,91,11,1,0,Australian Capital Territory
04/05/2020,93,2,2,0,Australian Capital Territory
04/06/2020,96,3,2,0,Australian Capital Territory
04/08/2020,99,3,2,0,Australian Capital Territory
04/09/2020,101,2,2,0,Australian Capital Territory
04/10/2020,103,2,2,0,Australian Capital Territory
04/14/2020,103,0,2,72,Australian Capital Territory
04/15/2020,103,0,2,72,Australian Capital Territory
04/16/2020,103,0,3,82,Australian Capital Territory
04/17/2020,103,0,3,81,Australian Capital Territory
04/18/2020,103,0,3,88,Australian Capital Territory
04/20/2020,104,1,3,88,Australian Capital Territory
04/22/2020,104,0,3,88,Australian Capital Territory
04/23/2020,104,0,3,88,Australian Capital Territory
04/24/2020,105,1,3,88,Australian Capital Territory
04/25/2020,106,1,3,88,Australian Capital Territory
04/26/2020,106,0,3,88,Australian Capital Territory
04/27/2020,106,0,3,88,Australian Capital Territory
04/28/2020,106,0,3,88,Australian Capital Territory
04/29/2020,106,0,3,88,Australian Capital Territory
04/30/2020,106,0,3,88,Australian Capital Territory
05/01/2020,106,0,3,88,Australian Capital Territory
05/02/2020,106,0,3,88,Australian Capital Territory
05/03/2020,106,0,3,88,Australian Capital Territory
05/04/2020,107,1,3,88,Australian Capital Territory
05/05/2020,107,0,3,88,Australian Capital Territory
05/06/2020,107,0,3,88,Australian Capital Territory
05/07/2020,107,0,3,88,Australian Capital Territory
05/08/2020,107,0,3,88,Australian Capital Territory
05/09/2020,107,0,3,88,Australian Capital Territory
05/10/2020,107,0,3,88,Australian Capital Territory
05/11/2020,107,0,3,88,Australian Capital Territory
05/12/2020,107,0,3,88,Australian Capital Territory
05/13/2020,107,0,3,88,Australian Capital Territory
05/14/2020,107,0,3,88,Australian Capital Territory
05/15/2020,107,0,3,88,Australian Capital Territory
05/16/2020,107,0,3,88,Australian Capital Territory
05/17/2020,107,0,3,88,Australian Capital Territory
05/18/2020,107,0,3,88,Australian Capital Territory
05/19/2020,107,0,3,88,Australian Capital Territory
05/20/2020,107,0,3,88,Australian Capital Territory
05/21/2020,107,0,3,88,Australian Capital Territory
05/22/2020,107,0,3,88,Australian Capital Territory
05/23/2020,107,0,3,88,Australian Capital Territory
05/24/2020,107,0,3,88,Australian Capital Territory
05/25/2020,107,0,3,88,Australian Capital Territory
05/26/2020,107,0,3,88,Australian Capital Territory
05/27/2020,107,0,3,88,Australian Capital Territory
05/28/2020,107,0,3,88,Australian Capital Territory
05/29/2020,107,0,3,88,Australian Capital Territory
05/30/2020,107,0,3,88,Australian Capital Territory
05/31/2020,107,0,3,88,Australian Capital Territory
06/01/2020,107,0,3,88,Australian Capital Territory
06/02/2020,107,0,3,88,Australian Capital Territory
