Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
03/27/2020,138,0,2.0,0.0,Burgenland
04/15/2020,270,132.0,6.0,135.0,Burgenland
04/16/2020,280,10.0,6.0,148.0,Burgenland
04/17/2020,286,6.0,6.0,165.0,Burgenland
04/18/2020,295,9.0,7.0,181.0,Burgenland
04/19/2020,299,4.0,8.0,198.0,Burgenland
04/20/2020,302,3.0,8.0,198.0,Burgenland
04/21/2020,309,7.0,8.0,200.0,Burgenland
04/22/2020,310,1.0,8.0,210.0,Burgenland
04/23/2020,313,3.0,9.0,227.0,Burgenland
04/24/2020,314,1.0,9.0,226.0,Burgenland
04/25/2020,315,1.0,9.0,235.0,Burgenland
04/26/2020,317,2.0,9.0,234.0,Burgenland
04/28/2020,321,4.0,10.0,242.0,Burgenland
04/29/2020,322,1.0,10.0,242.0,Burgenland
04/30/2020,323,1.0,10.0,246.0,Burgenland
05/01/2020,325,2.0,10.0,255.0,Burgenland
05/02/2020,327,2.0,10.0,256.0,Burgenland
05/03/2020,327,0.0,10.0,258.0,Burgenland
05/04/2020,328,1.0,10.0,258.0,Burgenland
05/05/2020,329,1.0,11.0,261.0,Burgenland
05/06/2020,329,0.0,11.0,264.0,Burgenland
05/07/2020,330,1.0,11.0,264.0,Burgenland
05/08/2020,330,0.0,11.0,269.0,Burgenland
05/09/2020,330,0.0,11.0,279.0,Burgenland
05/10/2020,330,0.0,11.0,282.0,Burgenland
05/11/2020,331,1.0,11.0,283.0,Burgenland
05/12/2020,332,1.0,11.0,283.0,Burgenland
05/13/2020,333,1.0,11.0,297.0,Burgenland
05/14/2020,334,1.0,11.0,300.0,Burgenland
05/15/2020,334,0.0,11.0,300.0,Burgenland
05/16/2020,335,1.0,11.0,308.0,Burgenland
05/17/2020,336,1.0,11.0,311.0,Burgenland
05/18/2020,337,1.0,11.0,311.0,Burgenland
05/19/2020,338,1.0,11.0,312.0,Burgenland
05/20/2020,338,0.0,11.0,316.0,Burgenland
05/21/2020,338,0.0,11.0,317.0,Burgenland
05/22/2020,338,0.0,11.0,318.0,Burgenland
05/23/2020,338,0.0,11.0,318.0,Burgenland
05/24/2020,339,1.0,11.0,318.0,Burgenland
05/25/2020,340,1.0,11.0,320.0,Burgenland
05/26/2020,340,0.0,11.0,320.0,Burgenland
05/27/2020,340,0.0,11.0,320.0,Burgenland
05/28/2020,340,0.0,11.0,324.0,Burgenland
05/29/2020,341,1.0,11.0,325.0,Burgenland
05/30/2020,341,0.0,11.0,325.0,Burgenland
05/31/2020,342,1.0,11.0,325.0,Burgenland
06/01/2020,342,0.0,11.0,326.0,Burgenland
06/02/2020,342,0.0,11.0,326.0,Burgenland
06/03/2020,342,0.0,11.0,328.0,Burgenland
06/04/2020,342,0.0,11.0,328.0,Burgenland
06/05/2020,342,0.0,11.0,329.0,Burgenland
06/06/2020,342,0.0,11.0,329.0,Burgenland
06/07/2020,342,0.0,11.0,329.0,Burgenland
06/08/2020,342,0.0,11.0,329.0,Burgenland
06/09/2020,342,0.0,11.0,331.0,Burgenland
06/10/2020,342,0.0,11.0,331.0,Burgenland
06/12/2020,342,0.0,11.0,332.0,Burgenland
06/13/2020,343,1.0,11.0,329.0,Burgenland
06/14/2020,343,0.0,11.0,329.0,Burgenland
06/15/2020,343,0.0,11.0,329.0,Burgenland
06/16/2020,343,0.0,11.0,329.0,Burgenland
06/17/2020,343,0.0,11.0,329.0,Burgenland
06/18/2020,343,0.0,11.0,329.0,Burgenland
06/19/2020,343,0.0,11.0,329.0,Burgenland
06/20/2020,344,1.0,11.0,329.0,Burgenland
06/21/2020,345,1.0,11.0,329.0,Burgenland
06/22/2020,346,1.0,11.0,330.0,Burgenland
06/23/2020,347,1.0,11.0,330.0,Burgenland
06/24/2020,349,2.0,11.0,331.0,Burgenland
06/25/2020,349,0.0,11.0,332.0,Burgenland
04/15/2020,386,0.0,9.0,241.0,Carinthia
04/16/2020,388,2.0,9.0,255.0,Carinthia
04/17/2020,391,3.0,9.0,269.0,Carinthia
04/18/2020,395,4.0,9.0,295.0,Carinthia
04/19/2020,396,1.0,10.0,302.0,Carinthia
04/21/2020,397,1.0,10.0,307.0,Carinthia
04/22/2020,402,5.0,12.0,316.0,Carinthia
04/23/2020,402,0.0,12.0,331.0,Carinthia
04/24/2020,402,0.0,12.0,346.0,Carinthia
04/25/2020,403,1.0,12.0,360.0,Carinthia
04/26/2020,404,1.0,12.0,364.0,Carinthia
04/27/2020,406,2.0,12.0,364.0,Carinthia
04/28/2020,407,1.0,12.0,372.0,Carinthia
04/29/2020,410,3.0,12.0,372.0,Carinthia
04/30/2020,410,0.0,12.0,378.0,Carinthia
05/01/2020,410,0.0,12.0,381.0,Carinthia
05/02/2020,410,0.0,12.0,381.0,Carinthia
05/03/2020,410,0.0,13.0,382.0,Carinthia
05/04/2020,410,0.0,13.0,382.0,Carinthia
05/05/2020,410,0.0,13.0,383.0,Carinthia
05/06/2020,411,1.0,13.0,385.0,Carinthia
05/07/2020,411,0.0,13.0,385.0,Carinthia
05/08/2020,411,0.0,13.0,385.0,Carinthia
05/09/2020,411,0.0,13.0,387.0,Carinthia
05/10/2020,411,0.0,13.0,388.0,Carinthia
05/11/2020,411,0.0,13.0,389.0,Carinthia
05/12/2020,411,0.0,13.0,389.0,Carinthia
05/13/2020,411,0.0,13.0,388.0,Carinthia
05/14/2020,411,0.0,13.0,389.0,Carinthia
05/15/2020,411,0.0,13.0,389.0,Carinthia
05/16/2020,411,0.0,13.0,390.0,Carinthia
05/17/2020,411,0.0,13.0,390.0,Carinthia
