Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/21/2020,2,0,0.0,0.0,Beni
04/23/2020,2,0.0,0.0,0.0,Beni
04/24/2020,2,0.0,1.0,0.0,Beni
04/26/2020,2,0.0,1.0,0.0,Beni
04/28/2020,57,55.0,1.0,0.0,Beni
04/29/2020,781,724.0,1.0,0.0,Beni
05/29/2020,1506,725.0,84.0,8.0,Beni
05/30/2020,1600,94.0,84.0,8.0,Beni
05/31/2020,1695,95.0,84.0,8.0,Beni
06/01/2020,1790,95.0,84.0,8.0,Beni
06/02/2020,1885,95.0,92.0,8.0,Beni
06/03/2020,1957,72.0,92.0,8.0,Beni
06/04/2020,2029,72.0,92.0,8.0,Beni
06/05/2020,2101,72.0,109.0,14.0,Beni
06/06/2020,2101,0.0,109.0,14.0,Beni
06/07/2020,2101,0.0,109.0,14.0,Beni
06/08/2020,2101,0.0,109.0,14.0,Beni
06/09/2020,2101,0.0,124.0,25.0,Beni
06/10/2020,2101,0.0,124.0,25.0,Beni
06/11/2020,2101,0.0,124.0,25.0,Beni
06/12/2020,2101,0.0,124.0,25.0,Beni
06/13/2020,2101,0.0,124.0,25.0,Beni
06/14/2020,2101,0.0,124.0,25.0,Beni
06/15/2020,2101,0.0,124.0,25.0,Beni
06/16/2020,2101,0.0,124.0,25.0,Beni
06/17/2020,2101,0.0,124.0,25.0,Beni
06/18/2020,2101,0.0,124.0,25.0,Beni
06/19/2020,2101,0.0,124.0,25.0,Beni
06/20/2020,2101,0.0,124.0,25.0,Beni
06/21/2020,2101,0.0,124.0,25.0,Beni
06/22/2020,2101,0.0,124.0,25.0,Beni
06/23/2020,2101,0.0,124.0,25.0,Beni
06/24/2020,2101,0.0,124.0,25.0,Beni
06/25/2020,2101,0.0,203.0,80.0,Beni
04/15/2020,1,0.0,0.0,0.0,Chuquisaca
04/17/2020,1,0.0,0.0,0.0,Chuquisaca
04/19/2020,1,0.0,0.0,0.0,Chuquisaca
04/21/2020,1,0.0,0.0,0.0,Chuquisaca
04/23/2020,1,0.0,0.0,0.0,Chuquisaca
04/24/2020,2,1.0,0.0,0.0,Chuquisaca
04/26/2020,2,0.0,0.0,0.0,Chuquisaca
04/28/2020,2,0.0,0.0,0.0,Chuquisaca
04/29/2020,2,0.0,0.0,0.0,Chuquisaca
05/29/2020,25,23.0,2.0,11.0,Chuquisaca
05/30/2020,25,0.0,2.0,11.0,Chuquisaca
05/31/2020,25,0.0,2.0,11.0,Chuquisaca
06/01/2020,25,0.0,2.0,11.0,Chuquisaca
06/02/2020,28,3.0,2.0,14.0,Chuquisaca
06/03/2020,28,0.0,2.0,14.0,Chuquisaca
06/04/2020,28,0.0,2.0,14.0,Chuquisaca
06/05/2020,32,4.0,2.0,14.0,Chuquisaca
06/06/2020,32,0.0,2.0,14.0,Chuquisaca
06/07/2020,32,0.0,2.0,14.0,Chuquisaca
06/08/2020,32,0.0,2.0,14.0,Chuquisaca
06/09/2020,43,11.0,2.0,14.0,Chuquisaca
06/10/2020,43,0.0,2.0,14.0,Chuquisaca
06/11/2020,43,0.0,2.0,14.0,Chuquisaca
06/12/2020,43,0.0,2.0,14.0,Chuquisaca
06/13/2020,43,0.0,2.0,14.0,Chuquisaca
06/14/2020,43,0.0,2.0,14.0,Chuquisaca
06/15/2020,43,0.0,2.0,14.0,Chuquisaca
06/16/2020,43,0.0,2.0,14.0,Chuquisaca
06/17/2020,43,0.0,2.0,14.0,Chuquisaca
06/18/2020,43,0.0,2.0,14.0,Chuquisaca
06/19/2020,43,0.0,2.0,14.0,Chuquisaca
06/20/2020,43,0.0,2.0,14.0,Chuquisaca
06/21/2020,43,0.0,2.0,14.0,Chuquisaca
06/22/2020,43,0.0,2.0,14.0,Chuquisaca
06/23/2020,43,0.0,2.0,14.0,Chuquisaca
06/24/2020,43,0.0,2.0,14.0,Chuquisaca
06/25/2020,422,379.0,26.0,22.0,Chuquisaca
04/15/2020,54,379.0,4.0,0.0,Cochabamba
04/16/2020,59,5.0,4.0,0.0,Cochabamba
04/18/2020,60,1.0,4.0,0.0,Cochabamba
04/20/2020,61,1.0,5.0,7.0,Cochabamba
04/21/2020,62,1.0,6.0,13.0,Cochabamba
04/23/2020,64,2.0,6.0,13.0,Cochabamba
04/24/2020,66,2.0,6.0,13.0,Cochabamba
04/26/2020,72,6.0,6.0,13.0,Cochabamba
04/27/2020,78,6.0,6.0,13.0,Cochabamba
04/29/2020,248,170.0,6.0,13.0,Cochabamba
05/29/2020,419,171.0,19.0,60.0,Cochabamba
05/30/2020,492,73.0,19.0,60.0,Cochabamba
05/31/2020,566,74.0,19.0,60.0,Cochabamba
06/01/2020,640,74.0,19.0,60.0,Cochabamba
06/02/2020,714,74.0,34.0,60.0,Cochabamba
06/03/2020,775,61.0,34.0,60.0,Cochabamba
06/04/2020,836,61.0,34.0,60.0,Cochabamba
