Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/08/2020,50,0,1.0,0.0,Acre
04/14/2020,90,40.0,3.0,0.0,Acre
04/15/2020,99,9.0,3.0,0.0,Acre
04/16/2020,110,11.0,5.0,0.0,Acre
04/17/2020,135,25.0,5.0,0.0,Acre
04/18/2020,142,7.0,5.0,0.0,Acre
04/19/2020,163,21.0,6.0,0.0,Acre
04/20/2020,176,13.0,8.0,0.0,Acre
04/21/2020,195,19.0,8.0,0.0,Acre
04/22/2020,214,19.0,8.0,0.0,Acre
04/23/2020,227,13.0,10.0,0.0,Acre
04/24/2020,234,7.0,11.0,0.0,Acre
04/26/2020,279,45.0,11.0,0.0,Acre
04/27/2020,295,16.0,14.0,0.0,Acre
04/28/2020,311,16.0,16.0,0.0,Acre
04/29/2020,354,43.0,17.0,0.0,Acre
04/30/2020,404,50.0,19.0,0.0,Acre
05/01/2020,486,82.0,19.0,0.0,Acre
05/02/2020,553,67.0,22.0,0.0,Acre
05/03/2020,657,104.0,24.0,0.0,Acre
05/04/2020,733,76.0,28.0,0.0,Acre
05/05/2020,817,84.0,29.0,0.0,Acre
05/06/2020,943,126.0,33.0,0.0,Acre
05/07/2020,1014,71.0,36.0,0.0,Acre
05/08/2020,1177,163.0,38.0,0.0,Acre
05/09/2020,1335,158.0,39.0,0.0,Acre
05/10/2020,1447,112.0,41.0,0.0,Acre
05/11/2020,1460,13.0,45.0,0.0,Acre
05/12/2020,1590,130.0,51.0,0.0,Acre
05/13/2020,1694,104.0,52.0,0.0,Acre
05/14/2020,1739,45.0,52.0,0.0,Acre
05/15/2020,1785,46.0,57.0,0.0,Acre
05/16/2020,1867,82.0,59.0,0.0,Acre
05/17/2020,1997,130.0,60.0,0.0,Acre
05/18/2020,2234,237.0,67.0,0.0,Acre
05/19/2020,2482,248.0,72.0,0.0,Acre
05/20/2020,2817,335.0,76.0,0.0,Acre
05/21/2020,3103,286.0,78.0,0.0,Acre
05/22/2020,3343,240.0,80.0,0.0,Acre
05/23/2020,3867,524.0,87.0,0.0,Acre
05/24/2020,4160,293.0,92.0,0.0,Acre
05/25/2020,4501,341.0,97.0,0.0,Acre
05/26/2020,4781,280.0,105.0,0.0,Acre
05/27/2020,5251,470.0,113.0,0.0,Acre
05/28/2020,5600,349.0,122.0,0.0,Acre
05/29/2020,5841,241.0,135.0,0.0,Acre
05/30/2020,6072,231.0,142.0,0.0,Acre
05/31/2020,6219,147.0,148.0,0.0,Acre
06/01/2020,6326,107.0,161.0,0.0,Acre
06/02/2020,6465,139.0,165.0,0.0,Acre
06/03/2020,6650,185.0,165.0,0.0,Acre
06/04/2020,6835,185.0,165.0,0.0,Acre
06/05/2020,7021,186.0,181.0,0.0,Acre
06/06/2020,7284,263.0,190.0,0.0,Acre
06/07/2020,7525,241.0,201.0,0.0,Acre
06/08/2020,7991,466.0,201.0,0.0,Acre
06/09/2020,8457,466.0,223.0,0.0,Acre
06/10/2020,8746,289.0,237.0,0.0,Acre
06/11/2020,9020,274.0,237.0,0.0,Acre
06/12/2020,9295,275.0,254.0,0.0,Acre
06/13/2020,9534,239.0,256.0,0.0,Acre
06/14/2020,9642,108.0,259.0,0.0,Acre
06/15/2020,9771,129.0,265.0,0.0,Acre
06/16/2020,10003,232.0,271.0,0.0,Acre
06/17/2020,10339,336.0,281.0,0.0,Acre
06/18/2020,10664,325.0,287.0,0.0,Acre
06/19/2020,10987,323.0,292.0,0.0,Acre
06/20/2020,11125,138.0,292.0,0.0,Acre
06/21/2020,11263,138.0,297.0,0.0,Acre
06/22/2020,11539,276.0,305.0,0.0,Acre
06/23/2020,11810,271.0,321.0,0.0,Acre
06/24/2020,12022,212.0,326.0,0.0,Acre
06/25/2020,12304,282.0,335.0,0.0,Acre
04/08/2020,32,282.0,2.0,0.0,Alagoas
04/14/2020,50,18.0,3.0,0.0,Alagoas
04/15/2020,72,22.0,4.0,0.0,Alagoas
04/16/2020,89,17.0,5.0,0.0,Alagoas
04/17/2020,110,21.0,7.0,0.0,Alagoas
04/18/2020,132,22.0,12.0,0.0,Alagoas
04/19/2020,159,27.0,15.0,0.0,Alagoas
04/20/2020,171,12.0,18.0,0.0,Alagoas
04/21/2020,210,39.0,19.0,0.0,Alagoas
04/22/2020,243,33.0,20.0,0.0,Alagoas
04/23/2020,324,81.0,22.0,0.0,Alagoas
04/24/2020,413,89.0,27.0,0.0,Alagoas
04/26/2020,554,141.0,32.0,0.0,Alagoas
04/27/2020,643,89.0,34.0,0.0,Alagoas
04/28/2020,777,134.0,36.0,0.0,Alagoas
04/29/2020,957,180.0,41.0,0.0,Alagoas
04/30/2020,1044,87.0,47.0,0.0,Alagoas
05/01/2020,1226,182.0,53.0,0.0,Alagoas
05/02/2020,1372,146.0,58.0,0.0,Alagoas
05/03/2020,1441,69.0,64.0,0.0,Alagoas
05/04/2020,1538,97.0,72.0,0.0,Alagoas
05/05/2020,1606,68.0,80.0,0.0,Alagoas
05/06/2020,1703,97.0,89.0,0.0,Alagoas
05/07/2020,1867,164.0,98.0,0.0,Alagoas
05/08/2020,2033,166.0,108.0,0.0,Alagoas
05/09/2020,2172,139.0,114.0,0.0,Alagoas
05/10/2020,2258,86.0,126.0,0.0,Alagoas
05/11/2020,2343,85.0,138.0,0.0,Alagoas
05/12/2020,2580,237.0,150.0,0.0,Alagoas
05/13/2020,2761,181.0,164.0,0.0,Alagoas
05/14/2020,2986,225.0,164.0,0.0,Alagoas
05/15/2020,3212,226.0,187.0,0.0,Alagoas
05/16/2020,3593,381.0,199.0,0.0,Alagoas
05/17/2020,3816,223.0,210.0,0.0,Alagoas
05/18/2020,4031,215.0,221.0,0.0,Alagoas
05/19/2020,4316,285.0,231.0,0.0,Alagoas
05/20/2020,4437,121.0,251.0,0.0,Alagoas
05/21/2020,4916,479.0,262.0,0.0,Alagoas
05/22/2020,5302,386.0,280.0,0.0,Alagoas
05/23/2020,5630,328.0,301.0,0.0,Alagoas
05/24/2020,6214,584.0,316.0,0.0,Alagoas
05/25/2020,6682,468.0,337.0,0.0,Alagoas
05/26/2020,7058,376.0,354.0,0.0,Alagoas
05/27/2020,7580,522.0,368.0,0.0,Alagoas
05/28/2020,8055,475.0,385.0,0.0,Alagoas
05/29/2020,8618,563.0,406.0,0.0,Alagoas
05/30/2020,9223,605.0,424.0,0.0,Alagoas
05/31/2020,10288,1065.0,443.0,0.0,Alagoas
06/01/2020,10837,549.0,461.0,0.0,Alagoas
06/02/2020,11559,722.0,482.0,0.0,Alagoas
06/03/2020,12071,512.0,482.0,0.0,Alagoas
