Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
03/08/2020,1,0,0.0,0,Alberta
03/09/2020,7,6.0,0.0,0,Alberta
03/11/2020,14,7.0,0.0,0,Alberta
03/12/2020,19,5.0,0.0,0,Alberta
03/13/2020,23,4.0,0.0,0,Alberta
03/14/2020,29,6.0,0.0,0,Alberta
03/15/2020,39,10.0,0.0,0,Alberta
03/16/2020,56,17.0,0.0,0,Alberta
03/17/2020,74,18.0,0.0,0,Alberta
03/18/2020,97,23.0,0.0,0,Alberta
03/19/2020,146,49.0,0.0,0,Alberta
03/20/2020,195,49.0,1.0,0,Alberta
03/21/2020,226,31.0,1.0,0,Alberta
03/22/2020,259,33.0,1.0,0,Alberta
03/23/2020,301,42.0,1.0,0,Alberta
03/24/2020,358,57.0,2.0,0,Alberta
03/25/2020,419,61.0,2.0,0,Alberta
03/26/2020,486,67.0,2.0,0,Alberta
03/27/2020,542,56.0,2.0,0,Alberta
03/28/2020,581,39.0,2.0,0,Alberta
03/29/2020,621,40.0,2.0,0,Alberta
03/30/2020,690,69.0,8.0,0,Alberta
03/31/2020,754,64.0,9.0,0,Alberta
04/01/2020,861,107.0,9.0,0,Alberta
04/02/2020,968,107.0,13.0,0,Alberta
04/03/2020,1075,107.0,18.0,0,Alberta
04/04/2020,1162,87.0,18.0,240.0,Alberta
04/05/2020,1250,88.0,23.0,279.0,Alberta
04/06/2020,1348,98.0,24.0,279.0,Alberta
04/07/2020,1373,25.0,26.0,447.0,Alberta
04/08/2020,1412,39.0,26.0,519.0,Alberta
04/09/2020,1451,39.0,32.0,592.0,Alberta
04/10/2020,1500,49.0,39.0,713.0,Alberta
04/11/2020,1569,69.0,40.0,774.0,Alberta
04/12/2020,1651,82.0,44.0,823.0,Alberta
04/13/2020,1732,81.0,46.0,877.0,Alberta
04/14/2020,1870,138.0,48.0,914.0,Alberta
04/15/2020,2014,144.0,49.0,914.0,Alberta
04/16/2020,2158,144.0,50.0,914.0,Alberta
04/17/2020,2397,239.0,50.0,1124.0,Alberta
04/18/2020,2562,165.0,51.0,1162.0,Alberta
04/19/2020,2735,173.0,55.0,1198.0,Alberta
04/20/2020,2908,173.0,59.0,1230.0,Alberta
04/21/2020,3095,187.0,61.0,1273.0,Alberta
04/22/2020,3401,306.0,66.0,1310.0,Alberta
04/23/2020,3720,319.0,67.0,1357.0,Alberta
04/24/2020,4017,297.0,72.0,1397.0,Alberta
04/25/2020,4233,216.0,73.0,1471.0,Alberta
04/26/2020,4480,247.0,73.0,1471.0,Alberta
04/27/2020,4696,216.0,75.0,1471.0,Alberta
04/28/2020,4850,154.0,80.0,1664.0,Alberta
04/29/2020,5165,315.0,87.0,1664.0,Alberta
04/30/2020,5355,190.0,89.0,1664.0,Alberta
05/01/2020,5573,218.0,92.0,1664.0,Alberta
05/02/2020,5670,97.0,94.0,1664.0,Alberta
05/03/2020,5766,96.0,95.0,1664.0,Alberta
05/04/2020,5836,70.0,104.0,1664.0,Alberta
05/05/2020,5893,57.0,106.0,3219.0,Alberta
05/06/2020,5963,70.0,112.0,3552.0,Alberta
05/07/2020,6017,54.0,114.0,3809.0,Alberta
05/08/2020,6098,81.0,115.0,4020.0,Alberta
05/09/2020,6175,77.0,115.0,4020.0,Alberta
05/10/2020,6253,78.0,117.0,4389.0,Alberta
05/11/2020,6300,47.0,117.0,4659.0,Alberta
05/12/2020,6345,45.0,118.0,4866.0,Alberta
05/13/2020,6407,62.0,120.0,5076.0,Alberta
05/14/2020,6457,50.0,121.0,5205.0,Alberta
05/15/2020,6515,58.0,125.0,5317.0,Alberta
05/16/2020,6587,72.0,126.0,5377.0,Alberta
05/17/2020,6644,57.0,127.0,5453.0,Alberta
05/18/2020,6683,39.0,128.0,5519.0,Alberta
05/19/2020,6716,33.0,128.0,5584.0,Alberta
05/20/2020,6742,26.0,128.0,5584.0,Alberta
05/21/2020,6768,26.0,132.0,5710.0,Alberta
05/22/2020,6800,32.0,134.0,5801.0,Alberta
05/23/2020,6818,18.0,135.0,5869.0,Alberta
05/24/2020,6860,42.0,135.0,5924.0,Alberta
05/25/2020,6879,19.0,138.0,5979.0,Alberta
05/26/2020,6901,22.0,139.0,6048.0,Alberta
05/27/2020,6926,25.0,141.0,6106.0,Alberta
05/28/2020,6955,29.0,143.0,6160.0,Alberta
05/29/2020,6979,24.0,143.0,6220.0,Alberta
05/30/2020,6992,13.0,143.0,6245.0,Alberta
05/31/2020,7010,18.0,143.0,6283.0,Alberta
06/01/2020,7033,23.0,143.0,6283.0,Alberta
06/02/2020,7057,24.0,143.0,6537.0,Alberta
06/03/2020,7076,19.0,145.0,6587.0,Alberta
06/04/2020,7091,15.0,146.0,6611.0,Alberta
06/05/2020,7098,7.0,146.0,6624.0,Alberta
06/06/2020,7138,40.0,146.0,6656.0,Alberta
06/07/2020,7170,32.0,146.0,6656.0,Alberta
06/08/2020,7202,32.0,149.0,6698.0,Alberta
06/09/2020,7239,37.0,149.0,6698.0,Alberta
06/10/2020,7276,37.0,151.0,6754.0,Alberta
06/11/2020,7316,40.0,151.0,6788.0,Alberta
06/12/2020,7346,30.0,151.0,6811.0,Alberta
06/13/2020,7389,43.0,151.0,6811.0,Alberta
06/14/2020,7433,44.0,151.0,6861.0,Alberta
06/15/2020,7457,24.0,151.0,6861.0,Alberta
06/16/2020,7482,25.0,151.0,6882.0,Alberta
06/17/2020,7530,48.0,151.0,6893.0,Alberta
06/18/2020,7579,49.0,152.0,6938.0,Alberta
06/19/2020,7626,47.0,152.0,6938.0,Alberta
06/20/2020,7673,47.0,152.0,6996.0,Alberta
06/21/2020,7704,31.0,152.0,7018.0,Alberta
06/22/2020,7736,32.0,153.0,7041.0,Alberta
06/23/2020,7781,45.0,153.0,7096.0,Alberta
06/24/2020,7825,44.0,153.0,7134.0,Alberta
06/25/2020,7851,26.0,154.0,7191.0,Alberta
01/31/2020,1,26.0,0.0,7191.0,British Columbia
02/08/2020,4,3.0,0.0,7191.0,British Columbia
02/16/2020,5,1.0,0.0,7191.0,British Columbia
02/21/2020,6,1.0,0.0,7191.0,British Columbia
02/24/2020,6,0.0,0.0,7191.0,British Columbia
