Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,991,0,6.0,984.0,Anhui
04/17/2020,991,0.0,6.0,984.0,Anhui
04/19/2020,991,0.0,6.0,984.0,Anhui
04/21/2020,991,0.0,6.0,984.0,Anhui
04/23/2020,991,0.0,6.0,984.0,Anhui
04/25/2020,991,0.0,6.0,985.0,Anhui
04/27/2020,991,0.0,6.0,985.0,Anhui
04/29/2020,991,0.0,6.0,985.0,Anhui
04/30/2020,991,0.0,6.0,985.0,Anhui
05/01/2020,991,0.0,6.0,985.0,Anhui
05/02/2020,991,0.0,6.0,985.0,Anhui
05/03/2020,991,0.0,6.0,985.0,Anhui
05/04/2020,991,0.0,6.0,985.0,Anhui
05/05/2020,991,0.0,6.0,985.0,Anhui
05/06/2020,991,0.0,6.0,985.0,Anhui
05/07/2020,991,0.0,6.0,985.0,Anhui
05/08/2020,991,0.0,6.0,985.0,Anhui
05/09/2020,991,0.0,6.0,985.0,Anhui
05/10/2020,991,0.0,6.0,985.0,Anhui
05/11/2020,991,0.0,6.0,985.0,Anhui
05/12/2020,991,0.0,6.0,985.0,Anhui
05/13/2020,991,0.0,6.0,985.0,Anhui
05/14/2020,991,0.0,6.0,985.0,Anhui
05/15/2020,991,0.0,6.0,985.0,Anhui
05/16/2020,991,0.0,6.0,985.0,Anhui
05/17/2020,991,0.0,6.0,985.0,Anhui
05/18/2020,991,0.0,6.0,985.0,Anhui
05/19/2020,991,0.0,6.0,985.0,Anhui
05/20/2020,991,0.0,6.0,985.0,Anhui
05/21/2020,991,0.0,6.0,985.0,Anhui
05/22/2020,991,0.0,6.0,985.0,Anhui
05/23/2020,991,0.0,6.0,985.0,Anhui
05/24/2020,991,0.0,6.0,985.0,Anhui
05/25/2020,991,0.0,6.0,985.0,Anhui
05/26/2020,991,0.0,6.0,985.0,Anhui
05/27/2020,991,0.0,6.0,985.0,Anhui
05/28/2020,991,0.0,6.0,985.0,Anhui
05/29/2020,991,0.0,6.0,985.0,Anhui
05/30/2020,991,0.0,6.0,985.0,Anhui
05/31/2020,991,0.0,6.0,985.0,Anhui
06/01/2020,991,0.0,6.0,985.0,Anhui
06/02/2020,991,0.0,6.0,985.0,Anhui
06/03/2020,991,0.0,6.0,985.0,Anhui
06/04/2020,991,0.0,6.0,985.0,Anhui
06/05/2020,991,0.0,6.0,985.0,Anhui
06/06/2020,991,0.0,6.0,985.0,Anhui
06/07/2020,991,0.0,6.0,985.0,Anhui
06/08/2020,991,0.0,6.0,985.0,Anhui
06/09/2020,991,0.0,6.0,985.0,Anhui
06/10/2020,991,0.0,6.0,985.0,Anhui
06/11/2020,991,0.0,6.0,985.0,Anhui
06/12/2020,991,0.0,6.0,985.0,Anhui
06/13/2020,991,0.0,6.0,985.0,Anhui
06/14/2020,991,0.0,6.0,985.0,Anhui
06/15/2020,991,0.0,6.0,985.0,Anhui
06/16/2020,991,0.0,6.0,985.0,Anhui
06/17/2020,991,0.0,6.0,985.0,Anhui
06/18/2020,991,0.0,6.0,985.0,Anhui
06/19/2020,991,0.0,6.0,985.0,Anhui
06/20/2020,991,0.0,6.0,985.0,Anhui
06/21/2020,991,0.0,6.0,985.0,Anhui
06/22/2020,991,0.0,6.0,985.0,Anhui
06/23/2020,991,0.0,6.0,985.0,Anhui
06/24/2020,991,0.0,6.0,985.0,Anhui
06/25/2020,991,0.0,6.0,985.0,Anhui
04/14/2020,580,0.0,8.0,418.0,Beijing
04/15/2020,590,10.0,8.0,495.0,Beijing
04/16/2020,591,1.0,8.0,418.0,Beijing
04/17/2020,593,2.0,8.0,503.0,Beijing
04/18/2020,593,0.0,8.0,509.0,Beijing
04/19/2020,593,0.0,8.0,510.0,Beijing
04/20/2020,593,0.0,8.0,514.0,Beijing
04/21/2020,593,0.0,8.0,516.0,Beijing
04/22/2020,593,0.0,8.0,518.0,Beijing
04/23/2020,593,0.0,8.0,509.0,Beijing
04/24/2020,593,0.0,8.0,524.0,Beijing
04/25/2020,593,0.0,8.0,509.0,Beijing
04/26/2020,593,0.0,8.0,525.0,Beijing
04/27/2020,593,0.0,8.0,558.0,Beijing
04/28/2020,593,0.0,9.0,525.0,Beijing
04/29/2020,593,0.0,9.0,538.0,Beijing
04/30/2020,593,0.0,9.0,538.0,Beijing
05/01/2020,593,0.0,9.0,547.0,Beijing
05/02/2020,593,0.0,9.0,547.0,Beijing
05/03/2020,593,0.0,9.0,551.0,Beijing
05/04/2020,593,0.0,9.0,551.0,Beijing
05/05/2020,593,0.0,9.0,554.0,Beijing
05/06/2020,593,0.0,9.0,555.0,Beijing
05/07/2020,593,0.0,9.0,557.0,Beijing
05/08/2020,593,0.0,9.0,557.0,Beijing
05/09/2020,593,0.0,9.0,563.0,Beijing
05/10/2020,593,0.0,9.0,565.0,Beijing
05/11/2020,593,0.0,9.0,568.0,Beijing
05/12/2020,593,0.0,9.0,571.0,Beijing
05/13/2020,593,0.0,9.0,571.0,Beijing
05/14/2020,593,0.0,9.0,574.0,Beijing
05/15/2020,593,0.0,9.0,574.0,Beijing
05/16/2020,593,0.0,9.0,574.0,Beijing
05/17/2020,593,0.0,9.0,574.0,Beijing
05/18/2020,593,0.0,9.0,578.0,Beijing
05/19/2020,593,0.0,9.0,578.0,Beijing
05/20/2020,593,0.0,9.0,578.0,Beijing
05/21/2020,593,0.0,9.0,579.0,Beijing
05/22/2020,593,0.0,9.0,579.0,Beijing
05/23/2020,593,0.0,9.0,579.0,Beijing
05/24/2020,593,0.0,9.0,581.0,Beijing
05/25/2020,593,0.0,9.0,581.0,Beijing
05/26/2020,593,0.0,9.0,581.0,Beijing
05/27/2020,593,0.0,9.0,581.0,Beijing
05/28/2020,593,0.0,9.0,581.0,Beijing
05/29/2020,593,0.0,9.0,581.0,Beijing
05/30/2020,593,0.0,9.0,581.0,Beijing
05/31/2020,593,0.0,9.0,581.0,Beijing
06/01/2020,593,0.0,9.0,581.0,Beijing
06/02/2020,593,0.0,9.0,581.0,Beijing
06/03/2020,594,1.0,9.0,582.0,Beijing
06/04/2020,594,0.0,9.0,583.0,Beijing
06/05/2020,594,0.0,9.0,583.0,Beijing
06/06/2020,594,0.0,9.0,583.0,Beijing
06/07/2020,594,0.0,9.0,583.0,Beijing
06/08/2020,594,0.0,9.0,583.0,Beijing
06/09/2020,594,0.0,9.0,584.0,Beijing
06/10/2020,594,0.0,9.0,584.0,Beijing
06/11/2020,594,0.0,9.0,584.0,Beijing
06/12/2020,595,1.0,9.0,584.0,Beijing
06/13/2020,597,2.0,9.0,584.0,Beijing
06/14/2020,637,40.0,9.0,584.0,Beijing
06/15/2020,673,36.0,9.0,584.0,Beijing
06/16/2020,700,27.0,9.0,584.0,Beijing
06/17/2020,731,31.0,9.0,584.0,Beijing
06/18/2020,752,21.0,9.0,584.0,Beijing
06/19/2020,777,25.0,9.0,584.0,Beijing
06/20/2020,799,22.0,9.0,584.0,Beijing
