Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/21/2020,4,0,0,0,Amazonas
04/23/2020,6,2,0,0,Amazonas
04/24/2020,12,6,1,0,Amazonas
04/26/2020,12,0,1,0,Amazonas
04/27/2020,40,28,2,0,Amazonas
04/29/2020,77,37,2,0,Amazonas
04/30/2020,104,27,2,0,Amazonas
05/01/2020,129,25,2,0,Amazonas
05/02/2020,154,25,2,0,Amazonas
05/03/2020,179,25,2,0,Amazonas
05/04/2020,204,25,2,0,Amazonas
05/05/2020,229,25,12,0,Amazonas
05/06/2020,229,0,12,0,Amazonas
05/07/2020,230,1,14,0,Amazonas
05/08/2020,418,188,14,0,Amazonas
05/09/2020,430,12,17,0,Amazonas
05/10/2020,478,48,17,0,Amazonas
05/11/2020,527,49,23,2,Amazonas
05/12/2020,718,191,26,8,Amazonas
05/13/2020,743,25,26,9,Amazonas
05/14/2020,871,128,29,21,Amazonas
05/15/2020,924,53,30,27,Amazonas
05/16/2020,1003,79,35,28,Amazonas
05/17/2020,1004,1,35,28,Amazonas
05/18/2020,1005,1,35,28,Amazonas
05/19/2020,1007,2,37,31,Amazonas
05/20/2020,1221,214,44,38,Amazonas
05/21/2020,1268,47,44,38,Amazonas
05/22/2020,1315,47,44,38,Amazonas
05/23/2020,1362,47,44,38,Amazonas
05/24/2020,1409,47,44,38,Amazonas
05/25/2020,1457,48,44,38,Amazonas
05/26/2020,1505,48,54,96,Amazonas
05/27/2020,1547,42,54,96,Amazonas
05/28/2020,1589,42,54,96,Amazonas
05/29/2020,1631,42,54,96,Amazonas
05/30/2020,1673,42,54,96,Amazonas
05/31/2020,1715,42,54,96,Amazonas
06/01/2020,1757,42,54,96,Amazonas
06/02/2020,1799,42,54,96,Amazonas
06/03/2020,1852,53,64,469,Amazonas
06/04/2020,1898,46,65,758,Amazonas
06/05/2020,1900,2,68,803,Amazonas
06/06/2020,1923,23,68,803,Amazonas
06/07/2020,1946,23,68,803,Amazonas
06/08/2020,1969,23,68,803,Amazonas
06/09/2020,1992,23,72,1002,Amazonas
06/10/2020,2012,20,72,1002,Amazonas
06/11/2020,2033,21,73,1070,Amazonas
06/12/2020,2066,33,73,1156,Amazonas
06/13/2020,2082,16,73,1156,Amazonas
06/14/2020,2098,16,73,1156,Amazonas
06/15/2020,2114,16,73,1156,Amazonas
06/16/2020,2131,17,78,1309,Amazonas
06/17/2020,2147,16,78,1309,Amazonas
06/18/2020,2163,16,78,1309,Amazonas
06/19/2020,2179,16,78,1354,Amazonas
06/20/2020,2185,6,78,1354,Amazonas
06/21/2020,2191,6,78,1354,Amazonas
06/22/2020,2197,6,78,1354,Amazonas
06/23/2020,2204,7,84,1747,Amazonas
06/24/2020,2218,14,84,1747,Amazonas
06/25/2020,2232,14,84,1747,Amazonas
06/26/2020,2246,14,84,1747,Amazonas
06/27/2020,2260,14,84,1747,Amazonas
06/28/2020,2274,14,84,1747,Amazonas
06/29/2020,2289,15,84,1747,Amazonas
06/30/2020,2304,15,84,1747,Amazonas
07/02/2020,2319,15,89,1951,Amazonas
07/03/2020,2325,6,89,1960,Amazonas
07/04/2020,2328,3,89,1966,Amazonas
07/05/2020,2335,7,89,2001,Amazonas
04/15/2020,272,7,89,2001,Antioquia
04/16/2020,301,29,1,108,Antioquia
04/17/2020,312,11,1,111,Antioquia
04/18/2020,324,12,1,118,Antioquia
04/20/2020,343,19,1,118,Antioquia
04/21/2020,363,20,1,119,Antioquia
04/23/2020,393,30,1,119,Antioquia
04/24/2020,426,33,3,125,Antioquia
04/26/2020,439,13,3,125,Antioquia
04/27/2020,452,13,4,149,Antioquia
04/28/2020,461,9,5,158,Antioquia
04/29/2020,463,2,5,162,Antioquia
04/30/2020,468,5,5,162,Antioquia
05/01/2020,472,4,5,170,Antioquia
05/02/2020,472,0,5,170,Antioquia
05/03/2020,472,0,5,170,Antioquia
05/04/2020,472,0,5,170,Antioquia
05/05/2020,472,0,6,196,Antioquia
05/06/2020,472,0,6,196,Antioquia
05/07/2020,472,0,6,216,Antioquia
05/08/2020,472,0,6,222,Antioquia
05/09/2020,472,0,6,242,Antioquia
05/10/2020,472,0,6,242,Antioquia
05/11/2020,473,1,6,267,Antioquia
05/12/2020,474,1,6,286,Antioquia
05/13/2020,481,7,6,290,Antioquia
05/14/2020,491,10,6,305,Antioquia
05/15/2020,501,10,6,309,Antioquia
05/16/2020,509,8,6,314,Antioquia
05/17/2020,517,8,6,314,Antioquia
05/18/2020,525,8,6,314,Antioquia
05/19/2020,534,9,6,326,Antioquia
05/20/2020,561,27,6,339,Antioquia
05/21/2020,611,50,6,339,Antioquia
05/22/2020,661,50,6,339,Antioquia
05/23/2020,711,50,6,339,Antioquia
05/24/2020,761,50,6,339,Antioquia
05/25/2020,811,50,6,339,Antioquia
05/26/2020,861,50,6,396,Antioquia
05/27/2020,884,23,6,396,Antioquia
05/28/2020,907,23,6,396,Antioquia
05/29/2020,930,23,6,396,Antioquia
05/30/2020,953,23,6,396,Antioquia
05/31/2020,976,23,6,396,Antioquia
06/01/2020,1000,24,6,396,Antioquia
06/02/2020,1024,24,6,396,Antioquia
06/03/2020,1200,176,6,505,Antioquia
06/04/2020,1260,60,6,518,Antioquia
06/05/2020,1328,68,6,533,Antioquia
06/06/2020,1375,47,6,533,Antioquia
06/07/2020,1422,47,6,533,Antioquia
06/08/2020,1470,48,6,533,Antioquia
06/09/2020,1518,48,7,575,Antioquia
06/10/2020,1583,65,7,575,Antioquia
06/11/2020,1648,65,8,591,Antioquia
06/12/2020,1704,56,8,610,Antioquia
06/13/2020,1814,110,8,610,Antioquia
06/14/2020,1925,111,8,610,Antioquia
06/15/2020,2036,111,8,610,Antioquia
06/16/2020,2147,111,9,782,Antioquia
06/17/2020,2221,74,9,782,Antioquia
06/18/2020,2295,74,9,782,Antioquia
06/19/2020,2369,74,11,809,Antioquia
06/20/2020,2529,160,11,809,Antioquia
06/21/2020,2689,160,11,809,Antioquia
06/22/2020,2849,160,11,809,Antioquia
06/23/2020,3009,160,14,1128,Antioquia
06/24/2020,3215,206,14,1128,Antioquia
06/25/2020,3421,206,14,1128,Antioquia
06/26/2020,3627,206,14,1128,Antioquia
06/27/2020,3833,206,14,1128,Antioquia
06/28/2020,4039,206,14,1128,Antioquia
06/29/2020,4246,207,14,1128,Antioquia
06/30/2020,4453,207,14,1128,Antioquia
07/02/2020,4660,207,28,1921,Antioquia
07/03/2020,4981,321,30,2012,Antioquia
07/04/2020,5263,282,37,2083,Antioquia
07/05/2020,5675,412,41,2136,Antioquia
05/26/2020,1,412,0,0,Arauca
05/27/2020,1,0,0,0,Arauca
05/28/2020,1,0,0,0,Arauca
05/29/2020,1,0,0,0,Arauca
05/30/2020,1,0,0,0,Arauca
05/31/2020,1,0,0,0,Arauca
06/01/2020,1,0,0,0,Arauca
06/02/2020,1,0,0,0,Arauca
06/03/2020,1,0,0,1,Arauca
06/04/2020,1,0,0,1,Arauca
06/05/2020,2,1,0,1,Arauca
06/06/2020,2,0,0,1,Arauca
06/07/2020,2,0,0,1,Arauca
06/08/2020,2,0,0,1,Arauca
06/09/2020,2,0,0,1,Arauca
06/10/2020,2,0,0,1,Arauca
06/11/2020,2,0,0,1,Arauca
06/12/2020,2,0,0,1,Arauca
06/13/2020,2,0,0,1,Arauca
06/14/2020,2,0,0,1,Arauca
06/15/2020,2,0,0,1,Arauca
06/16/2020,45,43,0,2,Arauca
06/17/2020,45,0,0,2,Arauca
06/18/2020,45,0,0,2,Arauca
06/19/2020,46,1,0,2,Arauca
06/20/2020,46,0,0,2,Arauca
06/21/2020,46,0,0,2,Arauca
06/22/2020,46,0,0,2,Arauca
06/23/2020,70,24,0,2,Arauca
06/24/2020,71,1,0,2,Arauca
06/25/2020,72,1,0,2,Arauca
06/26/2020,73,1,0,2,Arauca
06/27/2020,74,1,0,2,Arauca
06/28/2020,75,1,0,2,Arauca
06/29/2020,76,1,0,2,Arauca
06/30/2020,78,2,0,2,Arauca
07/02/2020,80,2,0,4,Arauca
07/03/2020,81,1,0,7,Arauca
07/04/2020,82,1,0,7,Arauca
07/05/2020,96,14,0,7,Arauca
04/15/2020,92,14,0,7,Atlantico
04/16/2020,95,3,5,18,Atlantico
04/17/2020,97,2,5,20,Atlantico
04/18/2020,101,4,5,34,Atlantico
04/20/2020,106,5,5,34,Atlantico
04/21/2020,111,5,5,34,Atlantico
04/23/2020,118,7,5,34,Atlantico
04/24/2020,125,7,7,40,Atlantico
04/26/2020,150,25,7,40,Atlantico
04/27/2020,176,26,8,42,Atlantico
04/28/2020,218,42,8,52,Atlantico
04/29/2020,246,28,10,52,Atlantico
04/30/2020,253,7,10,52,Atlantico
05/01/2020,309,56,12,54,Atlantico
05/02/2020,364,55,12,54,Atlantico
05/03/2020,419,55,12,54,Atlantico
05/04/2020,474,55,12,54,Atlantico
05/05/2020,530,56,21,63,Atlantico
05/06/2020,609,79,21,63,Atlantico
05/07/2020,689,80,31,70,Atlantico
05/08/2020,760,71,33,71,Atlantico
05/09/2020,868,108,35,72,Atlantico
05/10/2020,919,51,35,72,Atlantico
05/11/2020,970,51,40,80,Atlantico
05/12/2020,1022,52,41,84,Atlantico
05/13/2020,1124,102,42,85,Atlantico
05/14/2020,1268,144,42,90,Atlantico
05/15/2020,1383,115,43,97,Atlantico
05/16/2020,1493,110,45,101,Atlantico
05/17/2020,1577,84,45,101,Atlantico
05/18/2020,1661,84,45,101,Atlantico
05/19/2020,1746,85,46,122,Atlantico
05/20/2020,1923,177,53,133,Atlantico
05/21/2020,2047,124,53,133,Atlantico
05/22/2020,2208,161,53,133,Atlantico
05/23/2020,2369,161,53,133,Atlantico
05/24/2020,2530,161,53,133,Atlantico
05/25/2020,2691,161,53,133,Atlantico
05/26/2020,2853,162,72,268,Atlantico
05/27/2020,2934,81,72,268,Atlantico
05/28/2020,3015,81,72,268,Atlantico
05/29/2020,3096,81,72,268,Atlantico
05/30/2020,3178,82,72,268,Atlantico
05/31/2020,3260,82,72,268,Atlantico
06/01/2020,3342,82,72,268,Atlantico
06/02/2020,3424,82,72,268,Atlantico
06/03/2020,4550,1126,115,825,Atlantico
06/04/2020,4756,206,131,1234,Atlantico
06/05/2020,5403,647,143,1379,Atlantico
06/06/2020,5676,273,143,1379,Atlantico
06/07/2020,5950,274,143,1379,Atlantico
06/08/2020,6224,274,143,1379,Atlantico
06/09/2020,6498,274,211,1897,Atlantico
06/10/2020,6797,299,211,1897,Atlantico
06/11/2020,7096,299,269,2190,Atlantico
06/12/2020,7502,406,294,2289,Atlantico
06/13/2020,8377,875,294,2289,Atlantico
06/14/2020,9252,875,294,2289,Atlantico
06/15/2020,10127,875,294,2289,Atlantico
06/16/2020,11002,875,419,2792,Atlantico
06/17/2020,11410,408,419,2792,Atlantico
06/18/2020,11819,409,419,2792,Atlantico
06/19/2020,12228,409,451,2839,Atlantico
06/20/2020,13233,1005,451,2839,Atlantico
06/21/2020,14238,1005,451,2839,Atlantico
06/22/2020,15243,1005,451,2839,Atlantico
06/23/2020,16249,1006,682,4337,Atlantico
06/24/2020,17244,995,682,4337,Atlantico
06/25/2020,18239,995,682,4337,Atlantico
06/26/2020,19234,995,682,4337,Atlantico
06/27/2020,20229,995,682,4337,Atlantico
06/28/2020,21224,995,682,4337,Atlantico
06/29/2020,22220,996,682,4337,Atlantico
06/30/2020,23216,996,682,4337,Atlantico
07/02/2020,24212,996,1216,8149,Atlantico
07/03/2020,25181,969,1292,8473,Atlantico
07/04/2020,25788,607,1338,8719,Atlantico
07/05/2020,26406,618,1412,9077,Atlantico
04/15/2020,134,618,1412,9077,Bolivar
04/16/2020,159,25,10,29,Bolivar
04/17/2020,167,8,10,32,Bolivar
04/18/2020,172,5,12,34,Bolivar
04/20/2020,183,11,12,34,Bolivar
04/21/2020,195,12,14,41,Bolivar
04/23/2020,199,4,14,41,Bolivar
04/24/2020,204,5,17,51,Bolivar
04/26/2020,222,18,17,51,Bolivar
04/27/2020,240,18,22,64,Bolivar
04/28/2020,244,4,22,72,Bolivar
