Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,740,0,0.0,0.0,Central Bohemia
04/16/2020,782,42,0.0,0.0,Central Bohemia
04/17/2020,798,16,0.0,0.0,Central Bohemia
04/18/2020,806,8,0.0,0.0,Central Bohemia
04/19/2020,815,9,0.0,0.0,Central Bohemia
04/20/2020,818,3,0.0,0.0,Central Bohemia
04/21/2020,831,13,0.0,0.0,Central Bohemia
04/22/2020,846,15,0.0,0.0,Central Bohemia
04/23/2020,847,1,0.0,0.0,Central Bohemia
04/24/2020,854,7,0.0,0.0,Central Bohemia
04/25/2020,866,12,0.0,0.0,Central Bohemia
04/26/2020,870,4,0.0,0.0,Central Bohemia
04/27/2020,876,6,0.0,0.0,Central Bohemia
04/28/2020,880,4,0.0,0.0,Central Bohemia
04/29/2020,886,6,0.0,0.0,Central Bohemia
04/30/2020,891,5,0.0,0.0,Central Bohemia
05/01/2020,896,5,0.0,0.0,Central Bohemia
05/02/2020,901,5,0.0,0.0,Central Bohemia
05/03/2020,906,5,0.0,0.0,Central Bohemia
05/04/2020,911,5,0.0,0.0,Central Bohemia
05/05/2020,920,9,0.0,0.0,Central Bohemia
05/06/2020,923,3,0.0,0.0,Central Bohemia
05/07/2020,934,11,0.0,0.0,Central Bohemia
05/08/2020,937,3,0.0,0.0,Central Bohemia
05/09/2020,941,4,0.0,0.0,Central Bohemia
05/10/2020,946,5,0.0,0.0,Central Bohemia
05/11/2020,954,8,0.0,0.0,Central Bohemia
05/12/2020,959,5,0.0,0.0,Central Bohemia
05/13/2020,970,11,0.0,0.0,Central Bohemia
05/14/2020,1000,30,0.0,0.0,Central Bohemia
05/15/2020,1011,11,0.0,0.0,Central Bohemia
05/16/2020,1013,2,0.0,0.0,Central Bohemia
05/17/2020,1015,2,0.0,0.0,Central Bohemia
05/18/2020,1018,3,0.0,0.0,Central Bohemia
05/19/2020,1027,9,0.0,0.0,Central Bohemia
05/20/2020,1037,10,0.0,0.0,Central Bohemia
05/21/2020,1040,3,0.0,0.0,Central Bohemia
05/22/2020,1043,3,0.0,0.0,Central Bohemia
05/23/2020,1047,4,0.0,0.0,Central Bohemia
05/24/2020,1049,2,0.0,0.0,Central Bohemia
05/25/2020,1051,2,0.0,0.0,Central Bohemia
05/26/2020,1054,3,0.0,0.0,Central Bohemia
05/27/2020,1056,2,0.0,0.0,Central Bohemia
05/28/2020,1059,3,0.0,0.0,Central Bohemia
05/29/2020,1062,3,0.0,0.0,Central Bohemia
05/30/2020,1069,7,0.0,0.0,Central Bohemia
05/31/2020,1070,1,0.0,0.0,Central Bohemia
06/01/2020,1071,1,0.0,0.0,Central Bohemia
06/02/2020,1071,0,0.0,0.0,Central Bohemia
06/03/2020,1071,0,0.0,0.0,Central Bohemia
06/04/2020,1072,1,0.0,0.0,Central Bohemia
06/05/2020,1078,6,0.0,0.0,Central Bohemia
06/06/2020,1080,2,0.0,0.0,Central Bohemia
06/07/2020,1081,1,0.0,0.0,Central Bohemia
06/08/2020,1083,2,0.0,0.0,Central Bohemia
06/09/2020,1092,9,0.0,0.0,Central Bohemia
06/10/2020,1094,2,0.0,0.0,Central Bohemia
06/11/2020,1107,13,0.0,0.0,Central Bohemia
06/12/2020,1120,13,0.0,0.0,Central Bohemia
06/13/2020,1130,10,0.0,0.0,Central Bohemia
06/14/2020,1134,4,0.0,0.0,Central Bohemia
06/15/2020,1059,-75,0.0,0.0,Central Bohemia
06/16/2020,1059,0,0.0,0.0,Central Bohemia
06/17/2020,1059,0,0.0,0.0,Central Bohemia
06/18/2020,1059,0,0.0,0.0,Central Bohemia
06/19/2020,1059,0,0.0,0.0,Central Bohemia
06/20/2020,1059,0,0.0,0.0,Central Bohemia
06/21/2020,1059,0,0.0,0.0,Central Bohemia
06/22/2020,1059,0,0.0,0.0,Central Bohemia
06/23/2020,1059,0,0.0,0.0,Central Bohemia
06/24/2020,1059,0,0.0,0.0,Central Bohemia
06/25/2020,1059,0,0.0,0.0,Central Bohemia
04/15/2020,170,0,0.0,0.0,Hradec Králové
04/16/2020,172,2,0.0,0.0,Hradec Králové
04/17/2020,176,4,0.0,0.0,Hradec Králové
04/19/2020,177,1,0.0,0.0,Hradec Králové
