Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,3504,0,0.0,0.0,Capital Region
04/16/2020,3698,194,0.0,0.0,Capital Region
04/17/2020,3786,88,0.0,0.0,Capital Region
04/18/2020,3876,90,0.0,0.0,Capital Region
04/19/2020,3969,93,0.0,0.0,Capital Region
04/20/2020,4053,84,0.0,0.0,Capital Region
04/21/2020,4148,95,0.0,0.0,Capital Region
04/22/2020,4287,139,0.0,0.0,Capital Region
04/23/2020,4367,80,0.0,0.0,Capital Region
04/24/2020,4446,79,0.0,0.0,Capital Region
04/26/2020,4590,144,0.0,0.0,Capital Region
04/27/2020,4734,144,0.0,0.0,Capital Region
04/28/2020,4832,98,0.0,0.0,Capital Region
04/29/2020,4886,54,0.0,0.0,Capital Region
04/30/2020,4940,54,0.0,0.0,Capital Region
05/01/2020,5040,100,0.0,0.0,Capital Region
05/02/2020,5142,102,0.0,0.0,Capital Region
05/03/2020,5194,52,0.0,0.0,Capital Region
05/04/2020,5265,71,0.0,0.0,Capital Region
05/05/2020,5356,91,0.0,0.0,Capital Region
05/06/2020,5454,98,0.0,0.0,Capital Region
05/07/2020,5535,81,0.0,0.0,Capital Region
05/08/2020,5605,70,0.0,0.0,Capital Region
05/09/2020,5696,91,0.0,0.0,Capital Region
05/10/2020,5771,75,0.0,0.0,Capital Region
05/11/2020,5847,76,0.0,0.0,Capital Region
05/12/2020,5903,56,0.0,0.0,Capital Region
05/13/2020,5958,55,0.0,0.0,Capital Region
05/14/2020,6029,71,0.0,0.0,Capital Region
05/15/2020,6051,22,0.0,0.0,Capital Region
05/16/2020,6073,22,0.0,0.0,Capital Region
05/17/2020,6107,34,0.0,0.0,Capital Region
05/18/2020,6155,48,0.0,0.0,Capital Region
05/19/2020,6235,80,0.0,0.0,Capital Region
05/20/2020,6261,26,0.0,0.0,Capital Region
05/21/2020,6288,27,0.0,0.0,Capital Region
05/22/2020,6360,72,0.0,0.0,Capital Region
05/23/2020,6397,37,0.0,0.0,Capital Region
05/24/2020,6435,38,0.0,0.0,Capital Region
05/25/2020,6473,38,0.0,0.0,Capital Region
05/26/2020,6511,38,0.0,0.0,Capital Region
05/27/2020,6549,38,0.0,0.0,Capital Region
05/28/2020,6573,24,0.0,0.0,Capital Region
05/29/2020,6639,66,0.0,0.0,Capital Region
05/30/2020,6663,24,0.0,0.0,Capital Region
05/31/2020,6687,24,0.0,0.0,Capital Region
06/01/2020,6712,25,0.0,0.0,Capital Region
06/02/2020,6737,25,0.0,0.0,Capital Region
06/03/2020,6760,23,0.0,0.0,Capital Region
06/04/2020,6783,23,0.0,0.0,Capital Region
06/05/2020,6809,26,0.0,0.0,Capital Region
06/06/2020,6835,26,0.0,0.0,Capital Region
06/07/2020,6861,26,0.0,0.0,Capital Region
06/08/2020,6887,26,0.0,0.0,Capital Region
06/09/2020,6899,12,0.0,0.0,Capital Region
06/10/2020,6912,13,0.0,0.0,Capital Region
06/11/2020,6925,13,0.0,0.0,Capital Region
06/12/2020,6982,57,0.0,0.0,Capital Region
06/13/2020,7004,22,0.0,0.0,Capital Region
06/14/2020,7027,23,0.0,0.0,Capital Region
06/15/2020,7050,23,0.0,0.0,Capital Region
06/16/2020,7073,23,0.0,0.0,Capital Region
06/17/2020,7101,28,0.0,0.0,Capital Region
06/18/2020,7129,28,0.0,0.0,Capital Region
06/19/2020,7157,28,0.0,0.0,Capital Region
06/20/2020,7185,28,0.0,0.0,Capital Region
06/21/2020,7213,28,0.0,0.0,Capital Region
06/22/2020,7241,28,0.0,0.0,Capital Region
06/23/2020,7269,28,0.0,0.0,Capital Region
06/24/2020,7298,29,0.0,0.0,Capital Region
06/25/2020,7327,29,0.0,0.0,Capital Region
06/26/2020,7334,7,0.0,0.0,Capital Region
06/27/2020,7334,0,0.0,0.0,Capital Region
06/28/2020,7334,0,0.0,0.0,Capital Region
06/29/2020,7334,0,0.0,0.0,Capital Region
06/30/2020,7334,0,0.0,0.0,Capital Region
04/15/2020,1019,0,0.0,0.0,Middle Jutland
04/16/2020,1091,72,0.0,0.0,Middle Jutland
04/17/2020,1131,40,0.0,0.0,Middle Jutland
04/18/2020,1156,25,0.0,0.0,Middle Jutland
04/19/2020,1172,16,0.0,0.0,Middle Jutland
04/20/2020,1186,14,0.0,0.0,Middle Jutland
04/21/2020,1213,27,0.0,0.0,Middle Jutland
04/22/2020,1241,28,0.0,0.0,Middle Jutland
04/23/2020,1271,30,0.0,0.0,Middle Jutland
04/24/2020,1290,19,0.0,0.0,Middle Jutland
04/26/2020,1331,41,0.0,0.0,Middle Jutland
04/27/2020,1372,41,0.0,0.0,Middle Jutland
04/28/2020,1384,12,0.0,0.0,Middle Jutland
04/29/2020,1394,10,0.0,0.0,Middle Jutland
04/30/2020,1405,11,0.0,0.0,Middle Jutland
05/01/2020,1423,18,0.0,0.0,Middle Jutland
05/02/2020,1433,10,0.0,0.0,Middle Jutland
05/03/2020,1453,20,0.0,0.0,Middle Jutland
05/04/2020,1473,20,0.0,0.0,Middle Jutland
05/05/2020,1493,20,0.0,0.0,Middle Jutland
05/06/2020,1499,6,0.0,0.0,Middle Jutland
05/07/2020,1503,4,0.0,0.0,Middle Jutland
05/08/2020,1512,9,0.0,0.0,Middle Jutland
05/09/2020,1524,12,0.0,0.0,Middle Jutland
05/10/2020,1531,7,0.0,0.0,Middle Jutland
05/11/2020,1538,7,0.0,0.0,Middle Jutland
05/12/2020,1541,3,0.0,0.0,Middle Jutland
05/13/2020,1544,3,0.0,0.0,Middle Jutland
05/14/2020,1549,5,0.0,0.0,Middle Jutland
05/15/2020,1550,1,0.0,0.0,Middle Jutland
05/16/2020,1552,2,0.0,0.0,Middle Jutland
05/17/2020,1555,3,0.0,0.0,Middle Jutland
05/18/2020,1563,8,0.0,0.0,Middle Jutland
05/19/2020,1571,8,0.0,0.0,Middle Jutland
05/20/2020,1573,2,0.0,0.0,Middle Jutland
05/21/2020,1576,3,0.0,0.0,Middle Jutland
05/22/2020,1585,9,0.0,0.0,Middle Jutland
05/23/2020,1586,1,0.0,0.0,Middle Jutland
05/24/2020,1587,1,0.0,0.0,Middle Jutland
05/25/2020,1588,1,0.0,0.0,Middle Jutland
05/26/2020,1590,2,0.0,0.0,Middle Jutland
05/27/2020,1591,1,0.0,0.0,Middle Jutland
05/28/2020,1593,2,0.0,0.0,Middle Jutland
05/29/2020,1596,3,0.0,0.0,Middle Jutland
05/30/2020,1596,0,0.0,0.0,Middle Jutland
05/31/2020,1596,0,0.0,0.0,Middle Jutland
06/01/2020,1597,1,0.0,0.0,Middle Jutland
06/02/2020,1598,1,0.0,0.0,Middle Jutland
06/03/2020,1599,1,0.0,0.0,Middle Jutland
06/04/2020,1601,2,0.0,0.0,Middle Jutland
06/05/2020,1602,1,0.0,0.0,Middle Jutland
06/06/2020,1603,1,0.0,0.0,Middle Jutland
06/07/2020,1605,2,0.0,0.0,Middle Jutland
06/08/2020,1607,2,0.0,0.0,Middle Jutland
06/09/2020,1608,1,0.0,0.0,Middle Jutland
06/10/2020,1609,1,0.0,0.0,Middle Jutland
06/11/2020,1610,1,0.0,0.0,Middle Jutland
06/12/2020,1612,2,0.0,0.0,Middle Jutland
06/13/2020,1613,1,0.0,0.0,Middle Jutland
06/14/2020,1614,1,0.0,0.0,Middle Jutland
06/15/2020,1616,2,0.0,0.0,Middle Jutland
06/16/2020,1618,2,0.0,0.0,Middle Jutland
06/17/2020,1620,2,0.0,0.0,Middle Jutland
06/18/2020,1622,2,0.0,0.0,Middle Jutland
06/19/2020,1624,2,0.0,0.0,Middle Jutland
06/20/2020,1626,2,0.0,0.0,Middle Jutland
06/21/2020,1628,2,0.0,0.0,Middle Jutland
06/22/2020,1630,2,0.0,0.0,Middle Jutland
06/23/2020,1633,3,0.0,0.0,Middle Jutland
06/24/2020,1636,3,0.0,0.0,Middle Jutland
06/25/2020,1639,3,0.0,0.0,Middle Jutland
06/26/2020,1642,3,0.0,0.0,Middle Jutland
06/27/2020,1642,0,0.0,0.0,Middle Jutland
06/28/2020,1642,0,0.0,0.0,Middle Jutland
06/29/2020,1642,0,0.0,0.0,Middle Jutland
06/30/2020,1642,0,0.0,0.0,Middle Jutland
04/15/2020,319,0,0.0,0.0,North Jutland
04/16/2020,332,13,0.0,0.0,North Jutland
04/17/2020,336,4,0.0,0.0,North Jutland
04/18/2020,340,4,0.0,0.0,North Jutland
04/19/2020,342,2,0.0,0.0,North Jutland
04/20/2020,345,3,0.0,0.0,North Jutland
04/21/2020,347,2,0.0,0.0,North Jutland
04/22/2020,354,7,0.0,0.0,North Jutland
04/23/2020,362,8,0.0,0.0,North Jutland
04/24/2020,366,4,0.0,0.0,North Jutland
04/26/2020,368,2,0.0,0.0,North Jutland
04/27/2020,371,3,0.0,0.0,North Jutland
04/28/2020,379,8,0.0,0.0,North Jutland
04/29/2020,380,1,0.0,0.0,North Jutland
04/30/2020,381,1,0.0,0.0,North Jutland
05/01/2020,383,2,0.0,0.0,North Jutland
05/02/2020,386,3,0.0,0.0,North Jutland
05/03/2020,389,3,0.0,0.0,North Jutland
05/04/2020,393,4,0.0,0.0,North Jutland
05/05/2020,404,11,0.0,0.0,North Jutland
05/06/2020,408,4,0.0,0.0,North Jutland
05/07/2020,413,5,0.0,0.0,North Jutland
05/08/2020,413,0,0.0,0.0,North Jutland
05/09/2020,414,1,0.0,0.0,North Jutland
05/10/2020,414,0,0.0,0.0,North Jutland
05/11/2020,415,1,0.0,0.0,North Jutland
05/12/2020,419,4,0.0,0.0,North Jutland
05/13/2020,421,2,0.0,0.0,North Jutland
05/14/2020,424,3,0.0,0.0,North Jutland
05/15/2020,424,0,0.0,0.0,North Jutland
05/16/2020,424,0,0.0,0.0,North Jutland
05/17/2020,424,0,0.0,0.0,North Jutland
05/18/2020,425,1,0.0,0.0,North Jutland
05/19/2020,425,0,0.0,0.0,North Jutland
05/20/2020,426,1,0.0,0.0,North Jutland
05/21/2020,427,1,0.0,0.0,North Jutland
05/22/2020,430,3,0.0,0.0,North Jutland
05/23/2020,431,1,0.0,0.0,North Jutland
05/24/2020,432,1,0.0,0.0,North Jutland
05/25/2020,433,1,0.0,0.0,North Jutland
05/26/2020,434,1,0.0,0.0,North Jutland
05/27/2020,438,4,0.0,0.0,North Jutland
05/28/2020,438,0,0.0,0.0,North Jutland
05/29/2020,438,0,0.0,0.0,North Jutland
05/30/2020,438,0,0.0,0.0,North Jutland
05/31/2020,438,0,0.0,0.0,North Jutland
06/01/2020,438,0,0.0,0.0,North Jutland
06/02/2020,438,0,0.0,0.0,North Jutland
06/03/2020,438,0,0.0,0.0,North Jutland
06/04/2020,439,1,0.0,0.0,North Jutland
06/05/2020,440,1,0.0,0.0,North Jutland
06/06/2020,441,1,0.0,0.0,North Jutland
06/07/2020,442,1,0.0,0.0,North Jutland
06/08/2020,443,1,0.0,0.0,North Jutland
06/09/2020,444,1,0.0,0.0,North Jutland
06/10/2020,445,1,0.0,0.0,North Jutland
06/11/2020,446,1,0.0,0.0,North Jutland
06/12/2020,447,1,0.0,0.0,North Jutland
06/13/2020,454,7,0.0,0.0,North Jutland
06/14/2020,462,8,0.0,0.0,North Jutland
06/15/2020,470,8,0.0,0.0,North Jutland
06/16/2020,478,8,0.0,0.0,North Jutland
06/17/2020,482,4,0.0,0.0,North Jutland
06/18/2020,487,5,0.0,0.0,North Jutland
06/19/2020,492,5,0.0,0.0,North Jutland
06/20/2020,497,5,0.0,0.0,North Jutland
06/21/2020,502,5,0.0,0.0,North Jutland
06/22/2020,507,5,0.0,0.0,North Jutland
06/23/2020,512,5,0.0,0.0,North Jutland
06/24/2020,517,5,0.0,0.0,North Jutland
06/25/2020,522,5,0.0,0.0,North Jutland
06/26/2020,540,18,0.0,0.0,North Jutland
06/27/2020,540,0,0.0,0.0,North Jutland
06/28/2020,540,0,0.0,0.0,North Jutland
06/29/2020,540,0,0.0,0.0,North Jutland
06/30/2020,540,0,0.0,0.0,North Jutland
04/16/2020,769,0,0.0,0.0,South Denmark
04/17/2020,785,16,0.0,0.0,South Denmark
04/18/2020,802,17,0.0,0.0,South Denmark
04/19/2020,805,3,0.0,0.0,South Denmark
04/20/2020,810,5,0.0,0.0,South Denmark
04/21/2020,814,4,0.0,0.0,South Denmark
04/22/2020,829,15,0.0,0.0,South Denmark
04/23/2020,835,6,0.0,0.0,South Denmark
04/24/2020,840,5,0.0,0.0,South Denmark
04/26/2020,849,9,0.0,0.0,South Denmark
04/27/2020,859,10,0.0,0.0,South Denmark
04/28/2020,865,6,0.0,0.0,South Denmark
04/29/2020,866,1,0.0,0.0,South Denmark
04/30/2020,867,1,0.0,0.0,South Denmark
05/01/2020,874,7,0.0,0.0,South Denmark
05/02/2020,878,4,0.0,0.0,South Denmark
05/03/2020,879,1,0.0,0.0,South Denmark
05/04/2020,882,3,0.0,0.0,South Denmark
05/05/2020,891,9,0.0,0.0,South Denmark
05/06/2020,894,3,0.0,0.0,South Denmark
05/07/2020,897,3,0.0,0.0,South Denmark
05/08/2020,901,4,0.0,0.0,South Denmark
05/09/2020,905,4,0.0,0.0,South Denmark
05/10/2020,911,6,0.0,0.0,South Denmark
05/11/2020,912,1,0.0,0.0,South Denmark
05/12/2020,914,2,0.0,0.0,South Denmark
05/13/2020,921,7,0.0,0.0,South Denmark
05/14/2020,935,14,0.0,0.0,South Denmark
05/15/2020,941,6,0.0,0.0,South Denmark
05/16/2020,947,6,0.0,0.0,South Denmark
05/17/2020,959,12,0.0,0.0,South Denmark
05/18/2020,963,4,0.0,0.0,South Denmark
05/19/2020,972,9,0.0,0.0,South Denmark
05/20/2020,975,3,0.0,0.0,South Denmark
05/21/2020,979,4,0.0,0.0,South Denmark
05/22/2020,984,5,0.0,0.0,South Denmark
05/23/2020,986,2,0.0,0.0,South Denmark
05/24/2020,988,2,0.0,0.0,South Denmark
05/25/2020,990,2,0.0,0.0,South Denmark
05/26/2020,992,2,0.0,0.0,South Denmark
05/27/2020,998,6,0.0,0.0,South Denmark
05/28/2020,999,1,0.0,0.0,South Denmark
05/29/2020,1000,1,0.0,0.0,South Denmark
05/30/2020,1001,1,0.0,0.0,South Denmark
05/31/2020,1002,1,0.0,0.0,South Denmark
06/01/2020,1003,1,0.0,0.0,South Denmark
06/02/2020,1005,2,0.0,0.0,South Denmark
06/03/2020,1010,5,0.0,0.0,South Denmark
06/04/2020,1011,1,0.0,0.0,South Denmark
06/05/2020,1013,2,0.0,0.0,South Denmark
06/06/2020,1015,2,0.0,0.0,South Denmark
06/07/2020,1017,2,0.0,0.0,South Denmark
06/08/2020,1019,2,0.0,0.0,South Denmark
06/09/2020,1022,3,0.0,0.0,South Denmark
06/10/2020,1025,3,0.0,0.0,South Denmark
06/11/2020,1028,3,0.0,0.0,South Denmark
06/12/2020,1030,2,0.0,0.0,South Denmark
06/13/2020,1030,0,0.0,0.0,South Denmark
06/14/2020,1030,0,0.0,0.0,South Denmark
06/15/2020,1031,1,0.0,0.0,South Denmark
06/16/2020,1032,1,0.0,0.0,South Denmark
06/17/2020,1033,1,0.0,0.0,South Denmark
06/18/2020,1034,1,0.0,0.0,South Denmark
06/19/2020,1035,1,0.0,0.0,South Denmark
06/20/2020,1036,1,0.0,0.0,South Denmark
06/21/2020,1037,1,0.0,0.0,South Denmark
06/22/2020,1038,1,0.0,0.0,South Denmark
06/23/2020,1039,1,0.0,0.0,South Denmark
06/24/2020,1040,1,0.0,0.0,South Denmark
06/25/2020,1041,1,0.0,0.0,South Denmark
06/26/2020,1045,4,0.0,0.0,South Denmark
06/27/2020,1045,0,0.0,0.0,South Denmark
06/28/2020,1045,0,0.0,0.0,South Denmark
06/29/2020,1045,0,0.0,0.0,South Denmark
06/30/2020,1045,0,0.0,0.0,South Denmark
04/15/2020,877,0,0.0,0.0,Zealand
04/16/2020,948,71,0.0,0.0,Zealand
04/17/2020,994,46,0.0,0.0,Zealand
04/18/2020,1027,33,0.0,0.0,Zealand
04/19/2020,1055,28,0.0,0.0,Zealand
04/20/2020,1078,23,0.0,0.0,Zealand
04/21/2020,1106,28,0.0,0.0,Zealand
04/22/2020,1158,52,0.0,0.0,Zealand
04/23/2020,1195,37,0.0,0.0,Zealand
04/24/2020,1223,28,0.0,0.0,Zealand
04/26/2020,1269,46,0.0,0.0,Zealand
04/27/2020,1316,47,0.0,0.0,Zealand
04/28/2020,1345,29,0.0,0.0,Zealand
04/29/2020,1357,12,0.0,0.0,Zealand
04/30/2020,1369,12,0.0,0.0,Zealand
05/01/2020,1394,25,0.0,0.0,Zealand
05/02/2020,1425,31,0.0,0.0,Zealand
05/03/2020,1445,20,0.0,0.0,Zealand
05/04/2020,1460,15,0.0,0.0,Zealand
