Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,15,0,1.0,0.0,Azua
04/16/2020,20,5.0,1.0,1.0,Azua
04/18/2020,20,0.0,1.0,1.0,Azua
04/20/2020,22,2.0,1.0,1.0,Azua
04/21/2020,23,1.0,1.0,1.0,Azua
04/23/2020,23,0.0,1.0,1.0,Azua
04/24/2020,25,2.0,1.0,1.0,Azua
04/26/2020,25,0.0,1.0,1.0,Azua
04/27/2020,34,9.0,1.0,2.0,Azua
04/28/2020,34,0.0,1.0,4.0,Azua
04/29/2020,38,4.0,2.0,4.0,Azua
04/30/2020,38,0.0,2.0,4.0,Azua
05/01/2020,51,13.0,2.0,5.0,Azua
05/02/2020,59,8.0,2.0,5.0,Azua
05/03/2020,68,9.0,2.0,5.0,Azua
05/04/2020,77,9.0,2.0,5.0,Azua
05/05/2020,86,9.0,2.0,10.0,Azua
05/06/2020,89,3.0,2.0,9.0,Azua
05/07/2020,92,3.0,2.0,9.0,Azua
05/08/2020,97,5.0,2.0,9.0,Azua
05/09/2020,102,5.0,2.0,9.0,Azua
05/10/2020,107,5.0,2.0,9.0,Azua
05/11/2020,113,6.0,2.0,9.0,Azua
05/12/2020,119,6.0,2.0,17.0,Azua
05/13/2020,122,3.0,2.0,17.0,Azua
05/14/2020,125,3.0,2.0,17.0,Azua
05/15/2020,128,3.0,2.0,17.0,Azua
05/16/2020,131,3.0,2.0,17.0,Azua
05/17/2020,134,3.0,2.0,17.0,Azua
05/18/2020,138,4.0,2.0,42.0,Azua
05/19/2020,144,6.0,2.0,42.0,Azua
05/20/2020,150,6.0,2.0,42.0,Azua
05/21/2020,156,6.0,2.0,42.0,Azua
05/22/2020,162,6.0,2.0,42.0,Azua
05/23/2020,168,6.0,2.0,42.0,Azua
05/24/2020,174,6.0,2.0,42.0,Azua
05/25/2020,180,6.0,2.0,89.0,Azua
05/26/2020,180,0.0,2.0,89.0,Azua
05/27/2020,180,0.0,2.0,89.0,Azua
05/28/2020,180,0.0,2.0,89.0,Azua
05/29/2020,180,0.0,2.0,89.0,Azua
04/15/2020,1,0.0,0.0,0.0,Baoruco
04/16/2020,1,0.0,0.0,1.0,Baoruco
04/18/2020,1,0.0,0.0,1.0,Baoruco
04/20/2020,5,4.0,0.0,1.0,Baoruco
04/21/2020,5,0.0,0.0,1.0,Baoruco
04/23/2020,5,0.0,0.0,1.0,Baoruco
04/25/2020,5,0.0,0.0,1.0,Baoruco
