Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,192,0,0.0,0.0,Azuay
04/16/2020,205,13.0,0.0,0.0,Azuay
04/18/2020,214,9.0,0.0,0.0,Azuay
04/20/2020,223,9.0,0.0,0.0,Azuay
04/21/2020,247,24.0,0.0,0.0,Azuay
04/23/2020,266,19.0,0.0,0.0,Azuay
04/24/2020,285,19.0,0.0,0.0,Azuay
04/26/2020,355,70.0,0.0,0.0,Azuay
04/28/2020,426,71.0,0.0,0.0,Azuay
04/29/2020,447,21.0,0.0,0.0,Azuay
04/30/2020,468,21.0,0.0,0.0,Azuay
05/01/2020,490,22.0,0.0,0.0,Azuay
05/02/2020,510,20.0,0.0,0.0,Azuay
05/03/2020,530,20.0,0.0,0.0,Azuay
05/04/2020,551,21.0,0.0,0.0,Azuay
05/05/2020,560,9.0,0.0,0.0,Azuay
05/06/2020,569,9.0,0.0,0.0,Azuay
05/07/2020,570,1.0,0.0,0.0,Azuay
05/08/2020,571,1.0,0.0,0.0,Azuay
05/09/2020,572,1.0,0.0,0.0,Azuay
05/10/2020,573,1.0,0.0,0.0,Azuay
05/11/2020,575,2.0,0.0,0.0,Azuay
05/12/2020,577,2.0,0.0,0.0,Azuay
05/13/2020,596,19.0,0.0,0.0,Azuay
05/14/2020,615,19.0,0.0,0.0,Azuay
05/15/2020,634,19.0,0.0,0.0,Azuay
05/16/2020,653,19.0,0.0,0.0,Azuay
05/17/2020,673,20.0,0.0,0.0,Azuay
05/18/2020,693,20.0,0.0,0.0,Azuay
05/19/2020,707,14.0,0.0,0.0,Azuay
05/20/2020,722,15.0,0.0,0.0,Azuay
05/21/2020,737,15.0,0.0,0.0,Azuay
05/22/2020,752,15.0,0.0,0.0,Azuay
05/23/2020,767,15.0,0.0,0.0,Azuay
05/24/2020,782,15.0,0.0,0.0,Azuay
05/25/2020,797,15.0,0.0,0.0,Azuay
05/26/2020,804,7.0,0.0,0.0,Azuay
05/27/2020,811,7.0,0.0,0.0,Azuay
05/28/2020,818,7.0,0.0,0.0,Azuay
05/29/2020,825,7.0,0.0,0.0,Azuay
05/30/2020,839,14.0,0.0,0.0,Azuay
05/31/2020,853,14.0,0.0,0.0,Azuay
06/01/2020,867,14.0,0.0,0.0,Azuay
06/02/2020,881,14.0,0.0,0.0,Azuay
06/03/2020,905,24.0,0.0,0.0,Azuay
06/04/2020,930,25.0,0.0,0.0,Azuay
06/05/2020,956,26.0,0.0,0.0,Azuay
06/06/2020,989,33.0,0.0,0.0,Azuay
06/07/2020,1022,33.0,0.0,0.0,Azuay
06/08/2020,1056,34.0,0.0,0.0,Azuay
06/09/2020,1090,34.0,0.0,0.0,Azuay
06/10/2020,1114,24.0,0.0,0.0,Azuay
06/11/2020,1138,24.0,0.0,0.0,Azuay
06/12/2020,1162,24.0,0.0,0.0,Azuay
06/13/2020,1186,24.0,0.0,0.0,Azuay
06/14/2020,1210,24.0,0.0,0.0,Azuay
06/15/2020,1234,24.0,0.0,0.0,Azuay
06/16/2020,1258,24.0,0.0,0.0,Azuay
06/17/2020,1282,24.0,0.0,0.0,Azuay
06/18/2020,1306,24.0,0.0,0.0,Azuay
06/19/2020,1330,24.0,0.0,0.0,Azuay
06/20/2020,1354,24.0,0.0,0.0,Azuay
06/21/2020,1378,24.0,0.0,0.0,Azuay
06/22/2020,1402,24.0,0.0,0.0,Azuay
06/23/2020,1426,24.0,0.0,0.0,Azuay
06/24/2020,1450,24.0,0.0,0.0,Azuay
06/25/2020,1475,25.0,0.0,0.0,Azuay
04/15/2020,33,25.0,0.0,0.0,Bolívar
04/16/2020,39,6.0,0.0,0.0,Bolívar
04/18/2020,39,0.0,0.0,0.0,Bolívar
04/20/2020,49,10.0,0.0,0.0,Bolívar
04/21/2020,55,6.0,0.0,0.0,Bolívar
04/23/2020,60,5.0,0.0,0.0,Bolívar
04/24/2020,66,6.0,0.0,0.0,Bolívar
04/26/2020,95,29.0,0.0,0.0,Bolívar
04/28/2020,125,30.0,0.0,0.0,Bolívar
04/29/2020,133,8.0,0.0,0.0,Bolívar
04/30/2020,142,9.0,0.0,0.0,Bolívar
05/01/2020,151,9.0,0.0,0.0,Bolívar
05/02/2020,164,13.0,0.0,0.0,Bolívar
05/03/2020,177,13.0,0.0,0.0,Bolívar
05/04/2020,191,14.0,0.0,0.0,Bolívar
05/05/2020,193,2.0,0.0,0.0,Bolívar
05/06/2020,195,2.0,0.0,0.0,Bolívar
05/07/2020,197,2.0,0.0,0.0,Bolívar
05/08/2020,200,3.0,0.0,0.0,Bolívar
05/09/2020,203,3.0,0.0,0.0,Bolívar
05/10/2020,206,3.0,0.0,0.0,Bolívar
05/11/2020,209,3.0,0.0,0.0,Bolívar
05/12/2020,212,3.0,0.0,0.0,Bolívar
05/13/2020,215,3.0,0.0,0.0,Bolívar
05/14/2020,218,3.0,0.0,0.0,Bolívar
05/15/2020,221,3.0,0.0,0.0,Bolívar
05/16/2020,224,3.0,0.0,0.0,Bolívar
05/17/2020,227,3.0,0.0,0.0,Bolívar
05/18/2020,230,3.0,0.0,0.0,Bolívar
05/19/2020,239,9.0,0.0,0.0,Bolívar
05/20/2020,248,9.0,0.0,0.0,Bolívar
05/21/2020,258,10.0,0.0,0.0,Bolívar
05/22/2020,268,10.0,0.0,0.0,Bolívar
05/23/2020,278,10.0,0.0,0.0,Bolívar
05/24/2020,288,10.0,0.0,0.0,Bolívar
05/25/2020,298,10.0,0.0,0.0,Bolívar
05/26/2020,300,2.0,0.0,0.0,Bolívar
05/27/2020,303,3.0,0.0,0.0,Bolívar
05/28/2020,306,3.0,0.0,0.0,Bolívar
05/29/2020,309,3.0,0.0,0.0,Bolívar
05/30/2020,310,1.0,0.0,0.0,Bolívar
05/31/2020,312,2.0,0.0,0.0,Bolívar
06/01/2020,314,2.0,0.0,0.0,Bolívar
06/02/2020,316,2.0,0.0,0.0,Bolívar
06/03/2020,322,6.0,0.0,0.0,Bolívar
06/04/2020,328,6.0,0.0,0.0,Bolívar
06/05/2020,337,9.0,0.0,0.0,Bolívar
06/06/2020,345,8.0,0.0,0.0,Bolívar
06/07/2020,353,8.0,0.0,0.0,Bolívar
06/08/2020,362,9.0,0.0,0.0,Bolívar
06/09/2020,371,9.0,0.0,0.0,Bolívar
06/10/2020,380,9.0,0.0,0.0,Bolívar
06/11/2020,389,9.0,0.0,0.0,Bolívar
06/12/2020,398,9.0,0.0,0.0,Bolívar
06/13/2020,407,9.0,0.0,0.0,Bolívar
06/14/2020,416,9.0,0.0,0.0,Bolívar
06/15/2020,425,9.0,0.0,0.0,Bolívar
06/16/2020,434,9.0,0.0,0.0,Bolívar
06/17/2020,443,9.0,0.0,0.0,Bolívar
06/18/2020,452,9.0,0.0,0.0,Bolívar
06/19/2020,461,9.0,0.0,0.0,Bolívar
06/20/2020,470,9.0,0.0,0.0,Bolívar
06/21/2020,480,10.0,0.0,0.0,Bolívar
06/22/2020,490,10.0,0.0,0.0,Bolívar
