Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/16/2020,1,0,0.0,0.0,Ahuachapán
04/18/2020,1,0,0.0,0.0,Ahuachapán
04/20/2020,4,3,0.0,0.0,Ahuachapán
04/22/2020,4,0,0.0,0.0,Ahuachapán
04/24/2020,6,2,0.0,0.0,Ahuachapán
04/26/2020,6,0,0.0,0.0,Ahuachapán
04/27/2020,12,6,0.0,0.0,Ahuachapán
04/28/2020,13,1,0.0,0.0,Ahuachapán
04/29/2020,13,0,0.0,0.0,Ahuachapán
04/30/2020,13,0,0.0,0.0,Ahuachapán
05/01/2020,17,4,0.0,0.0,Ahuachapán
05/02/2020,17,0,0.0,0.0,Ahuachapán
05/03/2020,17,0,0.0,0.0,Ahuachapán
05/04/2020,17,0,0.0,0.0,Ahuachapán
05/05/2020,18,1,0.0,0.0,Ahuachapán
05/06/2020,18,0,0.0,0.0,Ahuachapán
05/12/2020,37,19,0.0,0.0,Ahuachapán
05/13/2020,37,0,0.0,0.0,Ahuachapán
05/14/2020,37,0,0.0,0.0,Ahuachapán
05/15/2020,37,0,0.0,0.0,Ahuachapán
05/16/2020,37,0,0.0,0.0,Ahuachapán
05/17/2020,37,0,0.0,0.0,Ahuachapán
05/18/2020,60,23,0.0,0.0,Ahuachapán
05/19/2020,66,6,0.0,0.0,Ahuachapán
05/20/2020,72,6,0.0,0.0,Ahuachapán
05/21/2020,78,6,0.0,0.0,Ahuachapán
05/22/2020,85,7,0.0,0.0,Ahuachapán
05/23/2020,92,7,0.0,0.0,Ahuachapán
05/24/2020,99,7,0.0,0.0,Ahuachapán
05/25/2020,106,7,0.0,0.0,Ahuachapán
05/26/2020,111,5,0.0,0.0,Ahuachapán
05/27/2020,116,5,0.0,0.0,Ahuachapán
05/28/2020,121,5,0.0,0.0,Ahuachapán
05/29/2020,126,5,0.0,0.0,Ahuachapán
05/30/2020,131,5,0.0,0.0,Ahuachapán
05/31/2020,137,6,0.0,0.0,Ahuachapán
06/01/2020,143,6,0.0,0.0,Ahuachapán
06/02/2020,149,6,0.0,0.0,Ahuachapán
06/03/2020,152,3,0.0,0.0,Ahuachapán
06/04/2020,155,3,0.0,0.0,Ahuachapán
06/05/2020,159,4,0.0,0.0,Ahuachapán
06/06/2020,162,3,0.0,0.0,Ahuachapán
06/07/2020,165,3,0.0,0.0,Ahuachapán
06/08/2020,168,3,0.0,0.0,Ahuachapán
06/09/2020,171,3,0.0,0.0,Ahuachapán
06/10/2020,171,0,0.0,0.0,Ahuachapán
06/11/2020,171,0,0.0,0.0,Ahuachapán
06/12/2020,171,0,0.0,0.0,Ahuachapán
06/13/2020,171,0,0.0,0.0,Ahuachapán
06/14/2020,171,0,0.0,0.0,Ahuachapán
06/15/2020,171,0,0.0,0.0,Ahuachapán
06/16/2020,171,0,0.0,0.0,Ahuachapán
06/17/2020,171,0,0.0,0.0,Ahuachapán
06/18/2020,171,0,0.0,0.0,Ahuachapán
06/19/2020,171,0,0.0,0.0,Ahuachapán
06/20/2020,171,0,0.0,0.0,Ahuachapán
06/21/2020,171,0,0.0,0.0,Ahuachapán
06/22/2020,171,0,0.0,0.0,Ahuachapán
06/23/2020,171,0,0.0,0.0,Ahuachapán
06/24/2020,171,0,0.0,0.0,Ahuachapán
06/25/2020,171,0,0.0,0.0,Ahuachapán
04/20/2020,2,0,0.0,0.0,Cabañas
04/22/2020,2,0,0.0,0.0,Cabañas
04/24/2020,3,1,0.0,0.0,Cabañas
04/26/2020,3,0,0.0,0.0,Cabañas
04/28/2020,3,0,0.0,0.0,Cabañas
04/29/2020,3,0,0.0,0.0,Cabañas
04/30/2020,3,0,0.0,0.0,Cabañas
05/01/2020,4,1,0.0,0.0,Cabañas
05/02/2020,4,0,0.0,0.0,Cabañas
05/03/2020,4,0,0.0,0.0,Cabañas
05/04/2020,4,0,0.0,0.0,Cabañas
05/05/2020,4,0,0.0,0.0,Cabañas
05/06/2020,4,0,0.0,0.0,Cabañas
05/12/2020,15,11,0.0,0.0,Cabañas
05/13/2020,15,0,0.0,0.0,Cabañas
05/14/2020,15,0,0.0,0.0,Cabañas
05/15/2020,15,0,0.0,0.0,Cabañas
05/16/2020,15,0,0.0,0.0,Cabañas
05/17/2020,15,0,0.0,0.0,Cabañas
05/18/2020,21,6,0.0,0.0,Cabañas
05/19/2020,21,0,0.0,0.0,Cabañas
05/20/2020,21,0,0.0,0.0,Cabañas
05/21/2020,21,0,0.0,0.0,Cabañas
05/22/2020,21,0,0.0,0.0,Cabañas
05/23/2020,21,0,0.0,0.0,Cabañas
05/24/2020,21,0,0.0,0.0,Cabañas
05/25/2020,27,6,0.0,0.0,Cabañas
05/26/2020,27,0,0.0,0.0,Cabañas
05/27/2020,27,0,0.0,0.0,Cabañas
05/28/2020,27,0,0.0,0.0,Cabañas
05/29/2020,28,1,0.0,0.0,Cabañas
05/30/2020,28,0,0.0,0.0,Cabañas
05/31/2020,28,0,0.0,0.0,Cabañas
06/01/2020,28,0,0.0,0.0,Cabañas
06/02/2020,32,4,0.0,0.0,Cabañas
06/03/2020,32,0,0.0,0.0,Cabañas
06/04/2020,32,0,0.0,0.0,Cabañas
06/05/2020,35,3,0.0,0.0,Cabañas
06/06/2020,35,0,0.0,0.0,Cabañas
06/07/2020,35,0,0.0,0.0,Cabañas
06/08/2020,35,0,0.0,0.0,Cabañas
06/09/2020,36,1,0.0,0.0,Cabañas
06/10/2020,36,0,0.0,0.0,Cabañas
06/11/2020,36,0,0.0,0.0,Cabañas
06/12/2020,36,0,0.0,0.0,Cabañas
06/13/2020,36,0,0.0,0.0,Cabañas
06/14/2020,36,0,0.0,0.0,Cabañas
06/15/2020,36,0,0.0,0.0,Cabañas
06/16/2020,36,0,0.0,0.0,Cabañas
06/17/2020,36,0,0.0,0.0,Cabañas
06/18/2020,36,0,0.0,0.0,Cabañas
06/19/2020,36,0,0.0,0.0,Cabañas
06/20/2020,36,0,0.0,0.0,Cabañas
06/21/2020,36,0,0.0,0.0,Cabañas
06/22/2020,36,0,0.0,0.0,Cabañas
06/23/2020,36,0,0.0,0.0,Cabañas
06/24/2020,36,0,0.0,0.0,Cabañas
06/25/2020,36,0,0.0,0.0,Cabañas
04/24/2020,4,0,0.0,0.0,Chalatenango
04/26/2020,4,0,0.0,0.0,Chalatenango
04/27/2020,6,2,0.0,0.0,Chalatenango
04/28/2020,7,1,0.0,0.0,Chalatenango
04/29/2020,9,2,0.0,0.0,Chalatenango
04/30/2020,9,0,0.0,0.0,Chalatenango
05/01/2020,9,0,0.0,0.0,Chalatenango
05/02/2020,9,0,0.0,0.0,Chalatenango
05/03/2020,9,0,0.0,0.0,Chalatenango
05/04/2020,9,0,0.0,0.0,Chalatenango
05/05/2020,10,1,0.0,0.0,Chalatenango
05/06/2020,10,0,0.0,0.0,Chalatenango
05/12/2020,16,6,0.0,0.0,Chalatenango
05/13/2020,16,0,0.0,0.0,Chalatenango
05/14/2020,16,0,0.0,0.0,Chalatenango
05/15/2020,16,0,0.0,0.0,Chalatenango
05/16/2020,16,0,0.0,0.0,Chalatenango
05/17/2020,16,0,0.0,0.0,Chalatenango
05/18/2020,22,6,0.0,0.0,Chalatenango
05/19/2020,22,0,0.0,0.0,Chalatenango
05/20/2020,22,0,0.0,0.0,Chalatenango
05/21/2020,22,0,0.0,0.0,Chalatenango
05/22/2020,22,0,0.0,0.0,Chalatenango
05/23/2020,22,0,0.0,0.0,Chalatenango
05/24/2020,22,0,0.0,0.0,Chalatenango
05/25/2020,31,9,0.0,0.0,Chalatenango
05/26/2020,31,0,0.0,0.0,Chalatenango
05/27/2020,31,0,0.0,0.0,Chalatenango
05/28/2020,31,0,0.0,0.0,Chalatenango
05/29/2020,47,16,0.0,0.0,Chalatenango
05/30/2020,47,0,0.0,0.0,Chalatenango
05/31/2020,47,0,0.0,0.0,Chalatenango
06/01/2020,47,0,0.0,0.0,Chalatenango
06/02/2020,55,8,0.0,0.0,Chalatenango
06/03/2020,56,1,0.0,0.0,Chalatenango
06/04/2020,57,1,0.0,0.0,Chalatenango
06/05/2020,58,1,0.0,0.0,Chalatenango
06/06/2020,58,0,0.0,0.0,Chalatenango
06/07/2020,59,1,0.0,0.0,Chalatenango
06/08/2020,60,1,0.0,0.0,Chalatenango
06/09/2020,61,1,0.0,0.0,Chalatenango
06/10/2020,61,0,0.0,0.0,Chalatenango
06/11/2020,61,0,0.0,0.0,Chalatenango
06/12/2020,61,0,0.0,0.0,Chalatenango
06/13/2020,61,0,0.0,0.0,Chalatenango
06/14/2020,61,0,0.0,0.0,Chalatenango
06/15/2020,61,0,0.0,0.0,Chalatenango
06/16/2020,61,0,0.0,0.0,Chalatenango
06/17/2020,61,0,0.0,0.0,Chalatenango
06/18/2020,61,0,0.0,0.0,Chalatenango
06/19/2020,61,0,0.0,0.0,Chalatenango
06/20/2020,61,0,0.0,0.0,Chalatenango
06/21/2020,61,0,0.0,0.0,Chalatenango
06/22/2020,61,0,0.0,0.0,Chalatenango
06/23/2020,61,0,0.0,0.0,Chalatenango
06/24/2020,61,0,0.0,0.0,Chalatenango
06/25/2020,61,0,0.0,0.0,Chalatenango
04/20/2020,1,0,0.0,0.0,Cuscatlán
04/22/2020,1,0,0.0,0.0,Cuscatlán
04/24/2020,1,0,0.0,0.0,Cuscatlán
04/26/2020,1,0,0.0,0.0,Cuscatlán
04/27/2020,5,4,0.0,0.0,Cuscatlán
04/28/2020,6,1,0.0,0.0,Cuscatlán
04/29/2020,9,3,0.0,0.0,Cuscatlán
04/30/2020,9,0,0.0,0.0,Cuscatlán
05/01/2020,12,3,0.0,0.0,Cuscatlán
