Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/11/2020,50,0,0,0,Ile-de-France
04/15/2020,668,618,0,0,Ile-de-France
04/17/2020,940,272,0,0,Ile-de-France
04/19/2020,1081,141,0,0,Ile-de-France
04/21/2020,1081,0,0,0,Ile-de-France
04/23/2020,1081,0,0,0,Ile-de-France
04/25/2020,1081,0,0,0,Ile-de-France
04/27/2020,1081,0,0,0,Ile-de-France
04/29/2020,1081,0,0,0,Ile-de-France
04/30/2020,1081,0,0,0,Ile-de-France
05/01/2020,1081,0,0,0,Ile-de-France
05/02/2020,1081,0,0,0,Ile-de-France
05/03/2020,1081,0,0,0,Ile-de-France
05/04/2020,1081,0,0,0,Ile-de-France
05/05/2020,1081,0,0,0,Ile-de-France
05/06/2020,1081,0,0,0,Ile-de-France
05/07/2020,1081,0,0,0,Ile-de-France
05/08/2020,1081,0,0,0,Ile-de-France
05/09/2020,1081,0,0,0,Ile-de-France
05/10/2020,1081,0,0,0,Ile-de-France
05/11/2020,1081,0,0,0,Ile-de-France
05/12/2020,1081,0,0,0,Ile-de-France
05/13/2020,1081,0,0,0,Ile-de-France
05/14/2020,1081,0,0,0,Ile-de-France
05/15/2020,1081,0,0,0,Ile-de-France
05/16/2020,1081,0,0,0,Ile-de-France
05/17/2020,1081,0,0,0,Ile-de-France
05/18/2020,1081,0,0,0,Ile-de-France
05/19/2020,1081,0,0,0,Ile-de-France
05/20/2020,1081,0,0,0,Ile-de-France
02/07/2020,61,0,0,0,Occitanie
