Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/01/2020,1,0,0.0,0.0,Abkhazia
04/02/2020,1,0.0,0.0,0.0,Abkhazia
04/04/2020,1,0.0,0.0,0.0,Abkhazia
04/07/2020,1,0.0,0.0,0.0,Abkhazia
04/08/2020,1,0.0,0.0,0.0,Abkhazia
04/09/2020,1,0.0,0.0,0.0,Abkhazia
04/10/2020,1,0.0,0.0,0.0,Abkhazia
04/11/2020,1,0.0,0.0,0.0,Abkhazia
04/13/2020,1,0.0,0.0,0.0,Abkhazia
04/15/2020,1,0.0,0.0,0.0,Abkhazia
04/16/2020,1,0.0,0.0,0.0,Abkhazia
04/17/2020,3,2.0,0.0,0.0,Abkhazia
04/19/2020,3,0.0,0.0,0.0,Abkhazia
04/21/2020,3,0.0,0.0,0.0,Abkhazia
04/22/2020,3,0.0,0.0,0.0,Abkhazia
04/23/2020,3,0.0,0.0,0.0,Abkhazia
04/24/2020,3,0.0,0.0,1.0,Abkhazia
04/25/2020,3,0.0,0.0,1.0,Abkhazia
04/26/2020,3,0.0,0.0,2.0,Abkhazia
04/27/2020,3,0.0,0.0,2.0,Abkhazia
04/28/2020,3,0.0,0.0,2.0,Abkhazia
04/29/2020,3,0.0,0.0,2.0,Abkhazia
04/30/2020,3,0.0,0.0,2.0,Abkhazia
05/01/2020,3,0.0,0.0,2.0,Abkhazia
05/02/2020,3,0.0,0.0,2.0,Abkhazia
05/03/2020,3,0.0,0.0,2.0,Abkhazia
05/04/2020,3,0.0,0.0,2.0,Abkhazia
05/05/2020,3,0.0,1.0,2.0,Abkhazia
05/06/2020,3,0.0,1.0,2.0,Abkhazia
05/07/2020,3,0.0,1.0,2.0,Abkhazia
05/08/2020,3,0.0,1.0,2.0,Abkhazia
05/09/2020,3,0.0,1.0,2.0,Abkhazia
05/10/2020,3,0.0,1.0,2.0,Abkhazia
05/11/2020,9,6.0,1.0,2.0,Abkhazia
05/12/2020,9,0.0,1.0,2.0,Abkhazia
05/13/2020,13,4.0,1.0,2.0,Abkhazia
05/14/2020,17,4.0,1.0,2.0,Abkhazia
05/15/2020,17,0.0,1.0,2.0,Abkhazia
05/16/2020,17,0.0,1.0,2.0,Abkhazia
05/17/2020,17,0.0,1.0,2.0,Abkhazia
05/18/2020,20,3.0,1.0,3.0,Abkhazia
05/19/2020,24,4.0,1.0,3.0,Abkhazia
05/20/2020,24,0.0,1.0,3.0,Abkhazia
05/21/2020,25,1.0,1.0,3.0,Abkhazia
05/22/2020,25,0.0,1.0,3.0,Abkhazia
05/23/2020,25,0.0,1.0,3.0,Abkhazia
05/24/2020,25,0.0,1.0,3.0,Abkhazia
05/25/2020,28,3.0,1.0,6.0,Abkhazia
05/26/2020,28,0.0,1.0,15.0,Abkhazia
05/27/2020,28,0.0,1.0,15.0,Abkhazia
05/28/2020,28,0.0,1.0,15.0,Abkhazia
05/29/2020,28,0.0,1.0,15.0,Abkhazia
05/30/2020,28,0.0,1.0,15.0,Abkhazia
05/31/2020,28,0.0,1.0,15.0,Abkhazia
06/01/2020,28,0.0,1.0,15.0,Abkhazia
06/02/2020,28,0.0,1.0,23.0,Abkhazia
06/03/2020,28,0.0,1.0,23.0,Abkhazia
06/04/2020,28,0.0,1.0,27.0,Abkhazia
06/05/2020,35,7.0,1.0,27.0,Abkhazia
06/06/2020,35,0.0,1.0,27.0,Abkhazia
06/07/2020,35,0.0,1.0,27.0,Abkhazia
06/08/2020,35,0.0,1.0,27.0,Abkhazia
06/09/2020,35,0.0,1.0,27.0,Abkhazia
06/10/2020,35,0.0,1.0,27.0,Abkhazia
06/11/2020,35,0.0,1.0,27.0,Abkhazia
06/12/2020,36,1.0,1.0,27.0,Abkhazia
06/13/2020,36,0.0,1.0,27.0,Abkhazia
06/14/2020,36,0.0,1.0,27.0,Abkhazia
06/15/2020,36,0.0,1.0,27.0,Abkhazia
06/16/2020,36,0.0,1.0,27.0,Abkhazia
06/17/2020,37,1.0,1.0,27.0,Abkhazia
06/18/2020,38,1.0,1.0,27.0,Abkhazia
06/19/2020,38,0.0,1.0,27.0,Abkhazia
06/20/2020,38,0.0,1.0,27.0,Abkhazia
06/21/2020,38,0.0,1.0,27.0,Abkhazia
06/22/2020,38,0.0,1.0,27.0,Abkhazia
06/23/2020,38,0.0,1.0,30.0,Abkhazia
06/24/2020,38,0.0,1.0,30.0,Abkhazia
06/25/2020,38,0.0,1.0,32.0,Abkhazia
