Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
03/20/2020,274,0,0,0.0,Brandenburg
03/22/2020,288,14,0,0.0,Brandenburg
03/23/2020,429,141,1,0.0,Brandenburg
03/25/2020,477,48,1,0.0,Brandenburg
03/26/2020,537,60,1,0.0,Brandenburg
04/02/2020,1075,538,9,0.0,Brandenburg
04/04/2020,1305,230,17,0.0,Brandenburg
04/05/2020,1345,40,19,0.0,Brandenburg
04/06/2020,1364,19,19,0.0,Brandenburg
04/07/2020,1384,20,20,0.0,Brandenburg
04/08/2020,1472,88,22,0.0,Brandenburg
04/09/2020,1578,106,30,0.0,Brandenburg
04/10/2020,1691,113,37,0.0,Brandenburg
04/11/2020,1764,73,37,0.0,Brandenburg
04/12/2020,1857,93,38,0.0,Brandenburg
04/13/2020,1880,23,38,0.0,Brandenburg
04/14/2020,1916,36,40,0.0,Brandenburg
04/15/2020,1950,34,42,0.0,Brandenburg
04/16/2020,2058,108,54,0.0,Brandenburg
04/17/2020,2120,62,60,0.0,Brandenburg
04/18/2020,2161,41,62,0.0,Brandenburg
04/19/2020,2221,60,66,0.0,Brandenburg
04/20/2020,2238,17,66,0.0,Brandenburg
04/21/2020,2275,37,67,0.0,Brandenburg
04/22/2020,2389,114,74,0.0,Brandenburg
04/23/2020,2447,58,84,0.0,Brandenburg
04/24/2020,2536,89,90,0.0,Brandenburg
04/25/2020,2627,91,97,0.0,Brandenburg
04/26/2020,2694,67,100,0.0,Brandenburg
04/27/2020,2721,27,100,0.0,Brandenburg
04/28/2020,2747,26,106,0.0,Brandenburg
04/29/2020,2768,21,109,0.0,Brandenburg
04/30/2020,2831,63,113,0.0,Brandenburg
05/01/2020,2872,41,120,0.0,Brandenburg
05/02/2020,2886,14,122,0.0,Brandenburg
05/03/2020,2905,19,122,0.0,Brandenburg
05/04/2020,2914,9,122,0.0,Brandenburg
05/05/2020,2940,26,123,0.0,Brandenburg
05/06/2020,2969,29,127,0.0,Brandenburg
05/07/2020,2999,30,129,0.0,Brandenburg
05/08/2020,3037,38,131,0.0,Brandenburg
05/09/2020,3098,61,133,0.0,Brandenburg
05/10/2020,3101,3,134,0.0,Brandenburg
05/11/2020,3106,5,134,0.0,Brandenburg
05/12/2020,3111,5,136,0.0,Brandenburg
05/13/2020,3125,14,137,0.0,Brandenburg
05/14/2020,3135,10,138,0.0,Brandenburg
05/15/2020,3158,23,148,0.0,Brandenburg
05/16/2020,3169,11,149,0.0,Brandenburg
05/17/2020,3171,2,149,0.0,Brandenburg
05/18/2020,3172,1,149,0.0,Brandenburg
05/19/2020,3185,13,150,0.0,Brandenburg
05/20/2020,3193,8,151,0.0,Brandenburg
05/21/2020,3205,12,151,0.0,Brandenburg
05/22/2020,3211,6,152,0.0,Brandenburg
05/23/2020,3213,2,154,0.0,Brandenburg
05/24/2020,3214,1,154,0.0,Brandenburg
05/25/2020,3225,11,154,0.0,Brandenburg
05/26/2020,3236,11,154,0.0,Brandenburg
05/27/2020,3246,10,154,0.0,Brandenburg
05/28/2020,3261,15,155,0.0,Brandenburg
05/29/2020,3271,10,155,0.0,Brandenburg
05/30/2020,3271,0,155,0.0,Brandenburg
05/31/2020,3272,1,155,0.0,Brandenburg
06/01/2020,3273,1,155,0.0,Brandenburg
06/02/2020,3274,1,155,0.0,Brandenburg
06/03/2020,3277,3,156,0.0,Brandenburg
06/04/2020,3280,3,156,0.0,Brandenburg
06/05/2020,3288,8,156,0.0,Brandenburg
06/06/2020,3294,6,158,0.0,Brandenburg
06/07/2020,3297,3,158,0.0,Brandenburg
06/08/2020,3304,7,160,0.0,Brandenburg
06/09/2020,3306,2,160,0.0,Brandenburg
06/10/2020,3309,3,160,0.0,Brandenburg
06/11/2020,3352,43,161,0.0,Brandenburg
06/12/2020,3353,1,161,0.0,Brandenburg
06/13/2020,3354,1,163,0.0,Brandenburg
06/14/2020,3356,2,163,0.0,Brandenburg
06/15/2020,3358,2,163,0.0,Brandenburg
06/16/2020,3360,2,163,0.0,Brandenburg
06/17/2020,3362,2,163,0.0,Brandenburg
06/18/2020,3365,3,163,0.0,Brandenburg
06/19/2020,3374,9,163,0.0,Brandenburg
06/20/2020,3383,9,163,0.0,Brandenburg
06/21/2020,3388,5,163,0.0,Brandenburg
06/22/2020,3394,6,163,0.0,Brandenburg
06/23/2020,3407,13,164,0.0,Brandenburg
06/24/2020,3413,6,164,0.0,Brandenburg
06/25/2020,3428,15,165,0.0,Brandenburg
06/26/2020,3437,9,165,0.0,Brandenburg
06/27/2020,3437,0,165,0.0,Brandenburg
06/28/2020,3437,0,165,0.0,Brandenburg
06/29/2020,3438,1,165,0.0,Brandenburg
06/30/2020,3439,1,165,0.0,Brandenburg
07/01/2020,3440,1,165,0.0,Brandenburg
07/02/2020,3443,3,165,0.0,Brandenburg
07/03/2020,3450,7,166,0.0,Brandenburg
07/04/2020,3459,9,167,0.0,Brandenburg
07/05/2020,3460,1,167,0.0,Brandenburg
03/20/2020,1024,1,1,0.0,Berlin
03/21/2020,1050,26,1,0.0,Berlin
03/22/2020,1077,27,1,0.0,Berlin
03/23/2020,1428,351,2,0.0,Berlin
03/25/2020,1656,228,4,0.0,Berlin
03/26/2020,1955,299,8,0.0,Berlin
04/02/2020,3202,1247,20,0.0,Berlin
04/04/2020,3613,411,24,0.0,Berlin
04/05/2020,3670,57,26,0.0,Berlin
04/06/2020,3757,87,26,0.0,Berlin
04/07/2020,3845,88,28,0.0,Berlin
04/08/2020,4028,183,32,0.0,Berlin
04/09/2020,4202,174,37,0.0,Berlin
04/10/2020,4349,147,42,0.0,Berlin
04/11/2020,4458,109,46,0.0,Berlin
04/12/2020,4567,109,50,0.0,Berlin
04/13/2020,4601,34,51,0.0,Berlin
04/14/2020,4668,67,56,0.0,Berlin
04/15/2020,4722,54,62,0.0,Berlin
04/16/2020,4848,126,74,0.0,Berlin
04/17/2020,4945,97,84,0.0,Berlin
04/18/2020,5066,121,91,0.0,Berlin
04/19/2020,5159,93,92,0.0,Berlin
04/20/2020,5196,37,94,0.0,Berlin
