Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,16,0,2,2,Atlántida
04/16/2020,20,4,2,2,Atlántida
04/18/2020,20,0,2,2,Atlántida
04/20/2020,20,0,3,6,Atlántida
04/22/2020,20,0,3,6,Atlántida
04/24/2020,20,0,3,6,Atlántida
04/26/2020,20,0,3,6,Atlántida
04/27/2020,21,1,3,14,Atlántida
04/29/2020,22,1,3,14,Atlántida
04/30/2020,22,0,3,14,Atlántida
05/01/2020,34,12,3,14,Atlántida
05/02/2020,34,0,3,14,Atlántida
05/03/2020,34,0,3,14,Atlántida
05/04/2020,34,0,4,14,Atlántida
05/05/2020,34,0,4,14,Atlántida
05/06/2020,37,3,4,14,Atlántida
05/07/2020,46,9,4,14,Atlántida
05/08/2020,46,0,4,14,Atlántida
05/09/2020,46,0,4,14,Atlántida
05/10/2020,46,0,4,14,Atlántida
05/11/2020,46,0,4,14,Atlántida
05/12/2020,51,5,4,15,Atlántida
05/13/2020,56,5,4,15,Atlántida
05/14/2020,61,5,4,15,Atlántida
05/15/2020,66,5,4,15,Atlántida
05/16/2020,72,6,4,15,Atlántida
05/17/2020,78,6,4,15,Atlántida
05/18/2020,84,6,4,23,Atlántida
05/19/2020,87,3,4,23,Atlántida
05/20/2020,90,3,4,23,Atlántida
05/21/2020,93,3,4,23,Atlántida
05/22/2020,97,4,4,23,Atlántida
05/23/2020,101,4,4,23,Atlántida
05/24/2020,105,4,4,23,Atlántida
05/25/2020,109,4,4,32,Atlántida
05/26/2020,114,5,4,32,Atlántida
05/27/2020,120,6,4,32,Atlántida
05/28/2020,126,6,4,32,Atlántida
05/29/2020,132,6,4,32,Atlántida
05/30/2020,142,10,4,32,Atlántida
05/31/2020,152,10,4,32,Atlántida
06/01/2020,162,10,4,32,Atlántida
06/02/2020,173,11,4,37,Atlántida
06/03/2020,176,3,4,37,Atlántida
06/04/2020,180,4,4,37,Atlántida
06/05/2020,184,4,8,44,Atlántida
06/06/2020,184,0,8,44,Atlántida
06/07/2020,184,0,8,44,Atlántida
06/08/2020,185,1,8,44,Atlántida
06/09/2020,186,1,8,44,Atlántida
06/10/2020,197,11,8,44,Atlántida
06/11/2020,208,11,8,44,Atlántida
06/12/2020,219,11,8,44,Atlántida
06/13/2020,230,11,8,44,Atlántida
06/14/2020,241,11,8,44,Atlántida
06/15/2020,252,11,8,44,Atlántida
06/16/2020,263,11,8,44,Atlántida
06/17/2020,274,11,8,44,Atlántida
06/18/2020,285,11,8,44,Atlántida
06/19/2020,296,11,8,44,Atlántida
06/20/2020,307,11,8,44,Atlántida
06/21/2020,319,12,8,44,Atlántida
06/22/2020,331,12,8,44,Atlántida
06/23/2020,343,12,8,44,Atlántida
06/24/2020,355,12,8,44,Atlántida
06/25/2020,367,12,11,52,Atlántida
06/26/2020,367,0,11,52,Atlántida
06/27/2020,367,0,11,52,Atlántida
06/28/2020,367,0,11,52,Atlántida
06/29/2020,367,0,11,52,Atlántida
06/30/2020,367,0,11,52,Atlántida
04/15/2020,2,0,0,0,Choluteca
04/17/2020,2,0,0,0,Choluteca
04/19/2020,2,0,0,0,Choluteca
04/21/2020,2,0,0,0,Choluteca
04/23/2020,2,0,0,0,Choluteca
04/24/2020,4,2,0,0,Choluteca
04/26/2020,4,0,0,0,Choluteca
04/27/2020,6,2,0,0,Choluteca
04/29/2020,6,0,0,0,Choluteca
04/30/2020,6,0,0,0,Choluteca
05/01/2020,6,0,0,0,Choluteca
05/02/2020,6,0,0,0,Choluteca
05/03/2020,6,0,0,0,Choluteca
05/04/2020,7,1,0,0,Choluteca
05/05/2020,7,0,0,0,Choluteca
05/06/2020,8,1,0,0,Choluteca
05/07/2020,8,0,0,0,Choluteca
05/08/2020,8,0,0,0,Choluteca
05/09/2020,8,0,0,0,Choluteca
05/10/2020,8,0,0,0,Choluteca
05/11/2020,8,0,0,0,Choluteca
05/12/2020,25,17,0,1,Choluteca
05/13/2020,25,0,0,1,Choluteca
05/14/2020,25,0,0,1,Choluteca
05/15/2020,25,0,0,1,Choluteca
05/16/2020,25,0,0,1,Choluteca
05/17/2020,25,0,0,1,Choluteca
05/18/2020,39,14,0,5,Choluteca
05/19/2020,39,0,0,5,Choluteca
05/20/2020,39,0,0,5,Choluteca
05/21/2020,39,0,0,5,Choluteca
05/22/2020,39,0,0,5,Choluteca
05/23/2020,39,0,0,5,Choluteca
05/24/2020,39,0,0,5,Choluteca
05/25/2020,86,47,1,7,Choluteca
05/26/2020,89,3,1,7,Choluteca
05/27/2020,93,4,1,7,Choluteca
05/28/2020,97,4,1,7,Choluteca
05/29/2020,101,4,2,8,Choluteca
05/30/2020,103,2,2,8,Choluteca
05/31/2020,105,2,2,8,Choluteca
06/01/2020,107,2,2,8,Choluteca
06/02/2020,110,3,2,10,Choluteca
06/03/2020,113,3,2,10,Choluteca
06/04/2020,116,3,2,10,Choluteca
06/05/2020,119,3,2,17,Choluteca
06/06/2020,123,4,2,17,Choluteca
06/07/2020,127,4,2,17,Choluteca
06/08/2020,131,4,2,17,Choluteca
06/09/2020,135,4,2,20,Choluteca
06/10/2020,151,16,2,20,Choluteca
06/11/2020,167,16,2,20,Choluteca
06/12/2020,183,16,2,20,Choluteca
06/13/2020,199,16,2,20,Choluteca
06/14/2020,216,17,2,20,Choluteca
06/15/2020,233,17,2,20,Choluteca
06/16/2020,250,17,2,20,Choluteca
06/17/2020,267,17,2,20,Choluteca
06/18/2020,284,17,2,20,Choluteca
06/19/2020,301,17,2,20,Choluteca
06/20/2020,318,17,2,20,Choluteca
06/21/2020,335,17,2,20,Choluteca
06/22/2020,352,17,2,20,Choluteca
06/23/2020,369,17,2,20,Choluteca
06/24/2020,386,17,2,20,Choluteca
06/25/2020,403,17,6,39,Choluteca
06/26/2020,403,0,6,39,Choluteca
06/27/2020,403,0,6,39,Choluteca
06/28/2020,403,0,6,39,Choluteca
06/29/2020,403,0,6,39,Choluteca
06/30/2020,403,0,6,39,Choluteca
04/15/2020,28,0,1,0,Colón
04/17/2020,28,0,1,0,Colón
04/19/2020,28,0,1,0,Colón
04/20/2020,29,1,1,2,Colón
04/21/2020,29,0,1,5,Colón
04/23/2020,29,0,1,5,Colón
04/24/2020,29,0,1,6,Colón
04/26/2020,29,0,1,6,Colón
04/28/2020,29,0,1,6,Colón
04/29/2020,29,0,1,6,Colón
04/30/2020,29,0,1,6,Colón
05/01/2020,33,4,1,6,Colón
05/02/2020,33,0,1,6,Colón
05/03/2020,33,0,1,6,Colón
05/04/2020,33,0,1,7,Colón
05/05/2020,33,0,1,7,Colón
05/06/2020,33,0,1,7,Colón
05/07/2020,33,0,1,7,Colón
05/08/2020,33,0,1,7,Colón
05/09/2020,33,0,1,7,Colón
05/10/2020,33,0,1,7,Colón
05/11/2020,33,0,1,7,Colón
05/12/2020,42,9,1,13,Colón
05/13/2020,42,0,1,13,Colón
05/14/2020,42,0,1,13,Colón
05/15/2020,42,0,1,13,Colón
05/16/2020,42,0,1,13,Colón
05/17/2020,42,0,1,13,Colón
05/18/2020,42,0,1,19,Colón
05/19/2020,42,0,1,19,Colón
05/20/2020,42,0,1,19,Colón
05/21/2020,42,0,1,19,Colón
05/22/2020,42,0,1,19,Colón
05/23/2020,42,0,1,19,Colón
05/24/2020,42,0,1,19,Colón
05/25/2020,42,0,1,19,Colón
05/26/2020,42,0,1,19,Colón
05/27/2020,42,0,1,19,Colón
05/28/2020,42,0,1,19,Colón
05/29/2020,42,0,1,19,Colón
05/30/2020,42,0,1,19,Colón
05/31/2020,42,0,1,19,Colón
06/01/2020,42,0,1,19,Colón
06/02/2020,43,1,2,19,Colón
06/03/2020,43,0,2,19,Colón
06/04/2020,43,0,2,19,Colón
06/05/2020,43,0,2,19,Colón
06/06/2020,43,0,2,19,Colón
06/07/2020,43,0,2,19,Colón
06/08/2020,43,0,2,19,Colón
06/09/2020,45,2,4,19,Colón
06/10/2020,45,0,4,19,Colón
06/11/2020,45,0,4,19,Colón
06/12/2020,45,0,4,19,Colón
06/13/2020,45,0,4,19,Colón
06/14/2020,45,0,4,19,Colón
06/15/2020,45,0,4,19,Colón
06/16/2020,45,0,4,19,Colón
06/17/2020,45,0,4,19,Colón
06/18/2020,45,0,4,19,Colón
06/19/2020,45,0,4,19,Colón
06/20/2020,45,0,4,19,Colón
06/21/2020,45,0,4,19,Colón
06/22/2020,45,0,4,19,Colón
06/23/2020,45,0,4,19,Colón
06/24/2020,45,0,4,19,Colón
06/25/2020,117,72,5,76,Colón
06/26/2020,117,0,5,76,Colón
06/27/2020,117,0,5,76,Colón
06/28/2020,117,0,5,76,Colón
06/29/2020,117,0,5,76,Colón
06/30/2020,117,0,5,76,Colón
04/15/2020,2,0,0,0,Comayagua
04/17/2020,2,0,0,0,Comayagua
04/19/2020,2,0,0,0,Comayagua
04/21/2020,2,0,0,0,Comayagua
04/23/2020,2,0,0,0,Comayagua
04/25/2020,2,0,0,0,Comayagua
04/27/2020,4,2,0,0,Comayagua
04/29/2020,4,0,0,0,Comayagua
04/30/2020,4,0,0,0,Comayagua
05/01/2020,4,0,0,0,Comayagua
05/02/2020,4,0,0,0,Comayagua
05/03/2020,4,0,0,0,Comayagua
05/04/2020,7,3,0,0,Comayagua
05/05/2020,7,0,0,0,Comayagua
05/06/2020,8,1,1,0,Comayagua
05/07/2020,8,0,1,0,Comayagua
05/08/2020,8,0,1,0,Comayagua
05/09/2020,8,0,1,0,Comayagua
05/10/2020,8,0,1,0,Comayagua
05/11/2020,8,0,1,0,Comayagua
05/12/2020,16,8,1,1,Comayagua
05/13/2020,16,0,1,1,Comayagua
05/14/2020,16,0,1,1,Comayagua
05/15/2020,16,0,1,1,Comayagua
05/16/2020,16,0,1,1,Comayagua
05/17/2020,16,0,1,1,Comayagua
05/18/2020,20,4,3,2,Comayagua
05/19/2020,20,0,3,2,Comayagua
05/20/2020,20,0,3,2,Comayagua
05/21/2020,20,0,3,2,Comayagua
05/22/2020,20,0,3,2,Comayagua
05/23/2020,20,0,3,2,Comayagua
05/24/2020,20,0,3,2,Comayagua
05/25/2020,35,15,4,2,Comayagua
05/26/2020,35,0,4,2,Comayagua
05/27/2020,35,0,4,2,Comayagua
05/28/2020,35,0,4,2,Comayagua
05/29/2020,62,27,4,2,Comayagua
05/30/2020,63,1,4,2,Comayagua
05/31/2020,64,1,4,2,Comayagua
06/01/2020,65,1,4,2,Comayagua
06/02/2020,66,1,4,3,Comayagua
06/03/2020,66,0,4,3,Comayagua
06/04/2020,66,0,4,3,Comayagua
06/05/2020,66,0,4,5,Comayagua
06/06/2020,66,0,4,5,Comayagua
06/07/2020,66,0,4,5,Comayagua
06/08/2020,66,0,4,5,Comayagua
06/09/2020,67,1,4,5,Comayagua
06/10/2020,69,2,4,5,Comayagua
06/11/2020,71,2,4,5,Comayagua
06/12/2020,73,2,4,5,Comayagua
06/13/2020,75,2,4,5,Comayagua
06/14/2020,77,2,4,5,Comayagua
06/15/2020,80,3,4,5,Comayagua
06/16/2020,83,3,4,5,Comayagua
06/17/2020,86,3,4,5,Comayagua
06/18/2020,89,3,4,5,Comayagua
06/19/2020,92,3,4,5,Comayagua
06/20/2020,95,3,4,5,Comayagua
06/21/2020,98,3,4,5,Comayagua
06/22/2020,101,3,4,5,Comayagua
06/23/2020,104,3,4,5,Comayagua
06/24/2020,107,3,4,5,Comayagua
06/25/2020,110,3,5,9,Comayagua
06/26/2020,110,0,5,9,Comayagua
06/27/2020,110,0,5,9,Comayagua
06/28/2020,110,0,5,9,Comayagua
06/29/2020,110,0,5,9,Comayagua
06/30/2020,110,0,5,9,Comayagua
04/15/2020,1,0,0,0,Copán
04/17/2020,1,0,0,0,Copán
04/19/2020,1,0,0,0,Copán
04/21/2020,1,0,0,0,Copán
04/23/2020,1,0,0,0,Copán
04/25/2020,1,0,0,0,Copán
04/27/2020,1,0,0,0,Copán
04/29/2020,1,0,0,0,Copán
04/30/2020,1,0,0,0,Copán
05/01/2020,1,0,0,0,Copán
05/02/2020,1,0,0,0,Copán
05/03/2020,1,0,0,0,Copán
05/04/2020,1,0,0,0,Copán
05/05/2020,1,0,0,0,Copán
05/06/2020,1,0,0,0,Copán
05/07/2020,1,0,0,0,Copán
05/08/2020,1,0,0,0,Copán
05/09/2020,1,0,0,0,Copán
05/10/2020,1,0,0,0,Copán
05/11/2020,1,0,0,0,Copán
05/12/2020,4,3,0,0,Copán
05/13/2020,4,0,0,0,Copán
05/14/2020,4,0,0,0,Copán
05/15/2020,4,0,0,0,Copán
05/16/2020,4,0,0,0,Copán
05/17/2020,4,0,0,0,Copán
05/18/2020,5,1,0,0,Copán
05/19/2020,5,0,0,0,Copán
05/20/2020,5,0,0,0,Copán
05/21/2020,5,0,0,0,Copán
05/22/2020,5,0,0,0,Copán
05/23/2020,5,0,0,0,Copán
05/24/2020,5,0,0,0,Copán
05/25/2020,5,0,0,2,Copán
05/26/2020,5,0,0,2,Copán
05/27/2020,5,0,0,2,Copán
05/28/2020,5,0,0,2,Copán
05/29/2020,22,17,0,4,Copán
05/30/2020,22,0,0,4,Copán
05/31/2020,22,0,0,4,Copán
06/01/2020,22,0,0,4,Copán
06/02/2020,23,1,0,4,Copán
06/03/2020,23,0,0,4,Copán
06/04/2020,23,0,0,4,Copán
06/05/2020,24,1,0,4,Copán
06/06/2020,24,0,0,4,Copán
06/07/2020,24,0,0,4,Copán
06/08/2020,24,0,0,4,Copán
06/09/2020,24,0,0,4,Copán
06/10/2020,24,0,0,4,Copán
06/11/2020,24,0,0,4,Copán
06/12/2020,24,0,0,4,Copán
06/13/2020,24,0,0,4,Copán
06/14/2020,24,0,0,4,Copán
06/15/2020,24,0,0,4,Copán
06/16/2020,24,0,0,4,Copán
06/17/2020,24,0,0,4,Copán
06/18/2020,24,0,0,4,Copán
06/19/2020,24,0,0,4,Copán
06/20/2020,24,0,0,4,Copán
06/21/2020,24,0,0,4,Copán
06/22/2020,24,0,0,4,Copán
06/23/2020,24,0,0,4,Copán
06/24/2020,24,0,0,4,Copán
06/25/2020,79,55,2,8,Copán
06/26/2020,79,0,2,8,Copán
06/27/2020,79,0,2,8,Copán
06/28/2020,79,0,2,8,Copán
06/29/2020,79,0,2,8,Copán
06/30/2020,79,0,2,8,Copán
04/15/2020,276,0,17,0,Cortés
04/16/2020,289,13,26,0,Cortés
04/18/2020,312,23,26,0,Cortés
04/20/2020,335,23,36,8,Cortés
04/21/2020,351,16,36,9,Cortés
04/23/2020,361,10,36,9,Cortés
04/24/2020,371,10,37,10,Cortés
04/26/2020,433,62,37,10,Cortés
04/27/2020,496,63,51,23,Cortés
04/28/2020,512,16,53,24,Cortés
04/29/2020,543,31,53,24,Cortés
04/30/2020,560,17,53,24,Cortés
05/01/2020,578,18,62,24,Cortés
05/02/2020,646,68,62,24,Cortés
05/03/2020,714,68,62,24,Cortés
05/04/2020,782,68,68,29,Cortés
05/05/2020,840,58,68,29,Cortés
05/06/2020,899,59,78,29,Cortés
05/07/2020,1047,148,84,35,Cortés
05/08/2020,1132,85,84,35,Cortés
05/09/2020,1217,85,84,35,Cortés
05/10/2020,1302,85,84,35,Cortés
05/11/2020,1388,86,84,35,Cortés
05/12/2020,1474,86,96,80,Cortés
05/13/2020,1514,40,96,80,Cortés
05/14/2020,1554,40,96,80,Cortés
05/15/2020,1594,40,96,80,Cortés
05/16/2020,1634,40,96,80,Cortés
05/17/2020,1674,40,96,80,Cortés
05/18/2020,1714,40,118,152,Cortés
05/19/2020,1832,118,118,152,Cortés
05/20/2020,1950,118,118,152,Cortés
05/21/2020,2068,118,118,152,Cortés
05/22/2020,2186,118,118,152,Cortés
05/23/2020,2305,119,118,152,Cortés
05/24/2020,2424,119,118,152,Cortés
05/25/2020,2543,119,143,243,Cortés
05/26/2020,2673,130,143,243,Cortés
05/27/2020,2803,130,143,243,Cortés
05/28/2020,2933,130,143,243,Cortés
05/29/2020,3063,130,157,288,Cortés
05/30/2020,3145,82,157,288,Cortés
05/31/2020,3227,82,157,288,Cortés
06/01/2020,3310,83,157,288,Cortés
06/02/2020,3393,83,166,301,Cortés
06/03/2020,3492,99,166,301,Cortés
06/04/2020,3591,99,166,301,Cortés
06/05/2020,3690,99,182,341,Cortés
06/06/2020,3745,55,182,341,Cortés
06/07/2020,3800,55,182,341,Cortés
06/08/2020,3855,55,182,341,Cortés
06/09/2020,3911,56,194,372,Cortés
06/10/2020,4095,184,194,372,Cortés
06/11/2020,4279,184,194,372,Cortés
06/12/2020,4463,184,194,372,Cortés
06/13/2020,4647,184,194,372,Cortés
06/14/2020,4831,184,194,372,Cortés
06/15/2020,5015,184,194,372,Cortés
06/16/2020,5199,184,194,372,Cortés
06/17/2020,5383,184,194,372,Cortés
06/18/2020,5568,185,194,372,Cortés
06/19/2020,5753,185,194,372,Cortés
06/20/2020,5938,185,194,372,Cortés
06/21/2020,6123,185,194,372,Cortés
06/22/2020,6308,185,194,372,Cortés
06/23/2020,6493,185,194,372,Cortés
06/24/2020,6678,185,194,372,Cortés
06/25/2020,6863,185,251,913,Cortés
06/26/2020,6863,0,251,913,Cortés
06/27/2020,6863,0,251,913,Cortés
06/28/2020,6863,0,251,913,Cortés
06/29/2020,6863,0,251,913,Cortés
06/30/2020,6863,0,251,913,Cortés
04/28/2020,1,0,0,0,El Paraíso
04/29/2020,1,0,0,0,El Paraíso
04/30/2020,1,0,0,0,El Paraíso
05/01/2020,1,0,0,0,El Paraíso
05/02/2020,1,0,0,0,El Paraíso
05/03/2020,1,0,0,0,El Paraíso
05/04/2020,2,1,0,0,El Paraíso
05/05/2020,2,0,0,0,El Paraíso
05/06/2020,3,1,0,0,El Paraíso
05/07/2020,3,0,0,0,El Paraíso
05/08/2020,3,0,0,0,El Paraíso
05/09/2020,3,0,0,0,El Paraíso
05/10/2020,3,0,0,0,El Paraíso
05/11/2020,3,0,0,0,El Paraíso
05/12/2020,5,2,0,0,El Paraíso
05/13/2020,5,0,0,0,El Paraíso
05/14/2020,5,0,0,0,El Paraíso
05/15/2020,5,0,0,0,El Paraíso
05/16/2020,5,0,0,0,El Paraíso
05/17/2020,5,0,0,0,El Paraíso
05/18/2020,9,4,0,1,El Paraíso
05/19/2020,9,0,0,1,El Paraíso
05/20/2020,9,0,0,1,El Paraíso
05/21/2020,9,0,0,1,El Paraíso
05/22/2020,9,0,0,1,El Paraíso
05/23/2020,9,0,0,1,El Paraíso
05/24/2020,9,0,0,1,El Paraíso
05/25/2020,23,14,1,1,El Paraíso
05/26/2020,23,0,1,1,El Paraíso
05/27/2020,23,0,1,1,El Paraíso
05/28/2020,23,0,1,1,El Paraíso
05/29/2020,31,8,1,1,El Paraíso
05/30/2020,31,0,1,1,El Paraíso
05/31/2020,31,0,1,1,El Paraíso
06/01/2020,31,0,1,1,El Paraíso
06/02/2020,42,11,1,1,El Paraíso
06/03/2020,42,0,1,1,El Paraíso
06/04/2020,42,0,1,1,El Paraíso
06/05/2020,43,1,1,1,El Paraíso
06/06/2020,43,0,1,1,El Paraíso
06/07/2020,43,0,1,1,El Paraíso
06/08/2020,43,0,1,1,El Paraíso
06/09/2020,48,5,1,1,El Paraíso
06/10/2020,48,0,1,1,El Paraíso
06/11/2020,48,0,1,1,El Paraíso
06/12/2020,48,0,1,1,El Paraíso
06/13/2020,48,0,1,1,El Paraíso
06/14/2020,48,0,1,1,El Paraíso
06/15/2020,48,0,1,1,El Paraíso
06/16/2020,48,0,1,1,El Paraíso
06/17/2020,48,0,1,1,El Paraíso
06/18/2020,48,0,1,1,El Paraíso
06/19/2020,48,0,1,1,El Paraíso
06/20/2020,48,0,1,1,El Paraíso
06/21/2020,48,0,1,1,El Paraíso
06/22/2020,48,0,1,1,El Paraíso
06/23/2020,48,0,1,1,El Paraíso
06/24/2020,48,0,1,1,El Paraíso
06/25/2020,116,68,1,4,El Paraíso
06/26/2020,116,0,1,4,El Paraíso
06/27/2020,116,0,1,4,El Paraíso
06/28/2020,116,0,1,4,El Paraíso
06/29/2020,116,0,1,4,El Paraíso
06/30/2020,116,0,1,4,El Paraíso
04/15/2020,57,0,2,5,Francisco Morazán
04/16/2020,58,1,2,5,Francisco Morazán
04/18/2020,58,0,2,5,Francisco Morazán
04/20/2020,59,1,2,9,Francisco Morazán
04/21/2020,60,1,2,9,Francisco Morazán
04/23/2020,61,1,2,9,Francisco Morazán
04/24/2020,63,2,2,9,Francisco Morazán
04/26/2020,64,1,2,9,Francisco Morazán
04/27/2020,65,1,2,42,Francisco Morazán
04/28/2020,80,15,2,42,Francisco Morazán
04/29/2020,81,1,2,42,Francisco Morazán
04/30/2020,87,6,2,42,Francisco Morazán
05/01/2020,93,6,2,42,Francisco Morazán
05/02/2020,103,10,2,42,Francisco Morazán
05/03/2020,113,10,2,42,Francisco Morazán
05/04/2020,124,11,2,42,Francisco Morazán
05/05/2020,163,39,2,42,Francisco Morazán
05/06/2020,202,39,2,42,Francisco Morazán
05/07/2020,229,27,2,42,Francisco Morazán
05/08/2020,251,22,2,42,Francisco Morazán
05/09/2020,273,22,2,42,Francisco Morazán
05/10/2020,295,22,2,42,Francisco Morazán
05/11/2020,317,22,2,42,Francisco Morazán
05/12/2020,340,23,6,54,Francisco Morazán
05/13/2020,368,28,6,54,Francisco Morazán
05/14/2020,396,28,6,54,Francisco Morazán
05/15/2020,425,29,6,54,Francisco Morazán
05/16/2020,454,29,6,54,Francisco Morazán
05/17/2020,483,29,6,54,Francisco Morazán
05/18/2020,512,29,6,63,Francisco Morazán
05/19/2020,549,37,6,63,Francisco Morazán
05/20/2020,586,37,6,63,Francisco Morazán
05/21/2020,623,37,6,63,Francisco Morazán
05/22/2020,660,37,6,63,Francisco Morazán
05/23/2020,697,37,6,63,Francisco Morazán
05/24/2020,734,37,6,63,Francisco Morazán
05/25/2020,771,37,12,83,Francisco Morazán
05/26/2020,803,32,12,83,Francisco Morazán
05/27/2020,835,32,12,83,Francisco Morazán
05/28/2020,868,33,12,83,Francisco Morazán
05/29/2020,901,33,12,84,Francisco Morazán
05/30/2020,943,42,12,84,Francisco Morazán
05/31/2020,986,43,12,84,Francisco Morazán
06/01/2020,1029,43,12,84,Francisco Morazán
06/02/2020,1072,43,23,89,Francisco Morazán
06/03/2020,1135,63,23,89,Francisco Morazán
06/04/2020,1198,63,23,89,Francisco Morazán
06/05/2020,1261,63,29,114,Francisco Morazán
06/06/2020,1322,61,29,114,Francisco Morazán
06/07/2020,1383,61,29,114,Francisco Morazán
06/08/2020,1444,61,29,114,Francisco Morazán
06/09/2020,1506,62,32,135,Francisco Morazán
06/10/2020,1721,215,32,135,Francisco Morazán
06/11/2020,1936,215,32,135,Francisco Morazán
06/12/2020,2151,215,32,135,Francisco Morazán
06/13/2020,2366,215,32,135,Francisco Morazán
06/14/2020,2581,215,32,135,Francisco Morazán
06/15/2020,2797,216,32,135,Francisco Morazán
06/16/2020,3013,216,32,135,Francisco Morazán
06/17/2020,3229,216,32,135,Francisco Morazán
06/18/2020,3445,216,32,135,Francisco Morazán
06/19/2020,3661,216,32,135,Francisco Morazán
06/20/2020,3877,216,32,135,Francisco Morazán
06/21/2020,4093,216,32,135,Francisco Morazán
06/22/2020,4309,216,32,135,Francisco Morazán
06/23/2020,4525,216,32,135,Francisco Morazán
06/24/2020,4741,216,32,135,Francisco Morazán
06/25/2020,4957,216,32,135,Francisco Morazán
06/27/2020,5173,216,111,310,Francisco Morazán
06/28/2020,5173,0,111,310,Francisco Morazán
06/29/2020,5173,0,111,310,Francisco Morazán
06/30/2020,5173,0,111,310,Francisco Morazán
05/25/2020,13,0,1,7,Gracias a Dios
05/26/2020,13,0,1,7,Gracias a Dios
05/27/2020,13,0,1,7,Gracias a Dios
05/28/2020,13,0,1,7,Gracias a Dios
05/29/2020,13,0,1,7,Gracias a Dios
04/28/2020,3,0,0,0,Intibucá
04/29/2020,5,2,1,0,Intibucá
04/30/2020,5,0,1,0,Intibucá
05/01/2020,5,0,1,0,Intibucá
05/02/2020,5,0,1,0,Intibucá
05/03/2020,5,0,1,0,Intibucá
05/04/2020,5,0,1,0,Intibucá
