Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
03/26/2020,1,0,0,0,Andaman and Nicobar Islands
03/27/2020,1,0,0,0,Andaman and Nicobar Islands
03/28/2020,6,5,0,0,Andaman and Nicobar Islands
03/29/2020,9,3,0,0,Andaman and Nicobar Islands
04/08/2020,11,2,0,0,Andaman and Nicobar Islands
04/09/2020,11,0,0,0,Andaman and Nicobar Islands
04/10/2020,11,0,0,0,Andaman and Nicobar Islands
04/11/2020,11,0,0,0,Andaman and Nicobar Islands
04/12/2020,11,0,0,10,Andaman and Nicobar Islands
04/13/2020,11,0,0,10,Andaman and Nicobar Islands
04/14/2020,11,0,0,10,Andaman and Nicobar Islands
04/15/2020,11,0,0,10,Andaman and Nicobar Islands
04/16/2020,11,0,0,10,Andaman and Nicobar Islands
04/17/2020,11,0,0,10,Andaman and Nicobar Islands
04/18/2020,12,1,0,11,Andaman and Nicobar Islands
04/19/2020,14,2,0,11,Andaman and Nicobar Islands
04/20/2020,15,1,0,11,Andaman and Nicobar Islands
04/21/2020,16,1,0,11,Andaman and Nicobar Islands
04/22/2020,17,1,0,11,Andaman and Nicobar Islands
04/23/2020,17,0,0,11,Andaman and Nicobar Islands
04/24/2020,22,5,0,11,Andaman and Nicobar Islands
04/25/2020,27,5,0,11,Andaman and Nicobar Islands
04/26/2020,33,6,0,11,Andaman and Nicobar Islands
04/27/2020,33,0,0,11,Andaman and Nicobar Islands
04/28/2020,33,0,0,11,Andaman and Nicobar Islands
04/29/2020,33,0,0,15,Andaman and Nicobar Islands
04/30/2020,33,0,0,15,Andaman and Nicobar Islands
05/01/2020,33,0,0,16,Andaman and Nicobar Islands
05/02/2020,33,0,0,16,Andaman and Nicobar Islands
05/03/2020,33,0,0,17,Andaman and Nicobar Islands
05/04/2020,33,0,0,32,Andaman and Nicobar Islands
05/05/2020,33,0,0,32,Andaman and Nicobar Islands
05/06/2020,33,0,0,32,Andaman and Nicobar Islands
05/07/2020,33,0,0,32,Andaman and Nicobar Islands
05/08/2020,33,0,0,33,Andaman and Nicobar Islands
05/09/2020,33,0,0,33,Andaman and Nicobar Islands
05/10/2020,33,0,0,33,Andaman and Nicobar Islands
05/11/2020,33,0,0,33,Andaman and Nicobar Islands
05/12/2020,33,0,0,33,Andaman and Nicobar Islands
05/13/2020,33,0,0,33,Andaman and Nicobar Islands
05/14/2020,33,0,0,33,Andaman and Nicobar Islands
05/15/2020,33,0,0,33,Andaman and Nicobar Islands
05/16/2020,33,0,0,33,Andaman and Nicobar Islands
05/17/2020,33,0,0,33,Andaman and Nicobar Islands
05/18/2020,33,0,0,33,Andaman and Nicobar Islands
05/19/2020,33,0,0,33,Andaman and Nicobar Islands
05/20/2020,33,0,0,33,Andaman and Nicobar Islands
05/21/2020,33,0,0,33,Andaman and Nicobar Islands
05/22/2020,33,0,0,33,Andaman and Nicobar Islands
05/23/2020,33,0,0,33,Andaman and Nicobar Islands
05/24/2020,33,0,0,33,Andaman and Nicobar Islands
05/25/2020,33,0,0,33,Andaman and Nicobar Islands
05/26/2020,33,0,0,33,Andaman and Nicobar Islands
05/27/2020,33,0,0,33,Andaman and Nicobar Islands
05/28/2020,33,0,0,33,Andaman and Nicobar Islands
05/29/2020,33,0,0,33,Andaman and Nicobar Islands
05/30/2020,33,0,0,33,Andaman and Nicobar Islands
05/31/2020,33,0,0,33,Andaman and Nicobar Islands
06/01/2020,33,0,0,33,Andaman and Nicobar Islands
06/02/2020,33,0,0,33,Andaman and Nicobar Islands
06/03/2020,33,0,0,33,Andaman and Nicobar Islands
06/04/2020,33,0,0,33,Andaman and Nicobar Islands
06/05/2020,33,0,0,33,Andaman and Nicobar Islands
06/06/2020,33,0,0,33,Andaman and Nicobar Islands
06/07/2020,33,0,0,33,Andaman and Nicobar Islands
06/08/2020,33,0,0,33,Andaman and Nicobar Islands
06/09/2020,34,1,0,33,Andaman and Nicobar Islands
06/10/2020,35,1,0,33,Andaman and Nicobar Islands
06/11/2020,38,3,0,33,Andaman and Nicobar Islands
06/12/2020,38,0,0,33,Andaman and Nicobar Islands
06/13/2020,38,0,0,33,Andaman and Nicobar Islands
06/14/2020,40,2,0,33,Andaman and Nicobar Islands
06/15/2020,41,1,0,33,Andaman and Nicobar Islands
06/16/2020,44,3,0,33,Andaman and Nicobar Islands
06/17/2020,44,0,0,33,Andaman and Nicobar Islands
06/18/2020,45,1,0,35,Andaman and Nicobar Islands
06/19/2020,47,2,0,35,Andaman and Nicobar Islands
06/20/2020,47,0,0,35,Andaman and Nicobar Islands
06/21/2020,48,1,0,37,Andaman and Nicobar Islands
06/22/2020,48,0,0,37,Andaman and Nicobar Islands
06/23/2020,50,2,0,40,Andaman and Nicobar Islands
06/24/2020,56,6,0,41,Andaman and Nicobar Islands
06/25/2020,58,2,0,41,Andaman and Nicobar Islands
06/26/2020,72,14,0,43,Andaman and Nicobar Islands
06/27/2020,77,5,0,43,Andaman and Nicobar Islands
06/28/2020,83,6,0,45,Andaman and Nicobar Islands
06/29/2020,90,7,0,45,Andaman and Nicobar Islands
06/30/2020,97,7,0,45,Andaman and Nicobar Islands
07/01/2020,100,3,0,45,Andaman and Nicobar Islands
07/02/2020,109,9,0,50,Andaman and Nicobar Islands
07/04/2020,119,10,0,54,Andaman and Nicobar Islands
