Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,5,0,1.0,4.0,Aceh
04/17/2020,5,0.0,1.0,4.0,Aceh
04/18/2020,6,1.0,1.0,4.0,Aceh
04/19/2020,7,1.0,1.0,4.0,Aceh
04/21/2020,7,0.0,1.0,4.0,Aceh
04/23/2020,7,0.0,1.0,4.0,Aceh
04/24/2020,8,1.0,1.0,4.0,Aceh
04/25/2020,9,1.0,1.0,4.0,Aceh
04/27/2020,9,0.0,1.0,4.0,Aceh
04/29/2020,9,0.0,1.0,4.0,Aceh
04/30/2020,10,1.0,1.0,4.0,Aceh
05/01/2020,11,1.0,1.0,4.0,Aceh
05/02/2020,11,0.0,1.0,6.0,Aceh
05/03/2020,12,1.0,1.0,6.0,Aceh
05/04/2020,12,0.0,1.0,7.0,Aceh
05/05/2020,12,0.0,1.0,7.0,Aceh
05/06/2020,17,5.0,1.0,7.0,Aceh
05/07/2020,17,0.0,1.0,7.0,Aceh
05/08/2020,17,0.0,1.0,11.0,Aceh
05/09/2020,17,0.0,1.0,11.0,Aceh
05/10/2020,17,0.0,1.0,11.0,Aceh
05/11/2020,17,0.0,1.0,11.0,Aceh
05/12/2020,17,0.0,1.0,11.0,Aceh
05/13/2020,17,0.0,1.0,12.0,Aceh
05/14/2020,17,0.0,1.0,13.0,Aceh
05/15/2020,17,0.0,1.0,13.0,Aceh
05/16/2020,18,1.0,1.0,15.0,Aceh
05/17/2020,18,0.0,1.0,15.0,Aceh
05/18/2020,18,0.0,1.0,15.0,Aceh
05/19/2020,18,0.0,1.0,15.0,Aceh
05/20/2020,18,0.0,1.0,15.0,Aceh
05/21/2020,18,0.0,1.0,15.0,Aceh
05/22/2020,19,1.0,1.0,15.0,Aceh
05/23/2020,19,0.0,1.0,15.0,Aceh
05/24/2020,19,0.0,1.0,15.0,Aceh
05/25/2020,19,0.0,1.0,17.0,Aceh
05/26/2020,19,0.0,1.0,17.0,Aceh
05/27/2020,19,0.0,1.0,17.0,Aceh
05/28/2020,20,1.0,1.0,17.0,Aceh
05/29/2020,20,0.0,1.0,17.0,Aceh
05/30/2020,20,0.0,1.0,17.0,Aceh
05/31/2020,20,0.0,1.0,17.0,Aceh
06/01/2020,20,0.0,1.0,17.0,Aceh
06/02/2020,20,0.0,1.0,17.0,Aceh
06/03/2020,20,0.0,1.0,17.0,Aceh
06/04/2020,20,0.0,1.0,17.0,Aceh
06/05/2020,20,0.0,1.0,18.0,Aceh
06/06/2020,20,0.0,1.0,18.0,Aceh
06/07/2020,20,0.0,1.0,18.0,Aceh
06/08/2020,20,0.0,1.0,18.0,Aceh
06/09/2020,20,0.0,1.0,18.0,Aceh
06/10/2020,22,2.0,1.0,18.0,Aceh
06/11/2020,22,0.0,1.0,18.0,Aceh
06/12/2020,22,0.0,1.0,18.0,Aceh
06/13/2020,22,0.0,1.0,18.0,Aceh
