Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
02/26/2020,1,0,0,0,Abruzzi
02/28/2020,2,1.0,0,0,Abruzzi
02/29/2020,5,3.0,0,0,Abruzzi
03/02/2020,6,1.0,0,0,Abruzzi
03/03/2020,7,1.0,0,0,Abruzzi
03/04/2020,8,1.0,0,0,Abruzzi
03/05/2020,9,1.0,0,0,Abruzzi
03/06/2020,11,2.0,0,0,Abruzzi
03/07/2020,17,6.0,0,0,Abruzzi
03/08/2020,30,13.0,0,0,Abruzzi
03/09/2020,38,8.0,1.0,0,Abruzzi
03/11/2020,84,46.0,2.0,0,Abruzzi
03/12/2020,89,5.0,2.0,0,Abruzzi
03/13/2020,112,23.0,2.0,0,Abruzzi
03/14/2020,137,25.0,3.0,0,Abruzzi
03/15/2020,176,39.0,4.0,0,Abruzzi
03/16/2020,229,53.0,6.0,0,Abruzzi
03/17/2020,263,34.0,7.0,0,Abruzzi
03/18/2020,385,122.0,11.0,0,Abruzzi
03/19/2020,449,64.0,17.0,0,Abruzzi
03/20/2020,529,80.0,22.0,0,Abruzzi
03/21/2020,587,58.0,33.0,0,Abruzzi
03/22/2020,663,76.0,38.0,0,Abruzzi
03/31/2020,1401,738.0,115.0,95.0,Abruzzi
04/01/2020,1436,35.0,123.0,102.0,Abruzzi
04/02/2020,1497,61.0,133.0,113.0,Abruzzi
04/03/2020,1563,66.0,146.0,116.0,Abruzzi
04/04/2020,1628,65.0,153.0,119.0,Abruzzi
04/05/2020,1703,75.0,158.0,125.0,Abruzzi
04/06/2020,1721,18.0,169.0,127.0,Abruzzi
04/07/2020,1799,78.0,172.0,136.0,Abruzzi
04/08/2020,1859,60.0,179.0,146.0,Abruzzi
04/09/2020,1931,72.0,194.0,171.0,Abruzzi
04/10/2020,2014,83.0,198.0,181.0,Abruzzi
04/11/2020,2120,106.0,206.0,190.0,Abruzzi
04/13/2020,2213,93.0,224.0,211.0,Abruzzi
04/15/2020,2274,61.0,240.0,224.0,Abruzzi
04/17/2020,2443,169.0,246.0,255.0,Abruzzi
04/18/2020,2487,44.0,253.0,263.0,Abruzzi
04/19/2020,2521,34.0,258.0,276.0,Abruzzi
04/20/2020,2612,91.0,263.0,287.0,Abruzzi
04/22/2020,2733,121.0,276.0,349.0,Abruzzi
04/23/2020,2785,52.0,280.0,405.0,Abruzzi
04/24/2020,2803,18.0,286.0,438.0,Abruzzi
04/25/2020,2832,29.0,293.0,478.0,Abruzzi
