Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/09/2020,278,0,21,0,Aichi
04/10/2020,299,21,21,0,Aichi
04/11/2020,309,10,21,0,Aichi
04/13/2020,319,10,22,0,Aichi
04/14/2020,328,9,23,0,Aichi
04/15/2020,338,10,24,63,Aichi
04/16/2020,350,12,24,66,Aichi
04/17/2020,364,14,24,66,Aichi
04/19/2020,391,27,24,66,Aichi
04/20/2020,401,10,25,66,Aichi
04/21/2020,406,5,27,66,Aichi
04/22/2020,422,16,27,66,Aichi
04/23/2020,441,19,29,67,Aichi
04/24/2020,453,12,29,67,Aichi
04/25/2020,474,21,30,66,Aichi
04/26/2020,475,1,30,66,Aichi
04/27/2020,476,1,30,66,Aichi
04/28/2020,477,1,30,66,Aichi
04/29/2020,481,4,30,66,Aichi
04/30/2020,486,5,31,66,Aichi
05/01/2020,487,1,31,67,Aichi
05/02/2020,488,1,32,75,Aichi
05/03/2020,491,3,32,75,Aichi
05/04/2020,491,0,33,75,Aichi
05/05/2020,492,1,34,75,Aichi
05/06/2020,495,3,34,75,Aichi
05/07/2020,498,3,35,75,Aichi
05/08/2020,498,0,35,99,Aichi
05/09/2020,498,0,35,324,Aichi
05/10/2020,498,0,35,328,Aichi
05/11/2020,498,0,35,339,Aichi
05/12/2020,498,0,35,350,Aichi
05/13/2020,498,0,35,352,Aichi
05/14/2020,499,1,35,369,Aichi
05/15/2020,500,1,35,377,Aichi
05/16/2020,501,1,35,388,Aichi
05/17/2020,503,2,35,390,Aichi
05/18/2020,503,0,35,400,Aichi
05/19/2020,504,1,35,404,Aichi
05/20/2020,506,2,35,423,Aichi
05/21/2020,506,0,35,423,Aichi
05/22/2020,506,0,35,428,Aichi
05/23/2020,506,0,35,431,Aichi
05/24/2020,506,0,35,437,Aichi
05/25/2020,506,0,35,442,Aichi
05/26/2020,506,0,35,442,Aichi
05/27/2020,507,1,35,442,Aichi
05/28/2020,507,0,35,444,Aichi
05/29/2020,507,0,35,444,Aichi
05/30/2020,507,0,35,453,Aichi
05/31/2020,507,0,35,453,Aichi
06/01/2020,507,0,35,455,Aichi
06/02/2020,507,0,35,456,Aichi
06/03/2020,508,1,35,457,Aichi
06/04/2020,508,0,35,457,Aichi
06/05/2020,508,0,35,457,Aichi
06/06/2020,509,1,35,458,Aichi
06/07/2020,509,0,35,458,Aichi
06/08/2020,509,0,35,458,Aichi
06/09/2020,509,0,35,463,Aichi
06/10/2020,510,1,35,463,Aichi
06/11/2020,511,1,35,463,Aichi
06/12/2020,511,0,35,465,Aichi
06/13/2020,511,0,35,465,Aichi
06/14/2020,511,0,35,465,Aichi
06/15/2020,512,1,35,465,Aichi
06/16/2020,513,1,35,467,Aichi
06/17/2020,514,1,35,467,Aichi
06/18/2020,516,2,35,467,Aichi
06/19/2020,498,-18,34,468,Aichi
06/20/2020,498,0,35,470,Aichi
06/21/2020,498,0,34,470,Aichi
06/22/2020,498,0,35,470,Aichi
06/23/2020,498,0,35,470,Aichi
06/24/2020,498,0,35,470,Aichi
06/25/2020,498,0,35,470,Aichi
06/26/2020,498,0,35,470,Aichi
06/27/2020,498,0,35,470,Aichi
06/28/2020,498,0,35,470,Aichi
06/29/2020,498,0,35,470,Aichi
06/30/2020,498,0,35,470,Aichi
07/01/2020,498,0,35,470,Aichi
07/02/2020,498,0,35,470,Aichi
07/03/2020,498,0,35,470,Aichi
07/04/2020,498,0,35,470,Aichi
07/05/2020,498,0,35,470,Aichi
04/09/2020,11,0,0,470,Akita
04/11/2020,11,0,0,470,Akita
04/13/2020,15,4,0,470,Akita
04/15/2020,16,1,0,5,Akita
04/16/2020,16,0,0,5,Akita
04/18/2020,16,0,0,5,Akita
04/20/2020,16,0,0,5,Akita
04/22/2020,16,0,0,5,Akita
04/23/2020,16,0,0,5,Akita
04/24/2020,16,0,0,7,Akita
04/25/2020,16,0,0,7,Akita
04/26/2020,16,0,0,7,Akita
04/27/2020,16,0,0,7,Akita
04/28/2020,16,0,0,7,Akita
04/29/2020,16,0,0,7,Akita
04/30/2020,16,0,0,7,Akita
05/01/2020,16,0,0,7,Akita
05/02/2020,16,0,0,7,Akita
05/03/2020,16,0,0,13,Akita
05/04/2020,16,0,0,13,Akita
