Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,65,0,1.0,0.0,Aguascalientes
04/17/2020,71,6.0,2.0,0.0,Aguascalientes
04/18/2020,77,6.0,2.0,0.0,Aguascalientes
04/20/2020,78,1.0,2.0,0.0,Aguascalientes
04/21/2020,80,2.0,2.0,0.0,Aguascalientes
04/23/2020,90,10.0,2.0,0.0,Aguascalientes
04/24/2020,100,10.0,2.0,0.0,Aguascalientes
04/25/2020,106,6.0,2.0,0.0,Aguascalientes
04/27/2020,133,27.0,2.0,0.0,Aguascalientes
04/28/2020,161,28.0,2.0,0.0,Aguascalientes
04/29/2020,167,6.0,2.0,0.0,Aguascalientes
04/30/2020,185,18.0,2.0,0.0,Aguascalientes
05/01/2020,205,20.0,2.0,0.0,Aguascalientes
05/02/2020,225,20.0,2.0,0.0,Aguascalientes
05/03/2020,245,20.0,2.0,0.0,Aguascalientes
05/04/2020,265,20.0,2.0,0.0,Aguascalientes
05/05/2020,286,21.0,9.0,0.0,Aguascalientes
05/06/2020,289,3.0,10.0,0.0,Aguascalientes
05/07/2020,292,3.0,10.0,0.0,Aguascalientes
05/08/2020,296,4.0,11.0,0.0,Aguascalientes
05/09/2020,301,5.0,12.0,0.0,Aguascalientes
05/10/2020,318,17.0,12.0,0.0,Aguascalientes
05/11/2020,335,17.0,12.0,0.0,Aguascalientes
05/12/2020,352,17.0,14.0,0.0,Aguascalientes
05/13/2020,382,30.0,14.0,0.0,Aguascalientes
05/14/2020,398,16.0,15.0,0.0,Aguascalientes
05/15/2020,407,9.0,16.0,0.0,Aguascalientes
05/16/2020,443,36.0,18.0,0.0,Aguascalientes
05/17/2020,454,11.0,18.0,0.0,Aguascalientes
05/18/2020,465,11.0,18.0,0.0,Aguascalientes
05/19/2020,477,12.0,20.0,0.0,Aguascalientes
05/20/2020,515,38.0,20.0,0.0,Aguascalientes
05/21/2020,558,43.0,21.0,0.0,Aguascalientes
05/22/2020,586,28.0,21.0,0.0,Aguascalientes
05/23/2020,601,15.0,21.0,0.0,Aguascalientes
05/24/2020,617,16.0,21.0,0.0,Aguascalientes
05/25/2020,633,16.0,21.0,0.0,Aguascalientes
05/26/2020,649,16.0,26.0,0.0,Aguascalientes
05/27/2020,676,27.0,30.0,0.0,Aguascalientes
05/28/2020,716,40.0,32.0,0.0,Aguascalientes
05/29/2020,769,53.0,33.0,0.0,Aguascalientes
05/30/2020,793,24.0,33.0,0.0,Aguascalientes
05/31/2020,817,24.0,33.0,0.0,Aguascalientes
06/01/2020,841,24.0,33.0,0.0,Aguascalientes
06/02/2020,865,24.0,33.0,0.0,Aguascalientes
06/03/2020,890,25.0,35.0,0.0,Aguascalientes
06/04/2020,939,49.0,36.0,0.0,Aguascalientes
