Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/16/2020,11,0,0.0,0.0,Alto Paraná
04/18/2020,11,0,0.0,0.0,Alto Paraná
04/20/2020,11,0,0.0,0.0,Alto Paraná
04/22/2020,11,0,0.0,0.0,Alto Paraná
04/24/2020,11,0,0.0,0.0,Alto Paraná
04/26/2020,11,0,0.0,0.0,Alto Paraná
04/28/2020,11,0,0.0,0.0,Alto Paraná
04/29/2020,12,1,0.0,0.0,Alto Paraná
04/30/2020,12,0,0.0,0.0,Alto Paraná
05/01/2020,19,7,0.0,0.0,Alto Paraná
05/02/2020,19,0,0.0,0.0,Alto Paraná
05/03/2020,19,0,0.0,0.0,Alto Paraná
05/04/2020,19,0,0.0,0.0,Alto Paraná
05/05/2020,44,25,0.0,0.0,Alto Paraná
05/06/2020,45,1,0.0,0.0,Alto Paraná
05/07/2020,47,2,0.0,0.0,Alto Paraná
05/08/2020,47,0,0.0,0.0,Alto Paraná
05/09/2020,47,0,0.0,0.0,Alto Paraná
05/10/2020,47,0,0.0,0.0,Alto Paraná
05/11/2020,47,0,0.0,0.0,Alto Paraná
05/12/2020,95,48,0.0,0.0,Alto Paraná
05/13/2020,95,0,0.0,0.0,Alto Paraná
05/14/2020,95,0,0.0,0.0,Alto Paraná
05/15/2020,95,0,0.0,0.0,Alto Paraná
05/16/2020,95,0,0.0,0.0,Alto Paraná
05/17/2020,95,0,0.0,0.0,Alto Paraná
05/18/2020,95,0,0.0,0.0,Alto Paraná
06/02/2020,48,-47,0.0,0.0,Alto Paraná
06/03/2020,48,0,0.0,0.0,Alto Paraná
06/04/2020,48,0,0.0,0.0,Alto Paraná
06/05/2020,53,5,0.0,0.0,Alto Paraná
06/06/2020,53,0,0.0,0.0,Alto Paraná
06/07/2020,53,0,0.0,0.0,Alto Paraná
06/08/2020,53,0,0.0,0.0,Alto Paraná
06/09/2020,53,0,0.0,0.0,Alto Paraná
04/24/2020,8,0,0.0,0.0,Amambay
04/26/2020,8,0,0.0,0.0,Amambay
04/28/2020,8,0,0.0,0.0,Amambay
04/29/2020,8,0,0.0,0.0,Amambay
04/30/2020,8,0,0.0,0.0,Amambay
05/01/2020,9,1,0.0,0.0,Amambay
05/02/2020,9,0,0.0,0.0,Amambay
05/03/2020,9,0,0.0,0.0,Amambay
05/04/2020,9,0,0.0,0.0,Amambay
05/05/2020,10,1,0.0,0.0,Amambay
05/06/2020,10,0,0.0,0.0,Amambay
05/07/2020,10,0,0.0,0.0,Amambay
05/08/2020,10,0,0.0,0.0,Amambay
05/09/2020,10,0,0.0,0.0,Amambay
05/10/2020,10,0,0.0,0.0,Amambay
05/11/2020,10,0,0.0,0.0,Amambay
05/12/2020,11,1,0.0,0.0,Amambay
05/13/2020,11,0,0.0,0.0,Amambay
05/14/2020,11,0,0.0,0.0,Amambay
05/15/2020,11,0,0.0,0.0,Amambay
05/16/2020,11,0,0.0,0.0,Amambay
05/17/2020,11,0,0.0,0.0,Amambay
05/18/2020,11,0,0.0,0.0,Amambay
06/02/2020,10,-1,0.0,0.0,Amambay
06/03/2020,10,0,0.0,0.0,Amambay
06/04/2020,10,0,0.0,0.0,Amambay
06/05/2020,10,0,0.0,0.0,Amambay
06/06/2020,10,0,0.0,0.0,Amambay
06/07/2020,10,0,0.0,0.0,Amambay
06/08/2020,10,0,0.0,0.0,Amambay
06/09/2020,10,0,0.0,0.0,Amambay
04/16/2020,67,0,0.0,0.0,Asunción
04/18/2020,72,5,0.0,0.0,Asunción
04/20/2020,78,6,0.0,0.0,Asunción
04/22/2020,79,1,0.0,0.0,Asunción
04/24/2020,81,2,0.0,0.0,Asunción
04/26/2020,83,2,0.0,0.0,Asunción
04/28/2020,84,1,0.0,0.0,Asunción
04/29/2020,85,1,0.0,0.0,Asunción
04/30/2020,86,1,0.0,0.0,Asunción
05/01/2020,87,1,0.0,0.0,Asunción
05/02/2020,88,1,0.0,0.0,Asunción
05/03/2020,89,1,0.0,0.0,Asunción
05/04/2020,91,2,0.0,0.0,Asunción
05/05/2020,93,2,0.0,0.0,Asunción
05/06/2020,105,12,0.0,0.0,Asunción
05/07/2020,108,3,0.0,0.0,Asunción
05/08/2020,109,1,0.0,0.0,Asunción
05/09/2020,110,1,0.0,0.0,Asunción
05/10/2020,111,1,0.0,0.0,Asunción
05/11/2020,112,1,0.0,0.0,Asunción
05/12/2020,114,2,0.0,0.0,Asunción
05/13/2020,114,0,0.0,0.0,Asunción
05/14/2020,114,0,0.0,0.0,Asunción
05/15/2020,114,0,0.0,0.0,Asunción
05/16/2020,114,0,0.0,0.0,Asunción
05/17/2020,114,0,0.0,0.0,Asunción
05/18/2020,114,0,0.0,0.0,Asunción
06/02/2020,86,-28,0.0,0.0,Asunción
06/03/2020,86,0,0.0,0.0,Asunción
06/04/2020,86,0,0.0,0.0,Asunción
06/05/2020,91,5,0.0,0.0,Asunción
06/06/2020,91,0,0.0,0.0,Asunción
06/07/2020,91,0,0.0,0.0,Asunción
06/08/2020,91,0,0.0,0.0,Asunción
06/09/2020,91,0,0.0,0.0,Asunción
04/16/2020,2,0,0.0,0.0,Boquerón
04/18/2020,2,0,0.0,0.0,Boquerón
04/20/2020,2,0,0.0,0.0,Boquerón
04/22/2020,2,0,0.0,0.0,Boquerón
04/24/2020,2,0,0.0,0.0,Boquerón
04/26/2020,2,0,0.0,0.0,Boquerón
04/28/2020,2,0,0.0,0.0,Boquerón
04/29/2020,2,0,0.0,0.0,Boquerón
04/30/2020,2,0,0.0,0.0,Boquerón
05/01/2020,2,0,0.0,0.0,Boquerón
05/02/2020,2,0,0.0,0.0,Boquerón
05/03/2020,2,0,0.0,0.0,Boquerón
05/04/2020,2,0,0.0,0.0,Boquerón
05/05/2020,2,0,0.0,0.0,Boquerón
05/06/2020,2,0,0.0,0.0,Boquerón
05/07/2020,2,0,0.0,0.0,Boquerón
05/08/2020,2,0,0.0,0.0,Boquerón
05/09/2020,2,0,0.0,0.0,Boquerón
05/10/2020,2,0,0.0,0.0,Boquerón
05/11/2020,2,0,0.0,0.0,Boquerón
05/12/2020,2,0,0.0,0.0,Boquerón
05/13/2020,2,0,0.0,0.0,Boquerón
05/14/2020,2,0,0.0,0.0,Boquerón
05/15/2020,2,0,0.0,0.0,Boquerón
05/16/2020,2,0,0.0,0.0,Boquerón
05/17/2020,2,0,0.0,0.0,Boquerón
05/18/2020,2,0,0.0,0.0,Boquerón
06/02/2020,2,0,0.0,0.0,Boquerón
06/03/2020,2,0,0.0,0.0,Boquerón
06/04/2020,2,0,0.0,0.0,Boquerón
06/05/2020,2,0,0.0,0.0,Boquerón
06/06/2020,2,0,0.0,0.0,Boquerón
06/07/2020,2,0,0.0,0.0,Boquerón
06/08/2020,2,0,0.0,0.0,Boquerón
06/09/2020,2,0,0.0,0.0,Boquerón
04/16/2020,3,0,0.0,0.0,Caaguazú
04/18/2020,3,0,0.0,0.0,Caaguazú
04/20/2020,4,1,0.0,0.0,Caaguazú
04/22/2020,4,0,0.0,0.0,Caaguazú
04/24/2020,6,2,0.0,0.0,Caaguazú
04/26/2020,6,0,0.0,0.0,Caaguazú
04/28/2020,7,1,0.0,0.0,Caaguazú
04/29/2020,7,0,0.0,0.0,Caaguazú
04/30/2020,7,0,0.0,0.0,Caaguazú
05/01/2020,11,4,0.0,0.0,Caaguazú
05/02/2020,11,0,0.0,0.0,Caaguazú
05/03/2020,11,0,0.0,0.0,Caaguazú
05/04/2020,11,0,0.0,0.0,Caaguazú
05/05/2020,62,51,0.0,0.0,Caaguazú
05/06/2020,74,12,0.0,0.0,Caaguazú
05/07/2020,77,3,0.0,0.0,Caaguazú
05/08/2020,99,22,0.0,0.0,Caaguazú
05/09/2020,121,22,0.0,0.0,Caaguazú
05/10/2020,144,23,0.0,0.0,Caaguazú
05/11/2020,167,23,0.0,0.0,Caaguazú
05/12/2020,190,23,0.0,0.0,Caaguazú
05/13/2020,190,0,0.0,0.0,Caaguazú
05/14/2020,190,0,0.0,0.0,Caaguazú
05/15/2020,190,0,0.0,0.0,Caaguazú
05/16/2020,190,0,0.0,0.0,Caaguazú
05/17/2020,190,0,0.0,0.0,Caaguazú
05/18/2020,190,0,0.0,0.0,Caaguazú
06/02/2020,190,0,0.0,0.0,Caaguazú
06/03/2020,190,0,0.0,0.0,Caaguazú
06/04/2020,190,0,0.0,0.0,Caaguazú
06/05/2020,190,0,0.0,0.0,Caaguazú
06/06/2020,190,0,0.0,0.0,Caaguazú
06/07/2020,190,0,0.0,0.0,Caaguazú
06/08/2020,190,0,0.0,0.0,Caaguazú
06/09/2020,190,0,0.0,0.0,Caaguazú
04/20/2020,1,0,0.0,0.0,Caazapá
04/22/2020,1,0,0.0,0.0,Caazapá
04/24/2020,1,0,0.0,0.0,Caazapá
04/26/2020,1,0,0.0,0.0,Caazapá
04/28/2020,1,0,0.0,0.0,Caazapá
04/29/2020,1,0,0.0,0.0,Caazapá
04/30/2020,1,0,0.0,0.0,Caazapá
05/01/2020,4,3,0.0,0.0,Caazapá
05/02/2020,4,0,0.0,0.0,Caazapá
05/03/2020,4,0,0.0,0.0,Caazapá
05/04/2020,4,0,0.0,0.0,Caazapá
05/05/2020,7,3,0.0,0.0,Caazapá
05/06/2020,9,2,0.0,0.0,Caazapá
05/07/2020,9,0,0.0,0.0,Caazapá
05/08/2020,9,0,0.0,0.0,Caazapá
05/09/2020,9,0,0.0,0.0,Caazapá
05/10/2020,9,0,0.0,0.0,Caazapá
05/11/2020,9,0,0.0,0.0,Caazapá
05/12/2020,22,13,0.0,0.0,Caazapá
05/13/2020,22,0,0.0,0.0,Caazapá
05/14/2020,22,0,0.0,0.0,Caazapá
05/15/2020,22,0,0.0,0.0,Caazapá
05/16/2020,22,0,0.0,0.0,Caazapá
05/17/2020,22,0,0.0,0.0,Caazapá
05/18/2020,22,0,0.0,0.0,Caazapá
06/02/2020,3,-19,0.0,0.0,Caazapá
06/03/2020,3,0,0.0,0.0,Caazapá
06/04/2020,3,0,0.0,0.0,Caazapá
06/05/2020,3,0,0.0,0.0,Caazapá
06/06/2020,3,0,0.0,0.0,Caazapá
06/07/2020,3,0,0.0,0.0,Caazapá
06/08/2020,3,0,0.0,0.0,Caazapá
06/09/2020,3,0,0.0,0.0,Caazapá
04/16/2020,1,0,0.0,0.0,Canindeyú
04/18/2020,1,0,0.0,0.0,Canindeyú
04/20/2020,3,2,0.0,0.0,Canindeyú
04/22/2020,3,0,0.0,0.0,Canindeyú
04/24/2020,3,0,0.0,0.0,Canindeyú
04/26/2020,3,0,0.0,0.0,Canindeyú
04/28/2020,4,1,0.0,0.0,Canindeyú
04/29/2020,4,0,0.0,0.0,Canindeyú
04/30/2020,4,0,0.0,0.0,Canindeyú
05/01/2020,4,0,0.0,0.0,Canindeyú
05/02/2020,4,0,0.0,0.0,Canindeyú
05/03/2020,4,0,0.0,0.0,Canindeyú
05/04/2020,4,0,0.0,0.0,Canindeyú
05/05/2020,4,0,0.0,0.0,Canindeyú
05/06/2020,4,0,0.0,0.0,Canindeyú
05/07/2020,4,0,0.0,0.0,Canindeyú
05/08/2020,4,0,0.0,0.0,Canindeyú
05/09/2020,4,0,0.0,0.0,Canindeyú
05/10/2020,4,0,0.0,0.0,Canindeyú
05/11/2020,4,0,0.0,0.0,Canindeyú
05/12/2020,13,9,0.0,0.0,Canindeyú
05/13/2020,13,0,0.0,0.0,Canindeyú
05/14/2020,13,0,0.0,0.0,Canindeyú
05/15/2020,13,0,0.0,0.0,Canindeyú
05/16/2020,13,0,0.0,0.0,Canindeyú
05/17/2020,13,0,0.0,0.0,Canindeyú
05/18/2020,13,0,0.0,0.0,Canindeyú
06/02/2020,2,-11,0.0,0.0,Canindeyú
06/03/2020,2,0,0.0,0.0,Canindeyú
06/04/2020,2,0,0.0,0.0,Canindeyú
06/05/2020,2,0,0.0,0.0,Canindeyú
06/06/2020,2,0,0.0,0.0,Canindeyú
06/07/2020,2,0,0.0,0.0,Canindeyú
06/08/2020,2,0,0.0,0.0,Canindeyú
06/09/2020,2,0,0.0,0.0,Canindeyú
04/16/2020,75,0,0.0,0.0,Central
04/18/2020,82,7,0.0,0.0,Central
04/20/2020,89,7,0.0,0.0,Central
04/22/2020,90,1,0.0,0.0,Central
04/24/2020,91,1,0.0,0.0,Central
04/26/2020,93,2,0.0,0.0,Central
04/28/2020,99,6,0.0,0.0,Central
04/29/2020,105,6,0.0,0.0,Central
04/30/2020,107,2,0.0,0.0,Central
05/01/2020,109,2,0.0,0.0,Central
05/02/2020,110,1,0.0,0.0,Central
05/03/2020,111,1,0.0,0.0,Central
05/04/2020,112,1,0.0,0.0,Central
05/05/2020,113,1,0.0,0.0,Central
05/06/2020,116,3,0.0,0.0,Central
05/07/2020,132,16,0.0,0.0,Central
05/08/2020,134,2,0.0,0.0,Central
05/09/2020,136,2,0.0,0.0,Central
05/10/2020,138,2,0.0,0.0,Central
05/11/2020,141,3,0.0,0.0,Central
05/12/2020,144,3,0.0,0.0,Central
05/13/2020,144,0,0.0,0.0,Central
05/14/2020,144,0,0.0,0.0,Central
05/15/2020,144,0,0.0,0.0,Central
05/16/2020,144,0,0.0,0.0,Central
05/17/2020,144,0,0.0,0.0,Central
05/18/2020,144,0,0.0,0.0,Central
06/02/2020,127,-17,0.0,0.0,Central
06/03/2020,127,0,0.0,0.0,Central
06/04/2020,127,0,0.0,0.0,Central
06/05/2020,144,17,0.0,0.0,Central
06/06/2020,144,0,0.0,0.0,Central
06/07/2020,144,0,0.0,0.0,Central
06/08/2020,144,0,0.0,0.0,Central
06/09/2020,144,0,0.0,0.0,Central
05/05/2020,4,0,0.0,0.0,Concepción
05/06/2020,5,1,0.0,0.0,Concepción
05/07/2020,6,1,0.0,0.0,Concepción
05/08/2020,6,0,0.0,0.0,Concepción
05/09/2020,6,0,0.0,0.0,Concepción
05/10/2020,6,0,0.0,0.0,Concepción
05/11/2020,6,0,0.0,0.0,Concepción
05/12/2020,6,0,0.0,0.0,Concepción
05/13/2020,6,0,0.0,0.0,Concepción
05/14/2020,6,0,0.0,0.0,Concepción
05/15/2020,6,0,0.0,0.0,Concepción
05/16/2020,6,0,0.0,0.0,Concepción
05/17/2020,6,0,0.0,0.0,Concepción
05/18/2020,6,0,0.0,0.0,Concepción
06/02/2020,6,0,0.0,0.0,Concepción
06/03/2020,6,0,0.0,0.0,Concepción
06/04/2020,6,0,0.0,0.0,Concepción
06/05/2020,6,0,0.0,0.0,Concepción
06/06/2020,6,0,0.0,0.0,Concepción
06/07/2020,6,0,0.0,0.0,Concepción
06/08/2020,6,0,0.0,0.0,Concepción
06/09/2020,6,0,0.0,0.0,Concepción
04/16/2020,3,0,0.0,0.0,Cordillera
04/18/2020,3,0,0.0,0.0,Cordillera
04/20/2020,3,0,0.0,0.0,Cordillera
04/22/2020,3,0,0.0,0.0,Cordillera
04/24/2020,3,0,0.0,0.0,Cordillera
04/26/2020,3,0,0.0,0.0,Cordillera
04/28/2020,3,0,0.0,0.0,Cordillera
04/29/2020,3,0,0.0,0.0,Cordillera
04/30/2020,3,0,0.0,0.0,Cordillera
05/01/2020,4,1,0.0,0.0,Cordillera
05/02/2020,4,0,0.0,0.0,Cordillera
05/03/2020,4,0,0.0,0.0,Cordillera
05/04/2020,4,0,0.0,0.0,Cordillera
05/05/2020,5,1,0.0,0.0,Cordillera
05/06/2020,6,1,0.0,0.0,Cordillera
05/07/2020,6,0,0.0,0.0,Cordillera
05/08/2020,6,0,0.0,0.0,Cordillera
05/09/2020,6,0,0.0,0.0,Cordillera
05/10/2020,6,0,0.0,0.0,Cordillera
05/11/2020,6,0,0.0,0.0,Cordillera
05/12/2020,11,5,0.0,0.0,Cordillera
05/13/2020,11,0,0.0,0.0,Cordillera
05/14/2020,11,0,0.0,0.0,Cordillera
05/15/2020,11,0,0.0,0.0,Cordillera
05/16/2020,11,0,0.0,0.0,Cordillera
05/17/2020,11,0,0.0,0.0,Cordillera
05/18/2020,11,0,0.0,0.0,Cordillera
06/02/2020,3,-8,0.0,0.0,Cordillera
06/03/2020,3,0,0.0,0.0,Cordillera
06/04/2020,3,0,0.0,0.0,Cordillera
06/05/2020,3,0,0.0,0.0,Cordillera
06/06/2020,3,0,0.0,0.0,Cordillera
06/07/2020,3,0,0.0,0.0,Cordillera
06/08/2020,3,0,0.0,0.0,Cordillera
06/09/2020,3,0,0.0,0.0,Cordillera
04/16/2020,2,0,0.0,0.0,Guairá
04/18/2020,2,0,0.0,0.0,Guairá
04/20/2020,2,0,0.0,0.0,Guairá
04/22/2020,2,0,0.0,0.0,Guairá
