Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,25,0,0,0,Amazonas
04/16/2020,35,10,0,0,Amazonas
04/18/2020,45,10,0,0,Amazonas
04/20/2020,55,10,0,0,Amazonas
04/21/2020,58,3,0,0,Amazonas
04/22/2020,60,2,0,0,Amazonas
04/23/2020,64,4,0,0,Amazonas
04/24/2020,65,1,0,0,Amazonas
04/26/2020,74,9,0,0,Amazonas
04/27/2020,84,10,0,0,Amazonas
04/28/2020,108,24,0,0,Amazonas
04/29/2020,113,5,0,0,Amazonas
04/30/2020,119,6,0,0,Amazonas
05/01/2020,130,11,0,0,Amazonas
05/02/2020,141,11,0,0,Amazonas
05/03/2020,152,11,0,0,Amazonas
05/04/2020,164,12,2,0,Amazonas
05/05/2020,170,6,4,0,Amazonas
05/06/2020,176,6,5,0,Amazonas
05/07/2020,181,5,5,0,Amazonas
05/08/2020,186,5,7,0,Amazonas
05/09/2020,204,18,7,0,Amazonas
05/10/2020,223,19,7,0,Amazonas
05/11/2020,242,19,8,0,Amazonas
05/12/2020,249,7,11,0,Amazonas
05/13/2020,259,10,11,0,Amazonas
05/14/2020,269,10,11,0,Amazonas
05/15/2020,280,11,11,0,Amazonas
05/16/2020,291,11,11,0,Amazonas
05/17/2020,302,11,11,0,Amazonas
05/18/2020,313,11,11,0,Amazonas
05/19/2020,325,12,17,0,Amazonas
05/20/2020,348,23,17,0,Amazonas
05/21/2020,371,23,17,0,Amazonas
05/22/2020,398,27,17,0,Amazonas
05/23/2020,425,27,17,0,Amazonas
05/24/2020,452,27,17,0,Amazonas
05/25/2020,479,27,17,0,Amazonas
05/26/2020,506,27,17,0,Amazonas
05/27/2020,533,27,20,0,Amazonas
05/28/2020,578,45,20,0,Amazonas
05/29/2020,623,45,20,0,Amazonas
05/30/2020,668,45,20,0,Amazonas
05/31/2020,713,45,20,0,Amazonas
06/01/2020,758,45,20,0,Amazonas
06/02/2020,803,45,20,0,Amazonas
06/03/2020,848,45,20,0,Amazonas
06/04/2020,893,45,20,0,Amazonas
06/05/2020,938,45,20,0,Amazonas
06/06/2020,983,45,20,0,Amazonas
06/07/2020,1028,45,20,0,Amazonas
06/08/2020,1073,45,20,0,Amazonas
06/09/2020,1118,45,20,0,Amazonas
06/10/2020,1163,45,20,0,Amazonas
06/11/2020,1208,45,20,0,Amazonas
06/12/2020,1253,45,20,0,Amazonas
06/13/2020,1298,45,20,0,Amazonas
06/14/2020,1343,45,20,0,Amazonas
06/15/2020,1388,45,20,0,Amazonas
06/16/2020,1433,45,20,0,Amazonas
06/17/2020,1478,45,20,0,Amazonas
06/18/2020,1523,45,20,0,Amazonas
06/19/2020,1569,46,20,0,Amazonas
06/20/2020,1615,46,20,0,Amazonas
06/21/2020,1661,46,20,0,Amazonas
06/22/2020,1707,46,20,0,Amazonas
06/23/2020,1753,46,20,0,Amazonas
06/24/2020,1799,46,20,0,Amazonas
06/25/2020,1845,46,34,0,Amazonas
06/26/2020,1913,68,34,0,Amazonas
