Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,100,0,4,0.0,Azores
04/16/2020,102,2,4,0.0,Azores
04/18/2020,104,2,4,0.0,Azores
04/19/2020,106,2,5,0.0,Azores
04/20/2020,107,1,6,0.0,Azores
04/22/2020,109,2,6,0.0,Azores
04/23/2020,110,1,8,0.0,Azores
04/25/2020,111,1,8,0.0,Azores
04/26/2020,120,9,8,0.0,Azores
04/27/2020,120,0,9,0.0,Azores
04/28/2020,121,1,10,0.0,Azores
04/29/2020,125,4,12,0.0,Azores
04/30/2020,127,2,12,0.0,Azores
05/01/2020,129,2,12,0.0,Azores
05/02/2020,131,2,13,0.0,Azores
05/03/2020,132,1,13,0.0,Azores
05/04/2020,132,0,13,0.0,Azores
05/05/2020,132,0,13,0.0,Azores
05/06/2020,133,1,13,0.0,Azores
05/07/2020,134,1,14,0.0,Azores
05/08/2020,135,1,14,0.0,Azores
05/09/2020,135,0,14,0.0,Azores
05/10/2020,135,0,14,0.0,Azores
05/11/2020,135,0,14,0.0,Azores
05/12/2020,135,0,15,0.0,Azores
05/13/2020,135,0,15,0.0,Azores
05/14/2020,135,0,15,0.0,Azores
05/15/2020,135,0,15,0.0,Azores
05/16/2020,135,0,15,0.0,Azores
05/17/2020,135,0,15,0.0,Azores
05/18/2020,135,0,15,0.0,Azores
05/19/2020,135,0,15,0.0,Azores
05/20/2020,135,0,15,0.0,Azores
05/21/2020,135,0,15,0.0,Azores
05/22/2020,135,0,15,0.0,Azores
05/23/2020,135,0,15,0.0,Azores
05/24/2020,135,0,15,0.0,Azores
05/25/2020,135,0,15,0.0,Azores
05/26/2020,135,0,15,0.0,Azores
05/27/2020,135,0,15,0.0,Azores
05/28/2020,135,0,15,0.0,Azores
05/29/2020,135,0,15,0.0,Azores
05/30/2020,135,0,15,0.0,Azores
05/31/2020,135,0,15,0.0,Azores
06/01/2020,136,1,15,0.0,Azores
06/02/2020,137,1,15,0.0,Azores
06/08/2020,142,5,15,0.0,Azores
06/09/2020,142,0,15,0.0,Azores
06/15/2020,143,1,15,0.0,Azores
06/16/2020,143,0,15,0.0,Azores
06/17/2020,143,0,15,0.0,Azores
06/18/2020,143,0,15,0.0,Azores
06/19/2020,143,0,15,0.0,Azores
06/20/2020,143,0,15,0.0,Azores
06/21/2020,144,1,15,0.0,Azores
06/22/2020,144,0,15,0.0,Azores
06/23/2020,145,1,15,0.0,Azores
06/24/2020,146,1,15,0.0,Azores
06/25/2020,147,1,15,0.0,Azores
06/26/2020,148,1,15,0.0,Azores
06/27/2020,148,0,15,0.0,Azores
04/15/2020,2549,0,131,0.0,Coimbra
04/16/2020,2756,207,146,0.0,Coimbra
04/17/2020,2778,22,148,0.0,Coimbra
04/18/2020,2863,85,157,0.0,Coimbra
04/19/2020,2923,60,164,0.0,Coimbra
04/20/2020,2952,29,164,0.0,Coimbra
04/21/2020,2999,47,171,0.0,Coimbra
04/22/2020,3053,54,175,0.0,Coimbra
04/23/2020,3084,31,179,0.0,Coimbra
04/24/2020,3116,32,183,0.0,Coimbra
04/25/2020,3183,67,188,0.0,Coimbra
04/26/2020,3232,49,188,0.0,Coimbra
04/27/2020,3252,20,191,0.0,Coimbra
04/28/2020,3289,37,194,0.0,Coimbra
04/29/2020,3340,51,196,0.0,Coimbra
04/30/2020,3389,49,198,0.0,Coimbra
05/01/2020,3419,30,201,0.0,Coimbra
05/02/2020,3426,7,206,0.0,Coimbra
05/03/2020,3447,21,209,0.0,Coimbra
05/04/2020,3478,31,209,0.0,Coimbra
05/05/2020,3489,11,211,0.0,Coimbra
05/06/2020,3505,16,213,0.0,Coimbra
05/07/2020,3545,40,213,0.0,Coimbra
05/08/2020,3564,19,214,0.0,Coimbra
05/09/2020,3581,17,215,0.0,Coimbra
05/10/2020,3583,2,216,0.0,Coimbra
05/11/2020,3586,3,216,0.0,Coimbra
