Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
02/27/2020,1,0,0,0,Andalusia
02/28/2020,6,5,0,0,Andalusia
02/29/2020,12,6,0,0,Andalusia
03/01/2020,18,6,0,0,Andalusia
03/02/2020,24,6,0,0,Andalusia
03/03/2020,31,7,0,0,Andalusia
03/05/2020,38,7,0,0,Andalusia
03/06/2020,46,8,0,0,Andalusia
03/07/2020,54,8,0,0,Andalusia
03/08/2020,99,45,0,0,Andalusia
03/09/2020,132,33,0,0,Andalusia
03/10/2020,153,21,0,0,Andalusia
03/11/2020,175,22,0,0,Andalusia
03/12/2020,197,22,0,0,Andalusia
03/13/2020,219,22,0,0,Andalusia
03/14/2020,269,50,0,0,Andalusia
03/15/2020,437,168,0,0,Andalusia
03/16/2020,683,246,0,0,Andalusia
03/17/2020,859,176,0,0,Andalusia
03/18/2020,1008,149,0,0,Andalusia
03/19/2020,1287,279,0,0,Andalusia
03/20/2020,1515,228,0,0,Andalusia
03/21/2020,1725,210,40,0,Andalusia
03/22/2020,1961,236,40,0,Andalusia
03/23/2020,2471,510,87,66,Andalusia
03/24/2020,3010,539,113,71,Andalusia
03/25/2020,3406,396,134,77,Andalusia
03/26/2020,3793,387,144,92,Andalusia
03/27/2020,4277,484,175,139,Andalusia
03/28/2020,4682,405,207,148,Andalusia
03/29/2020,5405,723,236,155,Andalusia
03/30/2020,6392,987,308,182,Andalusia
03/31/2020,6682,290,308,182,Andalusia
04/01/2020,6972,290,343,228,Andalusia
04/02/2020,7374,402,376,258,Andalusia
04/03/2020,7869,495,426,463,Andalusia
04/04/2020,8225,356,426,665,Andalusia
04/05/2020,8581,356,491,798,Andalusia
04/06/2020,8767,186,528,900,Andalusia
04/07/2020,8882,115,528,900,Andalusia
04/08/2020,8997,115,605,1193,Andalusia
04/09/2020,9261,264,671,652,Andalusia
04/10/2020,9712,451,737,1630,Andalusia
04/11/2020,10006,294,799,1838,Andalusia
04/13/2020,10187,181,815,2032,Andalusia
04/14/2020,10192,5,836,2224,Andalusia
04/15/2020,10595,403,865,2224,Andalusia
04/16/2020,10807,212,912,2634,Andalusia
04/17/2020,11053,246,940,2634,Andalusia
04/18/2020,11129,76,940,2634,Andalusia
04/19/2020,11205,76,993,3116,Andalusia
04/20/2020,11326,121,1005,3116,Andalusia
04/21/2020,11447,121,1017,3411,Andalusia
04/22/2020,11610,163,1050,3569,Andalusia
04/23/2020,12495,885,1078,1107,Andalusia
04/24/2020,12497,2,1107,3992,Andalusia
04/26/2020,12499,2,1145,4741,Andalusia
04/27/2020,12501,2,1145,4890,Andalusia
04/28/2020,12504,3,1168,5039,Andalusia
04/29/2020,12507,3,1187,5272,Andalusia
04/30/2020,12510,3,1207,5710,Andalusia
05/01/2020,12513,3,1222,6334,Andalusia
05/02/2020,12516,3,1238,6821,Andalusia
05/03/2020,12519,3,1256,6897,Andalusia
05/04/2020,12522,3,1263,7230,Andalusia
05/05/2020,12525,3,1267,7679,Andalusia
05/06/2020,12528,3,1281,7679,Andalusia
05/07/2020,12531,3,1294,8076,Andalusia
05/08/2020,12534,3,1301,8435,Andalusia
05/09/2020,12537,3,1301,8779,Andalusia
05/10/2020,12540,3,1301,9020,Andalusia
05/11/2020,12543,3,1322,9297,Andalusia
05/12/2020,12546,3,1326,9297,Andalusia
05/13/2020,12549,3,1332,9481,Andalusia
05/14/2020,12552,3,1344,10148,Andalusia
05/15/2020,12555,3,1347,10148,Andalusia
05/16/2020,12558,3,1350,10319,Andalusia
05/17/2020,12561,3,1354,10611,Andalusia
05/18/2020,12564,3,1358,10611,Andalusia
05/19/2020,12567,3,1358,10611,Andalusia
05/20/2020,12570,3,1358,10611,Andalusia
05/21/2020,12573,3,1367,10611,Andalusia
05/22/2020,12576,3,1377,10611,Andalusia
05/23/2020,12588,12,1384,10611,Andalusia
05/24/2020,12600,12,1391,10611,Andalusia
05/25/2020,12603,3,1395,10611,Andalusia
05/26/2020,12606,3,1399,10611,Andalusia
05/27/2020,12609,3,1404,10611,Andalusia
05/28/2020,12612,3,1404,10611,Andalusia
05/29/2020,12615,3,1404,10611,Andalusia
05/30/2020,12619,4,1404,10611,Andalusia
05/31/2020,12623,4,1404,10611,Andalusia
06/01/2020,12627,4,1404,10611,Andalusia
06/02/2020,12631,4,1404,10611,Andalusia
06/03/2020,12635,4,1404,10611,Andalusia
06/04/2020,12639,4,1404,10611,Andalusia
06/05/2020,12699,60,1404,10611,Andalusia
06/06/2020,12759,60,1404,10611,Andalusia
06/07/2020,12769,10,1404,10611,Andalusia
06/08/2020,12779,10,1404,10611,Andalusia
06/09/2020,12789,10,1404,10611,Andalusia
06/10/2020,12800,11,1404,10611,Andalusia
06/11/2020,12800,0,1404,10611,Andalusia
06/12/2020,12800,0,1404,10611,Andalusia
06/13/2020,12800,0,1404,10611,Andalusia
06/14/2020,12800,0,1404,10611,Andalusia
06/15/2020,12800,0,1404,10611,Andalusia
06/16/2020,12547,-253,1375,10611,Andalusia
06/17/2020,12547,0,1375,10611,Andalusia
06/18/2020,12547,0,1375,10611,Andalusia
06/19/2020,12547,0,1375,10611,Andalusia
06/20/2020,12547,0,1375,10611,Andalusia
06/21/2020,12547,0,1375,10611,Andalusia
06/22/2020,12547,0,1375,10611,Andalusia
06/23/2020,12547,0,1375,10611,Andalusia
06/24/2020,12547,0,1375,10611,Andalusia
06/25/2020,12547,0,1375,10611,Andalusia
06/26/2020,12547,0,1375,10611,Andalusia
06/27/2020,12547,0,1375,10611,Andalusia
06/28/2020,12547,0,1375,10611,Andalusia
06/29/2020,12547,0,1375,10611,Andalusia
06/30/2020,12547,0,1375,10611,Andalusia
07/01/2020,12547,0,1375,10611,Andalusia
07/02/2020,12547,0,1375,10611,Andalusia
07/03/2020,12547,0,1375,10611,Andalusia
07/04/2020,12547,0,1375,10611,Andalusia
07/05/2020,12547,0,1375,10611,Andalusia
02/28/2020,1,0,1375,10611,Aragon
02/29/2020,2,1,1375,10611,Aragon
03/01/2020,3,1,1375,10611,Aragon
03/02/2020,4,1,1375,10611,Aragon
03/05/2020,5,1,1375,10611,Aragon
03/06/2020,6,1,1375,10611,Aragon
03/07/2020,13,7,1375,10611,Aragon
03/08/2020,18,5,1375,10611,Aragon
03/09/2020,25,7,1375,10611,Aragon
03/10/2020,38,13,1375,10611,Aragon
03/11/2020,45,7,1375,10611,Aragon
03/12/2020,64,19,1375,10611,Aragon
03/13/2020,80,16,1375,10611,Aragon
03/14/2020,113,33,1375,10611,Aragon
03/15/2020,147,34,1375,10611,Aragon
03/16/2020,207,60,1375,10611,Aragon
03/17/2020,226,19,1375,10611,Aragon
03/18/2020,281,55,1375,10611,Aragon
03/19/2020,360,79,1375,10611,Aragon
03/20/2020,424,64,1375,10611,Aragon
03/21/2020,532,108,22,10611,Aragon
03/22/2020,638,106,22,10611,Aragon
03/23/2020,758,120,37,3,Aragon
03/24/2020,907,149,40,4,Aragon
03/25/2020,1116,209,48,4,Aragon
03/26/2020,1338,222,58,8,Aragon
03/27/2020,1592,254,58,8,Aragon
03/28/2020,1858,266,93,8,Aragon
03/29/2020,2078,220,106,174,Aragon
03/30/2020,2491,413,169,257,Aragon
03/31/2020,2595,104,169,257,Aragon
04/01/2020,2700,105,200,320,Aragon
04/02/2020,2889,189,224,378,Aragon
04/03/2020,3078,189,251,440,Aragon
04/04/2020,3212,134,251,537,Aragon
04/05/2020,3347,135,284,565,Aragon
04/06/2020,3449,102,312,578,Aragon
04/07/2020,3499,50,312,578,Aragon
04/08/2020,3549,50,349,718,Aragon
04/09/2020,3685,136,387,385,Aragon
04/10/2020,3969,284,425,888,Aragon
04/11/2020,4070,101,450,934,Aragon
04/13/2020,4245,175,471,492,Aragon
04/14/2020,4291,46,492,1012,Aragon
04/15/2020,4338,47,514,1012,Aragon
04/16/2020,4566,228,543,1087,Aragon
04/17/2020,4664,98,562,1087,Aragon
04/18/2020,4747,83,562,1087,Aragon
04/19/2020,4831,84,619,1175,Aragon
04/20/2020,4884,53,631,1175,Aragon
04/21/2020,4938,54,643,1182,Aragon
04/22/2020,5054,116,656,1530,Aragon
04/23/2020,5237,183,681,1680,Aragon
04/24/2020,5295,58,695,1781,Aragon
04/26/2020,5297,2,712,1960,Aragon
04/27/2020,5299,2,712,2010,Aragon
04/28/2020,5301,2,735,2081,Aragon
04/29/2020,5303,2,737,2189,Aragon
04/30/2020,5305,2,739,2291,Aragon
05/01/2020,5307,2,744,2382,Aragon
05/02/2020,5309,2,749,2474,Aragon
05/03/2020,5312,3,761,2558,Aragon
05/04/2020,5315,3,762,2704,Aragon
05/05/2020,5318,3,770,2790,Aragon
05/06/2020,5321,3,788,2790,Aragon
05/07/2020,5324,3,800,2880,Aragon
05/08/2020,5327,3,815,2953,Aragon
05/09/2020,5330,3,815,3006,Aragon
05/10/2020,5333,3,815,3076,Aragon
05/11/2020,5336,3,825,3186,Aragon
