Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/15/2020,42,0,2.0,0.0,Blekinge County
04/16/2020,43,1.0,2.0,0.0,Blekinge County
04/18/2020,43,0.0,2.0,0.0,Blekinge County
04/20/2020,43,0.0,2.0,0.0,Blekinge County
04/21/2020,44,1.0,2.0,0.0,Blekinge County
04/22/2020,47,3.0,2.0,0.0,Blekinge County
04/23/2020,54,7.0,2.0,0.0,Blekinge County
04/24/2020,56,2.0,2.0,0.0,Blekinge County
04/25/2020,63,7.0,2.0,0.0,Blekinge County
04/27/2020,64,1.0,2.0,0.0,Blekinge County
04/29/2020,67,3.0,2.0,0.0,Blekinge County
04/30/2020,73,6.0,2.0,0.0,Blekinge County
05/01/2020,73,0.0,2.0,0.0,Blekinge County
05/02/2020,73,0.0,2.0,0.0,Blekinge County
05/03/2020,73,0.0,2.0,0.0,Blekinge County
05/04/2020,74,1.0,2.0,0.0,Blekinge County
05/05/2020,75,1.0,2.0,0.0,Blekinge County
05/06/2020,77,2.0,2.0,0.0,Blekinge County
05/07/2020,78,1.0,2.0,0.0,Blekinge County
05/08/2020,80,2.0,2.0,0.0,Blekinge County
05/09/2020,82,2.0,2.0,0.0,Blekinge County
05/10/2020,85,3.0,2.0,0.0,Blekinge County
05/11/2020,86,1.0,2.0,0.0,Blekinge County
05/12/2020,87,1.0,2.0,0.0,Blekinge County
05/13/2020,89,2.0,2.0,0.0,Blekinge County
05/14/2020,92,3.0,3.0,0.0,Blekinge County
05/15/2020,96,4.0,3.0,0.0,Blekinge County
05/16/2020,100,4.0,3.0,0.0,Blekinge County
05/17/2020,102,2.0,3.0,0.0,Blekinge County
05/18/2020,103,1.0,3.0,0.0,Blekinge County
05/19/2020,106,3.0,4.0,0.0,Blekinge County
05/20/2020,109,3.0,4.0,0.0,Blekinge County
05/21/2020,132,23.0,4.0,0.0,Blekinge County
05/22/2020,133,1.0,4.0,0.0,Blekinge County
05/23/2020,142,9.0,4.0,0.0,Blekinge County
05/24/2020,144,2.0,4.0,0.0,Blekinge County
05/25/2020,147,3.0,4.0,0.0,Blekinge County
05/26/2020,150,3.0,4.0,0.0,Blekinge County
05/27/2020,165,15.0,4.0,0.0,Blekinge County
05/28/2020,181,16.0,4.0,0.0,Blekinge County
05/29/2020,192,11.0,4.0,0.0,Blekinge County
05/30/2020,200,8.0,4.0,0.0,Blekinge County
05/31/2020,208,8.0,4.0,0.0,Blekinge County
06/01/2020,211,3.0,4.0,0.0,Blekinge County
06/02/2020,218,7.0,5.0,0.0,Blekinge County
06/03/2020,236,18.0,5.0,0.0,Blekinge County
06/04/2020,254,18.0,5.0,0.0,Blekinge County
06/05/2020,264,10.0,5.0,0.0,Blekinge County
06/06/2020,274,10.0,5.0,0.0,Blekinge County
06/07/2020,285,11.0,5.0,0.0,Blekinge County
06/08/2020,296,11.0,5.0,0.0,Blekinge County
06/09/2020,307,11.0,7.0,0.0,Blekinge County
06/10/2020,311,4.0,7.0,0.0,Blekinge County
06/11/2020,319,8.0,7.0,0.0,Blekinge County
06/12/2020,343,24.0,7.0,0.0,Blekinge County
06/13/2020,355,12.0,7.0,0.0,Blekinge County
06/14/2020,367,12.0,7.0,0.0,Blekinge County
06/15/2020,379,12.0,8.0,0.0,Blekinge County
06/16/2020,382,3.0,9.0,0.0,Blekinge County
06/17/2020,392,10.0,9.0,0.0,Blekinge County
06/18/2020,402,10.0,9.0,0.0,Blekinge County
06/19/2020,405,3.0,9.0,0.0,Blekinge County
06/20/2020,408,3.0,9.0,0.0,Blekinge County
06/21/2020,411,3.0,9.0,0.0,Blekinge County
06/22/2020,414,3.0,10.0,0.0,Blekinge County
06/23/2020,414,0.0,10.0,0.0,Blekinge County
06/24/2020,414,0.0,10.0,0.0,Blekinge County
06/25/2020,414,0.0,10.0,0.0,Blekinge County
04/15/2020,365,0.0,43.0,0.0,Dalarna County
04/16/2020,406,41.0,48.0,0.0,Dalarna County
04/17/2020,429,23.0,63.0,0.0,Dalarna County
04/18/2020,448,19.0,63.0,0.0,Dalarna County
04/19/2020,483,35.0,63.0,0.0,Dalarna County
04/20/2020,491,8.0,63.0,0.0,Dalarna County
04/21/2020,501,10.0,65.0,0.0,Dalarna County
04/22/2020,536,35.0,72.0,0.0,Dalarna County
04/23/2020,569,33.0,73.0,0.0,Dalarna County
04/24/2020,612,43.0,79.0,0.0,Dalarna County
04/25/2020,640,28.0,79.0,0.0,Dalarna County
