Updated,Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
04/13/2020,822,0,17.0,0,Aargau
04/15/2020,878,56.0,18.0,0,Aargau
04/16/2020,943,65.0,21.0,0,Aargau
04/17/2020,960,17.0,24.0,0,Aargau
04/19/2020,979,19.0,24.0,0,Aargau
04/20/2020,998,19.0,26.0,0,Aargau
04/21/2020,1017,19.0,29.0,0,Aargau
04/22/2020,1021,4.0,30.0,0,Aargau
04/23/2020,1026,5.0,31.0,0,Aargau
04/24/2020,1052,26.0,31.0,0,Aargau
04/26/2020,1065,13.0,31.0,0,Aargau
04/27/2020,1079,14.0,32.0,0,Aargau
04/28/2020,1093,14.0,33.0,0,Aargau
04/29/2020,1100,7.0,33.0,0,Aargau
04/30/2020,1108,8.0,33.0,0,Aargau
05/01/2020,1111,3.0,33.0,0,Aargau
05/02/2020,1114,3.0,33.0,0,Aargau
05/03/2020,1117,3.0,33.0,0,Aargau
05/04/2020,1120,3.0,33.0,0,Aargau
05/05/2020,1123,3.0,33.0,0,Aargau
05/06/2020,1127,4.0,34.0,0,Aargau
05/07/2020,1131,4.0,35.0,0,Aargau
05/08/2020,1135,4.0,36.0,0,Aargau
05/09/2020,1139,4.0,36.0,0,Aargau
05/10/2020,1144,5.0,36.0,0,Aargau
05/11/2020,1149,5.0,36.0,0,Aargau
05/12/2020,1156,7.0,36.0,0,Aargau
05/13/2020,1163,7.0,36.0,0,Aargau
05/14/2020,1170,7.0,36.0,0,Aargau
05/15/2020,1177,7.0,43.0,0,Aargau
05/16/2020,1180,3.0,43.0,0,Aargau
05/17/2020,1183,3.0,43.0,0,Aargau
05/18/2020,1186,3.0,43.0,0,Aargau
05/19/2020,1190,4.0,43.0,0,Aargau
05/20/2020,1194,4.0,44.0,0,Aargau
05/21/2020,1194,0.0,44.0,0,Aargau
05/22/2020,1194,0.0,44.0,0,Aargau
05/23/2020,1194,0.0,44.0,0,Aargau
05/24/2020,1195,1.0,44.0,0,Aargau
05/25/2020,1196,1.0,44.0,0,Aargau
05/26/2020,1197,1.0,44.0,0,Aargau
05/27/2020,1198,1.0,45.0,0,Aargau
05/28/2020,1200,2.0,45.0,0,Aargau
05/29/2020,1202,2.0,45.0,0,Aargau
05/30/2020,1204,2.0,45.0,0,Aargau
05/31/2020,1206,2.0,45.0,0,Aargau
06/01/2020,1208,2.0,45.0,0,Aargau
06/02/2020,1210,2.0,45.0,0,Aargau
06/03/2020,1212,2.0,45.0,0,Aargau
06/04/2020,1214,2.0,45.0,0,Aargau
