Confirmed,ConfirmedChange,Deaths,Recovered,Country_Region
83652,1358.0,2858.0,0,Worldwide
1,0.0,0.0,0,Afghanistan
1,0.0,0.0,0,Algeria
25,2.0,0.0,15.0,Australia
4,2.0,0.0,15.0,Austria
1,2.0,0.0,15.0,Azerbaijan
33,0.0,0.0,15.0,Bahrain
1,0.0,0.0,15.0,Belarus
1,0.0,0.0,15.0,Belgium
1,0.0,0.0,15.0,Brazil
1,0.0,0.0,15.0,Cambodia
16,2.0,0.0,8.0,Canada
78961,331.0,2791.0,36117.0,China
5,2.0,0.0,36117.0,Croatia
3593,10.0,127.0,36117.0,Denmark
1,0.0,0.0,36117.0,Egypt
1,0.0,0.0,36117.0,Estonia
5,2.0,0.0,1.0,Finland
57,19.0,1.0,12.0,France
1,0.0,0.0,12.0,Georgia
53,27.0,0.0,16.0,Germany
4,1.0,0.0,16.0,Greece
0,0.0,0.0,16.0,Guam
94,1.0,2.0,26.0,Hong Kong SAR
1,1.0,0.0,26.0,Iceland
3,0.0,0.0,26.0,India
388,143.0,34.0,21.0,Iran
7,1.0,0.0,21.0,Iraq
22,3.0,0.0,21.0,Israel
888,238.0,21.0,50.0,Italy
230,20.0,5.0,40.0,Japan
45,2.0,0.0,40.0,Kuwait
7,3.0,0.0,40.0,Lebanon
1,3.0,0.0,40.0,Lithuania
25,1.0,0.0,22.0,Malaysia
3,1.0,0.0,22.0,Mexico
1,1.0,0.0,22.0,Monaco
1,0.0,0.0,22.0,Nepal
2,1.0,0.0,22.0,Netherlands
1,1.0,0.0,22.0,New Zealand
1,0.0,0.0,22.0,Nigeria
1,0.0,0.0,22.0,Macedonia
7,3.0,0.0,22.0,Norway
6,0.0,0.0,22.0,Oman
2,0.0,0.0,22.0,Pakistan
3,0.0,1.0,22.0,Philippines
0,0.0,1.0,22.0,Puerto Rico
3,2.0,0.0,22.0,Romania
2,0.0,0.0,22.0,Russia
2,1.0,0.0,22.0,San Marino
98,2.0,0.0,69.0,Singapore
2337,571.0,13.0,26.0,Korea
34,8.0,1.0,2.0,Spain
1,0.0,0.0,2.0,Sri Lanka
11,8.0,0.0,2.0,Sweden
13,5.0,0.0,1.0,Switzerland
34,2.0,1.0,6.0,Taiwan
40,0.0,0.0,28.0,Thailand
0,0.0,0.0,28.0,U.S. Virgin Islands
21,2.0,0.0,28.0,United Arab Emirates
19,6.0,0.0,8.0,United Kingdom
39,1.0,2.0,6.0,United States
16,0.0,0.0,6.0,Vietnam
