Country_Region,Confirmed,Deaths,Recovered
Afghanistan,10,0,0
Albania,33,1,0
Algeria,27,1,0
Andorra,1,0,0
Antigua and Barbuda,1,0,0
Argentina,34,2,0
Armenia,13,0,0
Aruba,1,0,0
Australia,198,3,26
Austria,504,1,6
Azerbaijan,19,0,3
Bahrain,195,0,44
Bangladesh,3,0,2
Belarus,27,0,3
Belgium,559,3,1
Bhutan,1,0,1
Bolivia,139,10,1
Bosnia and Herz.,18,0,0
Brazil,98,0,0
Brunei,37,0,0
Bulgaria,31,1,0
Burkina Faso,3,0,0
Cambodia,7,0,1
Cameroon,2,0,1
Canada,198,1,11
Chile,43,0,0
China,80846,3180,64152
Colombia,16,0,0
Congo,1,0,0
Costa Rica,26,0,0
Croatia,32,0,1
Cuba,3,0,0
Curaçao,1,0,0
Cyprus,21,0,0
Czech Rep.,141,0,0
Côte d'Ivoire,3,0,0
Dem. Rep. Congo,2,0,0
Denmark,3733,139,1
Dominican Rep.,11,0,1
Ecuador,23,1,0
Egypt,94,1,0
Estonia,79,0,0
Ethiopia,1,0,0
Faroe Is.,3,0,0
Finland,266,0,1
France,3661,75,12
French Guiana,6,0,12
French Polynesia,3,0,12
Gabon,1,0,0
Georgia,26,0,0
Germany,3062,8,46
Ghana,2,0,0
Gibraltar,1,0,0
Greece,190,1,2
Guam,0,1,2
Guatemala,1,0,0
Guernsey,1,0,0
Guinea,1,0,0
Guyana,1,1,0
Honduras,3,0,0
Hungary,19,0,0
Iceland,138,0,0
India,81,2,6
Indonesia,2013,181,5
Iran,11364,514,3529
Iraq,94,10,24
Ireland,90,1,0
Israel,162,0,4
Italy,17660,1266,1966
Jamaica,8,0,0
Japan,716,21,135
Jersey,2,0,135
Jordan,1,0,1
Kazakhstan,4,0,0
Kenya,1,0,0
Korea,8086,72,510
Kosovo,2,0,0
Kuwait,100,0,5
Latvia,26,0,1
Lebanon,93,3,1
Liechtenstein,4,0,1
Lithuania,6,0,0
Luxembourg,34,1,0
Macedonia,13,0,1
Malaysia,200,0,32
Maldives,8,0,0
Malta,13,0,0
Martinique,4,0,0
Mexico,26,0,0
Moldova,8,0,0
Monaco,1,0,0
Mongolia,1,0,0
Morocco,8,1,0
Nepal,1,0,0
Netherlands,804,10,0
New Zealand,5,0,0
Nigeria,2,0,0
Norway,750,1,1
Oman,20,0,1
Pakistan,28,1,2
Panama,36,1,0
Paraguay,7,0,0
Peru,22,0,0
Philippines,64,2,2
Poland,68,2,0
Portugal,112,0,1
Puerto Rico,3,0,1
Qatar,287,0,0
Romania,95,0,7
Russia,45,0,8
Saint Barthélemy,1,0,8
Saint Martin,2,0,8
Saint Vincent and the Grenadines,1,0,8
San Marino,80,5,0
Saudi Arabia,86,0,1
Senegal,10,0,2
Serbia,35,0,0
Singapore,200,0,97
Slovakia,32,0,0
Slovenia,131,0,0
South Africa,24,0,0
Spain,5232,133,193
Sri Lanka,3,0,1
Sudan,1,1,0
Suriname,1,0,0
Sweden,923,2,1
Switzerland,1139,6,4
Thailand,75,1,35
Togo,1,0,35
Tunisia,16,0,35
Turkey,5,0,0
U.S. Virgin Islands,1,0,0
Ukraine,3,1,0
United Arab Emirates,85,0,0
United Kingdom,797,10,19
United States,2163,52,31
Uruguay,4,0,0
Vatican City,1,0,0
Venezuela,2,0,0
Vietnam,47,0,16
台湾,50,1,20
香港,137,4,77
